gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows,in_thyroid_disease_set,in_hypertension_disease_set,branch_class,thyroid_disease_relevance_score,thyroid_disease_rank,hypertension_disease_relevance_score,hypertension_disease_rank,thyroid_disease_id,hypertension_disease_id,branch_evidence_note
ESRRA,2101,True,False,True,1,8,1,0,mixed,False,True,True,True,False,True,False,32,True,True,shared,0.0022174791281082107,1686,0.005358907892928176,2760,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
FETUB,26998,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0029566388374776143,1530,0.057785452857085064,282,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
FGF7,2252,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,True,shared,0.18521715003053413,229,0.007206807166351686,2420,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
FKBP5,2289,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.2895471581653317,129,0.002751316695986113,4077,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
FOS,2353,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.011525142446200932,761,0.0402683656591388,442,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
FOXA1,3169,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.0029361066233284643,1559,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
FOXA2,3170,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.41785780085994834,33,0.00302850158699964,3845,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GABRP,2568,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,True,shared,0.0036957985468470183,1471,0.005261379875719713,2780,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GDF15,9518,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2,True,True,shared,0.02028849676719969,611,0.09024700268963343,148,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GFER,2671,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0014783194187388072,2059,0.006652437384324632,2481,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GGT1,2678,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0044349582562164215,1212,0.018311039222495044,1101,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GLP1R,2740,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,3,True,True,shared,0.025004206846191812,547,0.4832210665242037,26,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GNAS,2778,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.008963758391943522,872,0.019023291503875085,1056,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GNRHR,2798,True,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,8,True,True,shared,0.0014783194187388072,2085,0.023560715736149738,836,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GPR183,1880,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.14432897293908148,249,0.016887746137675956,1176,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GPX3,2878,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,True,shared,0.0025870589827929123,1597,0.027510494862127446,704,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GPX4,2879,False,False,True,2,2,2,0,mixed,True,True,True,True,False,True,False,2,True,True,shared,0.004229636114724921,1289,0.01791090901939416,1117,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GRK2,156,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.006069938468913243,1066,0.06351222417782192,253,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GSR,2936,False,False,True,1,3,2,0,mixed,True,False,False,False,False,True,False,5,True,True,shared,0.0036957985468470188,1349,0.024427872433730638,800,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GSTM1,2944,False,False,True,1,3,2,0,mixed,True,False,False,False,False,False,False,3,True,True,shared,0.005280177360953849,1124,0.08493196609153462,169,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
GSTP1,2950,False,False,True,1,4,2,0,mixed,True,False,False,False,True,False,False,4,True,True,shared,0.0025870589827929123,1624,0.03163202459638174,594,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
HBB,3043,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0029566388374776143,1527,0.009465350722758196,1899,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
HDAC3,8841,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.00406537840153172,1304,0.00577098943090162,2642,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
HDAC6,Q9UBN7,True,False,False,1,2,1,0,not_assessable,False,True,False,True,False,True,False,2,True,True,shared,0.0073915970936940375,984,0.02873858561518214,669,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
HDAC9,9734,True,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,8,True,True,shared,0.002843711659657289,1561,0.028752731407551052,668,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
HIF1A,3091,True,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,9,True,True,shared,0.012748519041963408,718,0.057786565692559556,281,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
HMGB1,3146,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.009846005402340081,829,0.04098181791312471,431,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
HMOX1,3162,False,False,True,1,4,2,0,consistent:increases,True,False,False,False,False,False,False,4,True,True,shared,0.005790084390060328,1091,0.04684360557077781,363,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
HSPA5,3309,False,False,True,1,2,1,0,mixed,True,False,False,False,True,False,False,2,True,True,shared,0.0051741179655858255,1139,0.021878575739742633,902,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
HSPD1,3329,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,True,True,shared,0.003490476405355517,1480,0.048878732295533876,346,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
IDH1,3417,False,False,True,1,2,1,0,mixed,False,True,True,True,False,True,False,2,True,True,shared,0.004866134753348573,1173,0.008923916235645108,1985,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
IFNG,3458,True,False,False,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,4,True,True,shared,0.011274271786901009,767,0.067940693368204,236,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
IGF1,3479,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.022854630141402522,562,0.10432512655501851,117,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
IGFBP3,3486,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2,True,True,shared,0.004795080721649159,1187,0.06279382895765075,255,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
IL1B,3553,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.01437456671081448,689,0.06188198441092229,263,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
IL4,3565,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0288543488332876,506,0.05419495235191967,305,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ITGA4,3676,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,False,thyroid-specific,0.3381413984949653,72,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
JUN,3725,True,False,True,2,3,1,0,mixed,True,True,True,True,False,True,False,9,True,True,shared,0.011525745841882049,760,0.02578540806583912,761,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
KAT2A,2648,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,2,True,False,thyroid-specific,0.03782442547419163,434,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
KCNJ16,3773,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,True,shared,0.0014783194187388072,2089,0.008757798052435128,2030,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
KCNQ1,3784,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.014783194187388075,682,0.043913246994413825,394,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
KEAP1,9817,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.010053049968462988,823,0.01414240168231065,1362,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
KLK7,5650,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.00819235344551089,919,0.0036957985468470188,3462,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
KMT2A,4297,False,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,3,True,True,shared,0.0022174791281082107,1705,0.024022690554505618,809,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
KRT10,3858,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.0022174791281082107,1646,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
KRT19,3880,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.025570039810328387,542,0.008726191013388791,2043,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
LASP1,3927,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.0014783194187388072,2025,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
LGALS1,3956,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2,True,True,shared,0.008988785461613066,871,0.022719683470806464,866,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
LMNA,4000,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2,True,True,shared,0.0029566388374776143,1519,0.009113599358507224,1962,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
