donor_id,gene_symbol,tumor_mean,normal_mean,tumor_minus_normal
C138,ATF4,0.32967275381088257,0.0,0.32967275381088257
C139,ATF4,0.38286882638931274,0.43452391028404236,-0.051655083894729614
C140,ATF4,0.546165943145752,0.0,0.546165943145752
C142,ATF4,0.48771151900291443,0.2413608431816101,0.24635067582130432
C143,ATF4,0.41931015253067017,0.5678223371505737,-0.14851218461990356
C151,ATF4,0.2585293650627136,0.8115991950035095,-0.5530698299407959
C155,ATF4,0.9313452839851379,0.0,0.9313452839851379
C157,ATF4,0.9676245450973511,0.6911261081695557,0.2764984369277954
C162,ATF4,0.6243481040000916,0.5493523478507996,0.07499575614929199
C165,ATF4,0.8610918521881104,0.619185745716095,0.24190610647201538
C170,ATF4,0.7332191467285156,0.28496986627578735,0.44824928045272827
C106,ATG5,0.4050668179988861,0.08816327899694443,0.3169035390019417
C107,ATG5,0.2632836401462555,0.0,0.2632836401462555
C109,ATG5,0.20832018554210663,0.0,0.20832018554210663
C110,ATG5,0.19771401584148407,0.23065371811389923,-0.03293970227241516
C111,ATG5,0.17850276827812195,0.0,0.17850276827812195
C112,ATG5,0.20132976770401,0.08168843388557434,0.11964133381843567
C113,ATG5,0.1801784485578537,0.0,0.1801784485578537
C114,ATG5,0.19087281823158264,0.05231731757521629,0.13855550065636635
C115,ATG5,0.1823740303516388,0.13806940615177155,0.04430462419986725
C116,ATG5,0.2151169776916504,0.12930208444595337,0.08581489324569702
C119,ATG5,0.0,0.0,0.0
C122,ATG5,0.12499570101499557,0.059397876262664795,0.06559782475233078
C123,ATG5,0.189825177192688,0.0734085738658905,0.11641660332679749
C124,ATG5,0.1919582188129425,0.2579043209552765,-0.06594610214233398
C125,ATG5,0.2892225682735443,0.17803563177585602,0.1111869364976883
C126,ATG5,0.2552281320095062,0.16456781327724457,0.09066031873226166
C129,ATG5,0.2028915137052536,0.0,0.2028915137052536
C130,ATG5,0.19534707069396973,0.24550963938236237,-0.05016256868839264
C132,ATG5,0.27156952023506165,0.0,0.27156952023506165
C133,ATG5,0.24009853601455688,0.0,0.24009853601455688
C134,ATG5,0.2119874358177185,0.09388886392116547,0.11809857189655304
C135,ATG5,0.19241224229335785,0.18436463177204132,0.008047610521316528
C136,ATG5,0.23711936175823212,0.4775148928165436,-0.24039553105831146
C137,ATG5,0.2615996301174164,0.24662703275680542,0.014972597360610962
C138,ATG5,0.28177082538604736,0.21614179015159607,0.0656290352344513
C139,ATG5,0.14377477765083313,0.22558154165744781,-0.08180676400661469
C140,ATG5,0.19658644497394562,0.0,0.19658644497394562
C142,ATG5,0.10485902428627014,0.0,0.10485902428627014
C143,ATG5,0.2546215355396271,0.0,0.2546215355396271
C151,ATG5,0.17587150633335114,0.0,0.17587150633335114
C155,ATG5,0.33131474256515503,0.24076586961746216,0.09054887294769287
C157,ATG5,0.23513269424438477,0.18476681411266327,0.0503658801317215
C162,ATG5,0.27257856726646423,0.11578631401062012,0.15679225325584412
C165,ATG5,0.2944086790084839,0.26236462593078613,0.032044053077697754
C170,ATG5,0.2848251461982727,0.11793950200080872,0.166885644197464
C106,BECN1,0.22730283439159393,0.3290866017341614,-0.10178376734256744
C107,BECN1,0.23370672762393951,0.0,0.23370672762393951
C109,BECN1,0.1803426444530487,0.0,0.1803426444530487
C110,BECN1,0.2865579128265381,0.0,0.2865579128265381
C111,BECN1,0.27563127875328064,0.03357958793640137,0.24205169081687927
C112,BECN1,0.2599118947982788,0.1207772046327591,0.13913469016551971
C113,BECN1,0.1255994439125061,0.0,0.1255994439125061
C114,BECN1,0.19523772597312927,0.06271480768918991,0.13252291828393936
C115,BECN1,0.21718135476112366,0.051258962601423264,0.1659223921597004
C116,BECN1,0.280611127614975,0.25930899381637573,0.021302133798599243
C119,BECN1,0.17808175086975098,0.0,0.17808175086975098
C122,BECN1,0.22739145159721375,0.21130532026290894,0.01608613133430481
C123,BECN1,0.2855183184146881,0.19968381524085999,0.08583450317382812
C124,BECN1,0.2725287675857544,0.3051411807537079,-0.03261241316795349
C125,BECN1,0.3204284906387329,0.3186360001564026,0.0017924904823303223
C126,BECN1,0.2899697422981262,0.2654944956302643,0.02447524666786194
C129,BECN1,0.29213041067123413,0.1666366010904312,0.12549380958080292
C130,BECN1,0.2261773645877838,0.1922263503074646,0.033951014280319214
C132,BECN1,0.3337987959384918,0.0,0.3337987959384918
C133,BECN1,0.26993411779403687,0.5707723498344421,-0.3008382320404053
C134,BECN1,0.19695448875427246,0.24467706680297852,-0.047722578048706055
C135,BECN1,0.30820146203041077,0.2428668737411499,0.06533458828926086
C136,BECN1,0.2864970266819,0.06788047403097153,0.2186165526509285
C137,BECN1,0.27977800369262695,0.282449871301651,-0.002671867609024048
C138,BECN1,0.33346590399742126,0.0,0.33346590399742126
C139,BECN1,0.22815346717834473,0.18284998834133148,0.045303478837013245
C140,BECN1,0.2957684397697449,0.0,0.2957684397697449
C142,BECN1,0.20624572038650513,0.0,0.20624572038650513
C143,BECN1,0.21428672969341278,0.0,0.21428672969341278
C151,BECN1,0.4893744885921478,0.48492226004600525,0.004452228546142578
C155,BECN1,0.43787500262260437,0.626988410949707,-0.18911340832710266
C157,BECN1,0.4985690414905548,0.37547922134399414,0.12308982014656067
C162,BECN1,0.3534984290599823,0.29910850524902344,0.05438992381095886
C165,BECN1,0.4383946359157562,0.27471446990966797,0.16368016600608826
C170,BECN1,0.4474157392978668,0.325305700302124,0.1221100389957428
C106,C4BPA,0.0,0.0,0.0
C107,C4BPA,0.0,0.0,0.0
C109,C4BPA,0.0,0.0,0.0
C110,C4BPA,0.0,0.0,0.0
C111,C4BPA,0.0,0.0,0.0
C112,C4BPA,0.0,0.0,0.0
C113,C4BPA,0.0,0.0,0.0
C114,C4BPA,0.0,0.0,0.0
C115,C4BPA,0.0,0.0,0.0
C116,C4BPA,0.0,0.0,0.0
C119,C4BPA,0.0,0.0,0.0
C122,C4BPA,0.0,0.0,0.0
C123,C4BPA,0.0,0.0,0.0
C124,C4BPA,0.0,0.0,0.0
C125,C4BPA,0.0,0.0,0.0
C126,C4BPA,0.003677400993183255,0.0,0.003677400993183255
C129,C4BPA,0.0,0.0,0.0
C130,C4BPA,0.0,0.0,0.0
C132,C4BPA,0.0,0.0,0.0
C133,C4BPA,0.0,0.0,0.0
C134,C4BPA,0.0,0.0,0.0
C135,C4BPA,0.0,0.0,0.0
