branch_class,gene_symbol,string_id,string_preferred_name,mapped_to_STRING,degree,weighted_degree,degree_centrality,degree_rank,betweenness_centrality,betweenness_rank,closeness_centrality,pagerank,pagerank_rank,core_number,network_central_top10pct_any,network_top10pct_n,network_nodes_total,accessed_at_utc,source_database
thyroid-branch,ESRRA,9606.ENSP00000384851,ESRRA,True,6,5.005,0.027522935779816515,101,0.004251282569913648,58,0.3178044794413698,0.0031377430966754148,112,5,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,FETUB,9606.ENSP00000265029,FETUB,True,0,0,0.0,197,0.0,171,0.0,0.0007786140669608706,197,0,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,FGF7,9606.ENSP00000267843,FGF7,True,7,5.515,0.03211009174311927,90,0.0004698580685474976,112,0.3361786142270593,0.0032551927205875875,109,6,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,FKBP5,9606.ENSP00000444810,FKBP5,True,6,5.624,0.027522935779816515,102,0.00016762604677122704,127,0.323701882152653,0.0030258657496799756,118,6,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,FOS,9606.ENSP00000306245,FOS,True,28,23.83,0.12844036697247707,19,0.0058281643660149885,51,0.3944608362915495,0.010172853418331297,23,13,True,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,FOXA1,9606.ENSP00000250448,FOXA1,True,13,10.804,0.05963302752293578,51,0.013029448032605053,25,0.35359327217125386,0.005794673060102326,54,9,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,FOXA2,9606.ENSP00000400341,FOXA2,True,8,6.566,0.03669724770642202,80,0.0058619201073482055,50,0.315251833020154,0.00443342647009526,82,5,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GABRP,9606.ENSP00000430100,GABRP,True,0,0,0.0,198,0.0,172,0.0,0.0007786140669608706,198,0,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GDF15,9606.ENSP00000252809,GDF15,True,1,0.762,0.0045871559633027525,175,0.0,173,0.3178044794413698,0.0010821641559492826,187,1,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GFER,9606.ENSP00000248114,GFER,True,1,0.781,0.0045871559633027525,176,0.0,174,0.27303550059832465,0.001112592227264965,186,1,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GGT1,9606.ENSP00000248923,GGT1,True,6,5.121,0.027522935779816515,103,0.0,175,0.27640037472541673,0.0032640573853907925,108,6,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GLP1R,9606.ENSP00000362353,GLP1R,True,3,2.664,0.013761467889908258,137,0.0023636359871537327,70,0.2901948481405484,0.00302334406573828,119,3,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GNAS,9606.ENSP00000360141,GNAS,True,10,9.049,0.045871559633027525,72,0.04156563393834995,7,0.3435348202276514,0.009983210000674841,25,3,True,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GNRHR,9606.ENSP00000226413,GNRHR,True,1,0.931,0.0045871559633027525,177,0.0,176,0.24492264094233493,0.0016529619300254999,163,1,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GPR183,9606.ENSP00000365596,GPR183,True,0,0,0.0,199,0.0,177,0.0,0.0007786140669608706,199,0,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GPX3,9606.ENSP00000373477,GPX3,True,18,14.436,0.08256880733944955,36,0.01135909280239875,30,0.34580487410580774,0.007309289105440667,37,9,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GPX4,9606.ENSP00000346103,GPX4,True,10,8.918,0.045871559633027525,73,0.00533133789560053,54,0.34656824027381167,0.0051191939623636195,65,6,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GRK2,9606.ENSP00000312262,GRK2,True,5,3.995,0.022935779816513763,113,0.0011146314636761047,94,0.316523009766203,0.003095213774604896,115,3,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GSR,9606.ENSP00000221130,GSR,True,13,11.208,0.05963302752293578,52,0.002349160952843214,72,0.3084389250374002,0.006029771306422688,50,7,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GSTM1,9606.ENSP00000311469,GSTM1,True,11,9.378,0.05045871559633028,68,0.003556779058772015,63,0.2912716379295672,0.00585219431912047,52,6,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,GSTP1,9606.ENSP00000381607,GSTP1,True,15,12.529,0.06880733944954129,45,0.016372321284345178,19,0.33835218285352736,0.007094393383923092,39,7,True,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,HBB,9606.ENSP00000494175,HBB,True,0,0,0.0,200,0.0,178,0.0,0.0007786140669608706,200,0,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,HDAC3,9606.ENSP00000302967,HDAC3,True,12,9.812,0.05504587155963303,60,0.0013945049179924292,87,0.35359327217125386,0.00482842885827588,73,9,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,HDAC6,9606.ENSP00000365804,HDAC6,True,13,10.478,0.05963302752293578,53,0.0023528078803527826,71,0.3488786952089704,0.005266193797090125,61,8,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,HDAC9,9606.ENSP00000408617,HDAC9,True,5,3.914,0.022935779816513763,114,0.00017462617545325933,126,0.28912599050467164,0.002478721045382239,134,5,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,HIF1A,9606.ENSP00000437955,HIF1A,True,37,31.322,0.16972477064220184,12,0.01639348295342537,18,0.4142359177942921,0.01373981266296696,13,13,True,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,HMGB1,9606.ENSP00000345347,HMGB1,True,9,7.758,0.04128440366972477,75,0.0006545595667977032,106,0.344288186061484,0.0038435979742526094,91,8,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,HMOX1,9606.ENSP00000216117,HMOX1,True,21,17.306,0.0963302752293578,31,0.012581335730856834,27,0.36341530750934425,0.008292309376024517,32,11,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,HSPA5,9606.ENSP00000324173,HSPA5,True,17,14.387,0.0779816513761468,38,0.006928836864232649,46,0.3755871120670734,0.00731204206254712,36,8,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,HSPD1,9606.ENSP00000340019,HSPD1,True,6,5.0440000000000005,0.027522935779816515,104,0.0035014531577181943,65,0.3024959785048877,0.003402698322599849,102,4,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,IDH1,9606.ENSP00000390265,IDH1,True,8,6.361,0.03669724770642202,81,0.005868258008672603,49,0.3496557078931775,0.003919525030304662,90,6,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
