branch_class,status,source,native_id,term_name,description,intersection_size,term_size,effective_domain_size,query_size_mappable,p_value_corrected,significant_g_scs,precision,recall,source_order,group_id,branch_n_genes,branch_exact_2NAP_human_n,branch_exact_2NAP_experimental_n,branch_parent_naphthalene_n,branch_multi_source_ge2_n,branch_CTD_n,branch_toxicogenomic_n,branch_bioassay_target_n,background_n_genes,background_definition,multiple_testing,accessed_at_utc,source_database,error
hypertension-specific,OK,GO:BP,GO:0006081,aldehyde metabolic process,"""The chemical reactions and pathways involving aldehydes, any organic compound with the formula R-CH=O, as carried out by individual cells."" [GOC:go_curators, ISBN:0198506732]",2,6,682,248,1.0,False,0.008064516129032258,0.3333333333333333,1845,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006082,organic acid metabolic process,"""The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",48,104,682,248,1.0,False,0.1935483870967742,0.46153846153846156,1846,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006089,lactate metabolic process,"""The chemical reactions and pathways involving lactate, the anion of lactic acid."" [ISBN:0198547684]",1,3,682,248,1.0,False,0.004032258064516129,0.3333333333333333,1851,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006090,pyruvate metabolic process,"""The chemical reactions and pathways involving pyruvate, 2-oxopropanoate."" [GOC:go_curators]",7,15,682,248,1.0,False,0.028225806451612902,0.4666666666666667,1852,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006091,generation of precursor metabolites and energy,"""The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances."" [GOC:jl]",18,43,682,248,1.0,False,0.07258064516129033,0.4186046511627907,1853,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006094,gluconeogenesis,"""The formation of glucose from noncarbohydrate precursors, such as pyruvate, amino acids and glycerol."" [MetaCyc:GLUCONEO-PWY]",2,7,682,248,1.0,False,0.008064516129032258,0.2857142857142857,1854,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006096,glycolytic process,"""The chemical reactions and pathways resulting in the breakdown of a carbohydrate into pyruvate, with the concomitant production of a small amount of ATP and the reduction of NAD(P) to NAD(P)H. Glycolysis begins with the metabolism of a carbohydrate to generate products that can enter the pathway and ends with the production of pyruvate. Pyruvate may be converted to acetyl-coenzyme A, ethanol, lactate, or other small molecules."" [GOC:bf, GOC:dph, ISBN:0201090910, ISBN:0716720094, ISBN:0879010479, Wikipedia:Glycolysis]",6,14,682,248,1.0,False,0.024193548387096774,0.42857142857142855,1855,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006109,regulation of carbohydrate metabolic process,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving carbohydrates."" [GOC:go_curators]",11,29,682,248,1.0,False,0.04435483870967742,0.3793103448275862,1867,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006110,regulation of glycolytic process,"""Any process that modulates the frequency, rate or extent of glycolysis."" [GOC:go_curators]",6,11,682,248,1.0,False,0.024193548387096774,0.5454545454545454,1868,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006111,regulation of gluconeogenesis,"""Any process that modulates the frequency, rate or extent of gluconeogenesis, the formation of glucose from noncarbohydrate precursors, such as pyruvate, amino acids and glycerol."" [GOC:go_curators]",1,5,682,248,1.0,False,0.004032258064516129,0.2,1869,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006112,energy reserve metabolic process,"""The chemical reactions and pathways by which a cell derives energy from stored compounds such as fats or glycogen."" [GOC:mah]",5,9,682,248,1.0,False,0.020161290322580645,0.5555555555555556,1870,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006119,oxidative phosphorylation,"""The phosphorylation of ADP to ATP that accompanies the oxidation of a metabolite through the operation of the respiratory chain. Oxidation of compounds establishes a proton gradient across the membrane, providing the energy for ATP synthesis."" [ISBN:0198506732, ISBN:0471331309]",2,9,682,248,1.0,False,0.008064516129032258,0.2222222222222222,1875,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006139,nucleobase-containing compound metabolic process,"""Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:ai]",78,240,682,248,1.0,False,0.31451612903225806,0.325,1882,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006140,regulation of nucleotide metabolic process,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleotides."" [GOC:go_curators]",6,16,682,248,1.0,False,0.024193548387096774,0.375,1883,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006163,purine nucleotide metabolic process,"""The chemical reactions and pathways involving a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",12,31,682,248,1.0,False,0.04838709677419355,0.3870967741935484,1895,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006164,purine nucleotide biosynthetic process,"""The chemical reactions and pathways resulting in the formation of a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",2,10,682,248,1.0,False,0.008064516129032258,0.2,1896,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006195,purine nucleotide catabolic process,"""The chemical reactions and pathways resulting in the breakdown of a purine nucleotide, a compound consisting of nucleoside (a purine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",6,15,682,248,1.0,False,0.024193548387096774,0.4,1921,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006213,pyrimidine nucleoside metabolic process,"""The chemical reactions and pathways involving any pyrimidine nucleoside, one of a family of organic molecules consisting of a pyrimidine base covalently bonded to ribose (a ribonucleoside) or deoxyribose (a deoxyribonucleoside)."" [GOC:jl, ISBN:0140512713]",1,1,682,248,1.0,False,0.004032258064516129,1.0,1934,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006220,pyrimidine nucleotide metabolic process,"""The chemical reactions and pathways involving a pyrimidine nucleotide, a compound consisting of nucleoside (a pyrimidine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",1,1,682,248,1.0,False,0.004032258064516129,1.0,1940,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006221,pyrimidine nucleotide biosynthetic process,"""The chemical reactions and pathways resulting in the formation of a pyrimidine nucleotide, a compound consisting of nucleoside (a pyrimidine base linked to a deoxyribose or ribose sugar) esterified with a phosphate group at either the 3' or 5'-hydroxyl group of the sugar."" [GOC:go_curators, ISBN:0198506732]",1,1,682,248,1.0,False,0.004032258064516129,1.0,1941,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006259,DNA metabolic process,"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]",28,76,682,248,1.0,False,0.11290322580645161,0.3684210526315789,1971,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006260,DNA replication,"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]",9,30,682,248,1.0,False,0.036290322580645164,0.3,1972,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006261,DNA-templated DNA replication,"""A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands."" [GOC:mah, ISBN:0198506732]",5,13,682,248,1.0,False,0.020161290322580645,0.38461538461538464,1973,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006270,DNA replication initiation,"""The process in which DNA-dependent DNA replication is started; it begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, followed by DNA unwinding."" [PMID:28209641]",1,3,682,248,1.0,False,0.004032258064516129,0.3333333333333333,1978,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006275,regulation of DNA replication,"""Any process that modulates the frequency, rate or extent of DNA replication."" [GOC:go_curators]",4,14,682,248,1.0,False,0.016129032258064516,0.2857142857142857,1983,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006281,DNA repair,"""The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."" [PMID:11563486]",17,43,682,248,1.0,False,0.06854838709677419,0.3953488372093023,1988,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006282,regulation of DNA repair,"""Any process that modulates the frequency, rate or extent of DNA repair."" [GOC:go_curators]",8,21,682,248,1.0,False,0.03225806451612903,0.38095238095238093,1989,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006284,base-excision repair,"""In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase."" [ISBN:0815316194]",1,2,682,248,1.0,False,0.004032258064516129,0.5,1991,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006287,"base-excision repair, gap-filling","""Repair of the damaged strand by the combined action of an apurinic endouclease that degrades a few bases on the damaged strand and a polymerase that synthesizes a 'patch' in the 5' to 3' direction, using the undamaged strand as a template."" [ISBN:1550091131]",1,1,682,248,1.0,False,0.004032258064516129,1.0,1993,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006289,nucleotide-excision repair,"""A DNA repair process in which a small region of the strand surrounding the damage is removed from the DNA helix as an oligonucleotide. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase. Nucleotide excision repair recognizes a wide range of substrates, including damage caused by UV irradiation (pyrimidine dimers and 6-4 photoproducts) and chemicals (intrastrand cross-links and bulky adducts)."" [PMID:10197977]",2,6,682,248,1.0,False,0.008064516129032258,0.3333333333333333,1994,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006301,DNA damage tolerance,"""A process that promotes the bypass of single-stranded DNA lesions encountered by DNA polymerases during DNA replication, thereby preventing replication fork stalling and allowing completion of DNA replication without removing the damage."" [PMID:18157158, PMID:26322163, PMID:31251805]",2,8,682,248,1.0,False,0.008064516129032258,0.25,2000,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006302,double-strand break repair,"""The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix."" [GOC:elh]",8,26,682,248,1.0,False,0.03225806451612903,0.3076923076923077,2001,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006303,double-strand break repair via nonhomologous end joining,"""The repair of a double-strand break in DNA in which the two broken ends are rejoined with little or no sequence complementarity. Information at the DNA ends may be lost due to the modification of broken DNA ends. This term covers instances of separate pathways, called classical (or canonical) and alternative nonhomologous end joining (C-NHEJ and A-NHEJ). These in turn may further branch into sub-pathways, but evidence is still unclear."" [GOC:rph, PMID:10827453, PMID:24837021]",1,4,682,248,1.0,False,0.004032258064516129,0.25,2002,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006304,DNA modification,"""The covalent alteration of one or more nucleotide sites in DNA, resulting in a change in its properties."" [GOC:jl, GOC:ma]",2,3,682,248,1.0,False,0.008064516129032258,0.6666666666666666,2003,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006308,DNA catabolic process,"""The cellular DNA metabolic process resulting in the breakdown of DNA, deoxyribonucleic acid, one of the two main types of nucleic acid, consisting of a long unbranched macromolecule formed from one or two strands of linked deoxyribonucleotides, the 3'-phosphate group of each constituent deoxyribonucleotide being joined in 3',5'-phosphodiester linkage to the 5'-hydroxyl group of the deoxyribose moiety of the next one."" [GOC:go_curators, ISBN:0198506732]",1,2,682,248,1.0,False,0.004032258064516129,0.5,2005,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006309,apoptotic DNA fragmentation,"""The cleavage of DNA during apoptosis, which usually occurs in two stages: cleavage into fragments of about 50 kbp followed by cleavage between nucleosomes to yield 200 bp fragments."" [GOC:dph, GOC:mah, GOC:mtg_apoptosis, GOC:tb, ISBN:0721639976, PMID:15723341, PMID:23379520]",1,2,682,248,1.0,False,0.004032258064516129,0.5,2006,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006310,DNA recombination,"""Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."" [ISBN:0198506732]",7,25,682,248,1.0,False,0.028225806451612902,0.28,2007,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006312,mitotic recombination,"""The exchange, reciprocal or nonreciprocal, of genetic material between one DNA molecule and a homologous DNA region that occurs during mitotic cell cycles."" [GOC:elh]",1,1,682,248,1.0,False,0.004032258064516129,1.0,2009,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006325,chromatin organization,"""The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."" [PMID:20404130]",20,61,682,248,1.0,False,0.08064516129032258,0.32786885245901637,2014,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006334,nucleosome assembly,"""The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA."" [GOC:mah]",2,2,682,248,1.0,False,0.008064516129032258,1.0,2015,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006338,chromatin remodeling,"""A dynamic process of chromatin reorganization resulting in changes to chromatin structure. These changes allow DNA metabolic processes such as transcriptional regulation, DNA recombination, DNA repair, and DNA replication."" [GOC:jid, GOC:vw, PMID:12042764, PMID:12697820]",20,56,682,248,1.0,False,0.08064516129032258,0.35714285714285715,2018,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006351,DNA-templated transcription,"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]",55,176,682,248,1.0,False,0.2217741935483871,0.3125,2020,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006352,DNA-templated transcription initiation,"""The initial step of transcription, consisting of the assembly of the RNA polymerase preinitiation complex (PIC) at a gene promoter, as well as the formation of the first few bonds of the RNA transcript. Transcription initiation includes abortive initiation events, which occur when the first few nucleotides are repeatedly synthesized and then released, and ends when promoter clearance takes place."" [GOC:jid, GOC:txnOH, PMID:18280161]",2,12,682,248,1.0,False,0.008064516129032258,0.16666666666666666,2021,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006355,regulation of DNA-templated transcription,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",53,172,682,248,1.0,False,0.21370967741935484,0.3081395348837209,2024,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006357,regulation of transcription by RNA polymerase II,"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]",47,149,682,248,1.0,False,0.18951612903225806,0.31543624161073824,2026,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006366,transcription by RNA polymerase II,"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]",49,152,682,248,1.0,False,0.1975806451612903,0.3223684210526316,2033,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006367,transcription initiation at RNA polymerase II promoter,"""A transcription initiation process that takes place at a RNA polymerase II gene promoter. Messenger RNAs (mRNA) genes, as well as some non-coding RNAs, are transcribed by RNA polymerase II."" [GOC:mah, GOC:txnOH]",2,10,682,248,1.0,False,0.008064516129032258,0.2,2034,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006396,RNA processing,"""Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules."" [GOC:mah]",6,18,682,248,1.0,False,0.024193548387096774,0.3333333333333333,2049,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006397,mRNA processing,"""Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide."" [GOC:mah]",2,9,682,248,1.0,False,0.008064516129032258,0.2222222222222222,2050,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006401,RNA catabolic process,"""The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]",8,11,682,248,1.0,False,0.03225806451612903,0.7272727272727273,2054,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006402,mRNA catabolic process,"""The chemical reactions and pathways resulting in the breakdown of mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."" [ISBN:0198506732]",7,10,682,248,1.0,False,0.028225806451612902,0.7,2055,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006403,RNA localization,"""A process in which RNA is transported to, or maintained in, a specific location."" [GOC:ai]",1,10,682,248,1.0,False,0.004032258064516129,0.1,2056,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006404,RNA import into nucleus,"""The import of RNA from the cytoplasm to the nucleus."" [GOC:ma]",1,3,682,248,1.0,False,0.004032258064516129,0.3333333333333333,2057,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006405,RNA export from nucleus,"""The directed movement of RNA from the nucleus to the cytoplasm."" [GOC:ma]",1,2,682,248,1.0,False,0.004032258064516129,0.5,2058,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006412,translation,"""The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."" [GOC:go_curators]",8,22,682,248,1.0,False,0.03225806451612903,0.36363636363636365,2062,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006413,translational initiation,"""The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA."" [ISBN:019879276X]",2,7,682,248,1.0,False,0.008064516129032258,0.2857142857142857,2063,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006417,regulation of translation,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."" [GOC:isa_complete]",6,17,682,248,1.0,False,0.024193548387096774,0.35294117647058826,2066,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
hypertension-specific,OK,GO:BP,GO:0006446,regulation of translational initiation,"""Any process that modulates the frequency, rate or extent of translational initiation."" [GOC:go_curators]",2,4,682,248,1.0,False,0.008064516129032258,0.5,2088,1,251,26,4,244,11,166,95,95,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:38.568871+00:00,g:Profiler g:GOSt,
