branch_class,gene_a,gene_b,string_id_a,string_id_b,preferred_name_a,preferred_name_b,score,required_score,network_type,species,accessed_at_utc,source_database
thyroid-branch,AURKA,CCNA2,9606.ENSP00000216911,9606.ENSP00000481380,AURKA,CCNA2,0.949,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,AURKA,CDCA8,9606.ENSP00000216911,9606.ENSP00000362146,AURKA,CDCA8,0.952,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,AURKA,CCNB2,9606.ENSP00000216911,9606.ENSP00000288207,AURKA,CCNB2,0.988,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,AURKA,BIRC5,9606.ENSP00000216911,9606.ENSP00000301633,AURKA,BIRC5,0.993,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,AURKA,TP53,9606.ENSP00000216911,9606.ENSP00000269305,AURKA,TP53,0.998,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,JUN,9606.ENSP00000218388,9606.ENSP00000360266,TIMP1,JUN,0.701,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,NFKB1,9606.ENSP00000218388,9606.ENSP00000226574,TIMP1,NFKB1,0.704,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,IL4,9606.ENSP00000218388,9606.ENSP00000231449,TIMP1,IL4,0.72,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,ADAM17,9606.ENSP00000218388,9606.ENSP00000309968,TIMP1,ADAM17,0.725,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,TNF,9606.ENSP00000218388,9606.ENSP00000398698,TIMP1,TNF,0.727,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,ALB,9606.ENSP00000218388,9606.ENSP00000295897,TIMP1,ALB,0.737,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,CXCL10,9606.ENSP00000218388,9606.ENSP00000305651,TIMP1,CXCL10,0.744,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,IFNG,9606.ENSP00000218388,9606.ENSP00000229135,TIMP1,IFNG,0.76,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,CXCL8,9606.ENSP00000218388,9606.ENSP00000306512,TIMP1,CXCL8,0.78,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,IL1B,9606.ENSP00000218388,9606.ENSP00000263341,TIMP1,IL1B,0.791,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,SERPINE1,9606.ENSP00000218388,9606.ENSP00000223095,TIMP1,SERPINE1,0.84,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,COL1A1,9606.ENSP00000218388,9606.ENSP00000225964,TIMP1,COL1A1,0.842,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,CCL2,9606.ENSP00000218388,9606.ENSP00000225831,TIMP1,CCL2,0.867,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,MMP9,9606.ENSP00000218388,9606.ENSP00000361405,TIMP1,MMP9,0.999,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,TIMP1,MMP14,9606.ENSP00000218388,9606.ENSP00000308208,TIMP1,MMP14,0.999,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,PLAT,EDN1,9606.ENSP00000220809,9606.ENSP00000368683,PLAT,EDN1,0.739,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,PLAT,MMP9,9606.ENSP00000220809,9606.ENSP00000361405,PLAT,MMP9,0.893,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,PLAT,SERPINE1,9606.ENSP00000220809,9606.ENSP00000223095,PLAT,SERPINE1,0.999,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,PRDX1,9606.ENSP00000221130,9606.ENSP00000262746,GSR,PRDX1,0.703,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,KEAP1,9606.ENSP00000221130,9606.ENSP00000377245,GSR,KEAP1,0.712,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,CYCS,9606.ENSP00000221130,9606.ENSP00000307786,GSR,CYCS,0.721,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,IDH1,9606.ENSP00000221130,9606.ENSP00000390265,GSR,IDH1,0.776,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,NQO1,9606.ENSP00000221130,9606.ENSP00000319788,GSR,NQO1,0.835,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,NFE2L2,9606.ENSP00000221130,9606.ENSP00000380252,GSR,NFE2L2,0.93,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,GGT1,9606.ENSP00000221130,9606.ENSP00000248923,GSR,GGT1,0.933,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,GSTM1,9606.ENSP00000221130,9606.ENSP00000311469,GSR,GSTM1,0.945,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,GSTP1,9606.ENSP00000221130,9606.ENSP00000381607,GSR,GSTP1,0.952,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,PRDX6,9606.ENSP00000221130,9606.ENSP00000342026,GSR,PRDX6,0.964,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,GPX4,9606.ENSP00000221130,9606.ENSP00000346103,GSR,GPX4,0.98,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,GSR,GPX3,9606.ENSP00000221130,9606.ENSP00000373477,GSR,GPX3,0.996,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,PON1,GPX3,9606.ENSP00000222381,9606.ENSP00000373477,PON1,GPX3,0.745,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,PON1,APP,9606.ENSP00000222381,9606.ENSP00000284981,PON1,APP,0.782,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,PON1,ALB,9606.ENSP00000222381,9606.ENSP00000295897,PON1,ALB,0.862,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,PON1,CLU,9606.ENSP00000222381,9606.ENSP00000315130,PON1,CLU,0.996,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,CDKN1A,9606.ENSP00000223095,9606.ENSP00000384849,SERPINE1,CDKN1A,0.701,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,IFNG,9606.ENSP00000223095,9606.ENSP00000229135,SERPINE1,IFNG,0.72,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,PPARG,9606.ENSP00000223095,9606.ENSP00000287820,SERPINE1,PPARG,0.732,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,IGF1,9606.ENSP00000223095,9606.ENSP00000376637,SERPINE1,IGF1,0.733,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,CXCL8,9606.ENSP00000223095,9606.ENSP00000306512,SERPINE1,CXCL8,0.736,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,IL1B,9606.ENSP00000223095,9606.ENSP00000263341,SERPINE1,IL1B,0.746,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,EDN1,9606.ENSP00000223095,9606.ENSP00000368683,SERPINE1,EDN1,0.755,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,TNF,9606.ENSP00000223095,9606.ENSP00000398698,SERPINE1,TNF,0.764,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,MMP9,9606.ENSP00000223095,9606.ENSP00000361405,SERPINE1,MMP9,0.801,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,SMAD2,9606.ENSP00000223095,9606.ENSP00000262160,SERPINE1,SMAD2,0.846,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,SERPINE1,CCL2,9606.ENSP00000223095,9606.ENSP00000225831,SERPINE1,CCL2,0.918,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,CASP1,9606.ENSP00000225831,9606.ENSP00000433138,CCL2,CASP1,0.707,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,AKT1,9606.ENSP00000225831,9606.ENSP00000451828,CCL2,AKT1,0.72,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,EGFR,9606.ENSP00000225831,9606.ENSP00000275493,CCL2,EGFR,0.725,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,PPARG,9606.ENSP00000225831,9606.ENSP00000287820,CCL2,PPARG,0.731,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,ALB,9606.ENSP00000225831,9606.ENSP00000295897,CCL2,ALB,0.739,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,FOS,9606.ENSP00000225831,9606.ENSP00000306245,CCL2,FOS,0.756,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,IGF1,9606.ENSP00000225831,9606.ENSP00000376637,CCL2,IGF1,0.76,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,EDN1,9606.ENSP00000225831,9606.ENSP00000368683,CCL2,EDN1,0.791,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,CCL2,MMP9,9606.ENSP00000225831,9606.ENSP00000361405,CCL2,MMP9,0.809,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
