probe_id,gene_symbol,mad,selection_rank
ENSG00000225760.1,LINC00431,3.94825,220
ENSG00000171102.14,OBP2B,3.9473000000000003,221
ENSG00000257221.1,RP11-689B22.2,3.9455500000000003,222
ENSG00000265574.1,WDR45BP1,3.9349999999999996,223
ENSG00000278998.1,RP11-1430O6.1,3.934,224
ENSG00000268500.5,AC018755.18,3.9259999999999993,225
ENSG00000246022.2,ALDH1L1-AS2,3.9259999999999993,226
ENSG00000263082.1,CTD-2034I21.2,3.9259999999999993,227
ENSG00000172640.3,OR10AD1,3.9259999999999993,228
ENSG00000100146.16,SOX10,3.9254999999999995,229
ENSG00000234676.1,IFT74-AS1,3.9209999999999994,230
ENSG00000213409.4,C1QBPP2,3.9084999999999996,231
ENSG00000235277.1,AF127577.8,3.89365,232
ENSG00000262413.1,RP11-498C9.3,3.891,233
ENSG00000251292.1,ERVH-1,3.88945,234
ENSG00000181072.11,CHRM2,3.889,235
ENSG00000267886.1,CTD-2291D10.4,3.88425,236
ENSG00000243352.3,RN7SL8P,3.88,237
ENSG00000255404.1,RP11-770G2.5,3.877,238
ENSG00000264058.1,RP5-1028K7.3,3.8675,239
ENSG00000240231.1,RPS27P29,3.8605,240
ENSG00000182271.12,TMIGD1,3.8603500000000004,241
ENSG00000114374.12,USP9Y,3.8535,242
ENSG00000260075.1,NSFP1,3.8449999999999998,243
ENSG00000258858.1,RP11-982M15.5,3.841049999999999,244
ENSG00000215452.3,ZNF663P,3.8409,245
ENSG00000276991.1,MIAT_exon5_3,3.8405,246
ENSG00000249240.2,AC069368.3,3.8307,247
ENSG00000215221.2,UBA52P6,3.82735,248
ENSG00000259584.1,RP11-521C20.2,3.8235,249
ENSG00000261822.1,RP11-265N6.2,3.8195,250
ENSG00000164129.11,NPY5R,3.8175,251
ENSG00000234828.7,RP11-526A4.1,3.8175,252
ENSG00000228238.1,GS1-304P7.2,3.801499999999999,253
ENSG00000167633.16,KIR3DL1,3.801499999999999,254
ENSG00000236039.1,AC019117.2,3.8013500000000002,255
ENSG00000282558.1,PAPD7,3.7994999999999997,256
ENSG00000165462.5,PHOX2A,3.7974999999999994,257
ENSG00000226991.2,AC112229.6,3.788,258
ENSG00000232528.3,RP4-673D20.3,3.7845,259
ENSG00000258072.1,RP11-554D14.2,3.7689999999999997,260
ENSG00000225742.5,RP11-513G11.4,3.768,261
ENSG00000196104.10,SPOCK3,3.768,262
ENSG00000012817.15,KDM5D,3.76675,263
ENSG00000234040.3,RP11-254B13.4,3.76105,264
ENSG00000067646.11,ZFY,3.7609999999999997,265
ENSG00000067048.16,DDX3Y,3.7587,266
ENSG00000278419.1,RP11-298E9.7,3.7464999999999993,267
ENSG00000259022.2,DNAJC8P1,3.7299999999999986,268
ENSG00000233381.3,AK4P3,3.7161000000000004,269
ENSG00000016490.15,CLCA1,3.7135,270
ENSG00000232775.6,BMS1P22,3.7114999999999996,271
ENSG00000278530.4,CHMP1B2P,3.7114999999999996,272
ENSG00000254855.1,RP11-867G23.1,3.7109999999999994,273
ENSG00000228917.1,RP11-544M22.8,3.703,274
ENSG00000241794.1,SPRR2A,3.6985,275
ENSG00000144452.14,ABCA12,3.69,276
ENSG00000186867.10,QRFPR,3.6895,277
ENSG00000278518.1,RP11-108K14.12,3.6814999999999998,278
ENSG00000233838.5,DPH3P1,3.68,279
ENSG00000234203.1,RP5-1050D4.2,3.6769999999999996,280
ENSG00000232006.8,AC005537.2,3.673,281
ENSG00000253986.1,CTC-756D1.3,3.6654999999999998,282
ENSG00000168070.11,C11orf85,3.6630000000000003,283
ENSG00000204065.2,TCEAL5,3.6630000000000003,284
ENSG00000267069.1,RP11-64C12.8,3.651,285
ENSG00000205054.6,LINC01121,3.650499999999999,286
ENSG00000156096.12,UGT2B4,3.650499999999999,287
ENSG00000148965.8,SAA4,3.6497,288
ENSG00000235237.1,RP1-151B14.6,3.642999999999999,289
ENSG00000276185.1,TP53TG1_2,3.6391999999999998,290
ENSG00000274654.1,CTD-3247H4.2,3.6354999999999995,291
ENSG00000224004.2,ATP5C1P1,3.635,292
ENSG00000223356.1,RP11-66D17.5,3.6308,293
ENSG00000259138.1,RP11-950C14.7,3.62995,294
ENSG00000273388.1,RP11-401O9.4,3.6287000000000003,295
ENSG00000165246.12,NLGN4Y,3.6270000000000002,296
ENSG00000232767.1,RP11-498B4.5,3.62675,297
ENSG00000179914.4,ITLN1,3.6255,298
ENSG00000264188.1,RP11-13N13.5,3.613,299
ENSG00000261332.1,RP11-297C4.1,3.6122,300
ENSG00000233384.1,RP11-100E13.1,3.61175,301
ENSG00000282572.1,RP11-482G13.1,3.5995,302
ENSG00000092009.10,CMA1,3.5939500000000004,303
ENSG00000274367.1,LA16c-380H5.6,3.5881999999999996,304
ENSG00000223814.1,RP11-543D5.2,3.58205,305
ENSG00000253105.5,KB-1448A5.1,3.5809999999999995,306
ENSG00000273046.1,RP11-834C11.14,3.5806999999999993,307
ENSG00000280241.3,RP11-290O12.2,3.5619999999999994,308
ENSG00000251320.1,CTC-327F10.4,3.5582000000000003,309
ENSG00000234477.1,AC004231.2,3.542,310
ENSG00000280311.1,RP13-554M15.5,3.5325,311
ENSG00000254933.1,RP11-619A14.2,3.5324500000000003,312
ENSG00000281052.1,U91328.1,3.531,313
ENSG00000211805.1,TRAV24,3.5226499999999996,314
ENSG00000225365.1,AC078942.1,3.5204999999999997,315
ENSG00000258656.1,RP11-193F5.4,3.5125,316
ENSG00000225883.2,BMS1P11,3.5072,317
ENSG00000275874.1,LINC00162,3.5044999999999997,318
ENSG00000205754.10,SLCO1B7,3.5044999999999997,319
ENSG00000158816.15,VWA5B1,3.4905,320
ENSG00000172016.15,REG3A,3.48775,321
ENSG00000266076.1,CTD-2535L24.2,3.4849999999999994,322
ENSG00000233313.2,HMGA1P5,3.4795,323
ENSG00000122585.7,NPY,3.46835,324
ENSG00000229769.2,TRBV10-2,3.46755,325
ENSG00000172023.7,REG1B,3.4675,326
ENSG00000105398.3,SULT2A1,3.4654999999999996,327
ENSG00000264272.1,CTD-2514K5.4,3.4646999999999997,328
ENSG00000268163.1,AC004076.9,3.4619999999999993,329
ENSG00000176868.2,RP11-334J6.7,3.4605,330
ENSG00000166535.19,A2ML1,3.459999999999999,331
ENSG00000004846.16,ABCB5,3.459999999999999,332
ENSG00000234859.5,AC003958.2,3.459999999999999,333
ENSG00000261757.1,AC005592.3,3.459999999999999,334
ENSG00000278999.1,AC008985.1,3.459999999999999,335
ENSG00000260597.1,AC012531.25,3.459999999999999,336
ENSG00000225868.6,AC016582.2,3.459999999999999,337
ENSG00000236449.1,AC018890.6,3.459999999999999,338
ENSG00000280323.1,AC053503.12,3.459999999999999,339
ENSG00000266976.1,AC079466.1,3.459999999999999,340
ENSG00000227189.2,AC092535.3,3.459999999999999,341
ENSG00000115361.7,ACADL,3.459999999999999,342
ENSG00000169067.3,ACTBL2,3.459999999999999,343
ENSG00000279390.1,AF127577.13,3.459999999999999,344
ENSG00000111732.10,AICDA,3.459999999999999,345
ENSG00000264006.6,AKR1C8P,3.459999999999999,346
ENSG00000178171.10,AMER3,3.459999999999999,347
ENSG00000270093.1,AP000473.8,3.459999999999999,348
ENSG00000084674.13,APOB,3.459999999999999,349
ENSG00000143595.12,AQP10,3.459999999999999,350
ENSG00000167580.7,AQP2,3.459999999999999,351
ENSG00000165309.13,ARMC3,3.459999999999999,352
ENSG00000198797.6,BRINP2,3.459999999999999,353
ENSG00000276462.1,BX255923.3,3.459999999999999,354
ENSG00000154493.17,C10orf90,3.459999999999999,355
ENSG00000177994.15,C2orf73,3.459999999999999,356
ENSG00000205086.6,C2orf91,3.459999999999999,357
ENSG00000167798.16,C3P1,3.459999999999999,358
ENSG00000248874.5,C5orf17,3.459999999999999,359
ENSG00000165181.16,C9orf84,3.459999999999999,360
ENSG00000175161.13,CADM2,3.459999999999999,361
ENSG00000164287.12,CDC20B,3.459999999999999,362
ENSG00000157211.10,CDCP2,3.459999999999999,363
ENSG00000187492.8,CDHR4,3.459999999999999,364
ENSG00000276266.1,CH17-80A12.1,3.459999999999999,365
ENSG00000156284.5,CLDN8,3.459999999999999,366
ENSG00000257127.6,CLLU1,3.459999999999999,367
ENSG00000082293.12,COL19A1,3.459999999999999,368
ENSG00000080618.13,CPB2,3.459999999999999,369
ENSG00000240216.7,CPHL1P,3.459999999999999,370
ENSG00000134376.14,CRB1,3.459999999999999,371
ENSG00000230162.1,CT45A11P,3.459999999999999,372
ENSG00000267890.1,CTD-2126E3.4,3.459999999999999,373
ENSG00000260266.1,CTD-2311M21.2,3.459999999999999,374
