"gene_symbol","module","network_input","kME_turquoise","kME_brown","kME_blue","kME_grey","max_abs_kME","best_kME_module"
"RP11-214K3.19","blue",TRUE,-0.0070980489740383,0.00837586418618909,0.423254764285681,0.170274830158643,0.423254764285681,"blue"
"SLC35F3","turquoise",TRUE,0.546536620490599,0.500660123467897,0.117578280274088,0.017437143467634,0.546536620490599,"turquoise"
"HHLA2","grey",TRUE,-0.0508781021203116,0.0510350642485467,-0.0138006342072864,0.279889357257677,0.279889357257677,"grey"
"PCDHB5","turquoise",TRUE,0.793928368315592,0.506154606553925,0.0736701525582162,0.225194129503084,0.793928368315592,"turquoise"
"TUBB2B","turquoise",TRUE,0.383083432125741,0.265695476046141,0.00623303516744337,-0.00950964662593884,0.383083432125741,"turquoise"
"OSCAR","turquoise",TRUE,0.691146600867344,0.673207989679824,-0.000248261853231467,-0.131864106325521,0.691146600867344,"turquoise"
"C1orf127","turquoise",TRUE,0.279201847176972,0.198359943010272,0.197350373257528,0.231851376981192,0.279201847176972,"turquoise"
"RP11-610P16.1","grey",TRUE,0.139952213361867,0.104571554399357,0.263071589532056,0.333813192061771,0.333813192061771,"grey"
"TPPP","grey",TRUE,0.211337263555255,0.152049416473441,0.10893793029369,-0.0843127274616086,0.211337263555255,"turquoise"
"RP11-290F5.1","brown",TRUE,0.285141664035674,0.468269195919685,0.191547609829341,0.204527716445652,0.468269195919685,"brown"
"CLDN14","grey",TRUE,0.110866767209053,0.167843269746661,-0.0652412699652104,0.0676457402816882,0.167843269746661,"brown"
"LINC00954","blue",TRUE,0.371317004125309,0.131725563203495,0.586045229902194,0.597324567575083,0.597324567575083,"grey"
"AP000695.4","turquoise",TRUE,0.4219086916776,0.376160714272076,-0.101967210401017,-0.210048465612669,0.4219086916776,"turquoise"
"CTD-2588E21.1","turquoise",TRUE,0.400498337013995,0.36167909403898,0.0284165786895052,0.164510035558942,0.400498337013995,"turquoise"
"RP11-131L23.2","grey",TRUE,-0.0125038498629843,-0.0284982616179125,0.127726133379309,0.0874687172287813,0.127726133379309,"blue"
"RP11-927P21.1","grey",TRUE,0.0633913595245166,-0.00556414415329832,0.327280089495128,0.04710733498203,0.327280089495128,"blue"
"TAS2R38","blue",TRUE,0.0724499564062694,-0.0489773580908198,0.287894479465304,0.29661517066066,0.29661517066066,"grey"
"DUX4L50","turquoise",TRUE,0.419078697515977,0.381979470245056,0.288437749297533,0.234927518285545,0.419078697515977,"turquoise"
"BTBD11","turquoise",TRUE,0.414143518105491,0.368294276016709,0.0503849558782363,0.0361673896734601,0.414143518105491,"turquoise"
"AC068279.3","blue",TRUE,-0.0444245723588424,-0.113319050843035,0.450738308583196,0.281075656096923,0.450738308583196,"blue"
"LINC01372","blue",TRUE,0.0180468364620297,-0.0287185298465858,0.402482210561381,0.253580268372808,0.402482210561381,"blue"
"PLLP","grey",TRUE,-0.0099251800331437,0.22736388297584,-0.210418436820087,-0.474026536614748,0.474026536614748,"grey"
"RP11-169K16.6","grey",TRUE,-0.0977641925363891,-0.101916020124363,0.021064540597496,0.320099417527277,0.320099417527277,"grey"
"RP5-902P8.10","blue",TRUE,0.103974986651343,0.0665345671041801,0.388977551573294,0.155135443218207,0.388977551573294,"blue"
"LDHAP7","grey",TRUE,0.0245176592102729,0.0750772886959657,-0.0665869842319689,-0.0299030344882039,0.0750772886959657,"brown"
"GPC3","grey",TRUE,0.229424229690641,0.285775499118302,-0.0407685883305795,-0.0554489506175883,0.285775499118302,"brown"
"HOXB6","grey",TRUE,-0.118883999116551,-0.0468150926934566,0.113244998062249,-0.120538368549881,0.120538368549881,"grey"
"TNFRSF9","brown",TRUE,0.606550083639391,0.818014236357932,-0.0298590998482837,-0.126861838929552,0.818014236357932,"brown"
"RP11-284F21.9","grey",TRUE,-0.0320343159316454,0.00639828624130151,0.157312905564315,-0.170354173368488,0.170354173368488,"grey"
"APOLD1","turquoise",TRUE,0.346915219422419,0.126829339790219,0.106672391363224,0.363701459429992,0.363701459429992,"grey"
"RP11-514P8.7","grey",TRUE,0.0253932773706177,0.0738766946922758,0.102346425310276,0.0465258238055999,0.102346425310276,"blue"
"FASLG","brown",TRUE,0.326502095731263,0.711080534524222,0.0210646329371257,-0.218420030760717,0.711080534524222,"brown"
"RP11-787I22.3","blue",TRUE,0.0907555967743928,-0.0356859949544266,0.444896190296042,0.402060885202008,0.444896190296042,"blue"
"SDK2","turquoise",TRUE,0.438144463596787,0.421324816804265,0.133079502967441,0.00873257527688462,0.438144463596787,"turquoise"
"PLD4","brown",TRUE,0.614003196079228,0.648500925838566,0.00352538721856438,0.158768613464109,0.648500925838566,"brown"
"RP11-234B24.2","grey",TRUE,-0.0907776613537265,-0.00341651290353726,-0.00949569467175216,0.131469907609158,0.131469907609158,"grey"
"RP11-373D23.2","blue",TRUE,0.0442433410882509,0.0644082665134949,0.372964782680844,0.0220944444742137,0.372964782680844,"blue"
"GJC3","grey",TRUE,0.0640649487338072,-0.165682717755421,0.0838311835152355,0.499791021896565,0.499791021896565,"grey"
"RP11-330L19.1","grey",TRUE,-0.170143638556403,-0.14285932890816,0.0439588460945038,0.0299919551325731,0.170143638556403,"turquoise"
"INHBA","turquoise",TRUE,0.839253311228434,0.63982859347106,0.0989770983009319,0.0352222403050994,0.839253311228434,"turquoise"
"GPR22","grey",TRUE,-0.0429391520597568,-0.0735460825731578,0.0975837049327799,-0.0557262075507688,0.0975837049327799,"blue"
"RP11-627G23.1","grey",TRUE,-0.0445929789066334,-0.189759175698311,0.326904415924128,0.564119410624917,0.564119410624917,"grey"
"LUM","turquoise",TRUE,0.849779509849875,0.640860966335075,-0.0644925029539998,0.062208674916611,0.849779509849875,"turquoise"
"FGR","brown",TRUE,0.773325554956438,0.872179769700245,0.093426335940072,-0.120610679312273,0.872179769700245,"brown"
