contrast,subtype,lineage,donor_id,tumor_score,normal_score,tumor_minus_normal
macrophage tumor vs normal,macrophage,myeloid,C140,0.021095770188399112,-0.10248081448428344,0.12357658467268255
macrophage tumor vs normal,macrophage,myeloid,C142,-0.06596364090930189,-0.121033731804304,0.055070090895002116
macrophage tumor vs normal,macrophage,myeloid,C143,0.006342011828910616,-0.13575743667967918,0.1420994485085898
macrophage tumor vs normal,macrophage,myeloid,C151,-0.03748095217074456,-0.07828916366780493,0.04080821149706037
macrophage tumor vs normal,macrophage,myeloid,C155,0.1915803285079976,0.0102449153962228,0.1813354131117748
macrophage tumor vs normal,macrophage,myeloid,C157,0.2296915238730898,0.09247665517205743,0.1372148687010324
macrophage tumor vs normal,macrophage,myeloid,C162,0.10028620298928449,-0.0009623190369470049,0.1012485220262315
macrophage tumor vs normal,macrophage,myeloid,C165,0.10089323538652897,-0.02081682052733259,0.12171005591386157
macrophage tumor vs normal,macrophage,myeloid,C170,0.15192218717322797,0.010605159764925518,0.14131702740830246
monocyte tumor vs normal,monocyte,myeloid,C106,0.04133087451324261,0.03739585371965096,0.003935020793591655
monocyte tumor vs normal,monocyte,myeloid,C107,0.09301420606024297,0.0203437959917875,0.07267041006845547
monocyte tumor vs normal,monocyte,myeloid,C109,0.03560303768697195,-0.009089973447668752,0.0446930111346407
monocyte tumor vs normal,monocyte,myeloid,C110,0.07513738573322995,-0.06065770718109775,0.1357950929143277
monocyte tumor vs normal,monocyte,myeloid,C111,0.0786655064698461,0.05397439467690694,0.02469111179293916
monocyte tumor vs normal,monocyte,myeloid,C112,0.050790397542836416,-0.05227900926058188,0.10306940680341829
monocyte tumor vs normal,monocyte,myeloid,C113,0.043269302584170305,-0.007241167986752151,0.05051047057092246
monocyte tumor vs normal,monocyte,myeloid,C114,0.02060628232628594,0.0601871725996864,-0.03958089027340046
monocyte tumor vs normal,monocyte,myeloid,C115,0.08332971072005134,0.013972088313843419,0.06935762240620792
monocyte tumor vs normal,monocyte,myeloid,C116,0.014126903820656588,0.05293524833218208,-0.03880834451152549
monocyte tumor vs normal,monocyte,myeloid,C122,0.039443425483160495,-0.04296871799436648,0.08241214347752698
