contrast,subtype,lineage,donor_id,tumor_score,normal_score,tumor_minus_normal
macrophage tumor vs normal,macrophage,myeloid,C130,-0.034141939133405685,-0.07029092311859131,0.03614898398518562
macrophage tumor vs normal,macrophage,myeloid,C132,0.0525699183344841,-0.25498831272125244,0.30755823850631714
macrophage tumor vs normal,macrophage,myeloid,C133,0.04779365286231041,0.10060112923383713,-0.05280747637152672
macrophage tumor vs normal,macrophage,myeloid,C134,-0.045027732849121094,-0.06175050884485245,0.016722775995731354
macrophage tumor vs normal,macrophage,myeloid,C135,-0.04937877878546715,-0.0787438154220581,0.029365036636590958
macrophage tumor vs normal,macrophage,myeloid,C136,0.004430715925991535,-0.023097291588783264,0.027528006583452225
macrophage tumor vs normal,macrophage,myeloid,C137,-0.019295090809464455,-0.07958569377660751,0.06029060482978821
macrophage tumor vs normal,macrophage,myeloid,C138,-0.01747344620525837,-0.10108532011508942,0.0836118757724762
macrophage tumor vs normal,macrophage,myeloid,C139,-0.08829157054424286,-0.09105057269334793,0.002759002149105072
macrophage tumor vs normal,macrophage,myeloid,C140,-0.03344681113958359,-0.16768185794353485,0.13423505425453186
macrophage tumor vs normal,macrophage,myeloid,C142,-0.10419149696826935,-0.14902819693088531,0.04483669996261597
macrophage tumor vs normal,macrophage,myeloid,C143,-0.04377821460366249,-0.10377508401870728,0.059996869415044785
macrophage tumor vs normal,macrophage,myeloid,C151,-0.07039152830839157,0.006505895406007767,-0.07689742743968964
macrophage tumor vs normal,macrophage,myeloid,C155,0.13046610355377197,-0.036046139895915985,0.16651225090026855
macrophage tumor vs normal,macrophage,myeloid,C157,0.17709505558013916,0.06429154425859451,0.11280351132154465
macrophage tumor vs normal,macrophage,myeloid,C162,0.038416843861341476,-0.03872760012745857,0.07714444398880005
macrophage tumor vs normal,macrophage,myeloid,C165,0.045693278312683105,-0.05599084869027138,0.10168412327766418
macrophage tumor vs normal,macrophage,myeloid,C170,0.06871545314788818,-0.05510830879211426,0.12382376194000244
monocyte tumor vs normal,monocyte,myeloid,C106,-0.00974228698760271,0.005288645625114441,-0.015030932612717152
monocyte tumor vs normal,monocyte,myeloid,C107,0.02228144183754921,-0.03013310208916664,0.05241454392671585
monocyte tumor vs normal,monocyte,myeloid,C109,-0.018579257652163506,-0.04356205090880394,0.024982793256640434
monocyte tumor vs normal,monocyte,myeloid,C110,-0.0029724636115133762,-0.10973938554525375,0.10676692426204681
monocyte tumor vs normal,monocyte,myeloid,C111,0.009530624374747276,-0.010434643365442753,0.019965268671512604
