background,source,term_id,term_name,term_size_api,term_size_local,intersection_size_api,intersection_size_local,query_size_api,query_size_local,effective_domain_api,effective_domain_local,local_raw_p_custom_domain,local_raw_p_annotated_domain,gprofiler_p_value_adjusted,historical_runner_raw_p,gprofiler_p_value_reconstructed_bh,local_annotated_domain_bh_fdr,api_adjusted_p_abs_diff,audit_focus
sensitivity_dinp93,REAC,REAC:R-HSA-1257604,PIP3 activates AKT signaling,2,2,2,2,18,18,100,100,0.030909090909092683,0.043037974683545636,0.2690625000000001,0.030909090909092683,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-2219528,PI3K/AKT Signaling in Cancer,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-5689896,Ovarian tumor domain proteases,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-168643,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9725371,Nuclear events stimulated by ALK signaling in cancer,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-8849474,PTK6 Activates STAT3,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-6807070,PTEN Regulation,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-2892247,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-5250941,Negative epigenetic regulation of rRNA expression,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
