input_set,input_symbol,ensembl_id
primary_genecards881,FCGR3A,ENSG00000203747
primary_genecards881,FENDRR,ENSG00000268388
primary_genecards881,FER1L4,ENSG00000088340
primary_genecards881,FEZF1-AS1,ENSG00000230316
primary_genecards881,FGD5-AS1,ENSG00000225733
primary_genecards881,FGF14-AS2,ENSG00000272143
primary_genecards881,FGFR1,ENSG00000077782
primary_genecards881,FGFR2,ENSG00000066468
primary_genecards881,FGFR3,ENSG00000068078
primary_genecards881,FGFR4,ENSG00000160867
primary_genecards881,FLCN,ENSG00000154803
primary_genecards881,FLT1,ENSG00000102755
primary_genecards881,FLT4,ENSG00000037280
primary_genecards881,FLVCR1-DT,ENSG00000198468
primary_genecards881,FN1,ENSG00000115414
primary_genecards881,FOXC2-AS1,ENSG00000260944
primary_genecards881,FOXCUT,ENSG00000280916
primary_genecards881,FOXD2-AS1,ENSG00000237424
primary_genecards881,FOXD3-AS1,ENSG00000230798
primary_genecards881,FOXM1,ENSG00000111206
primary_genecards881,FOXO1,ENSG00000150907
primary_genecards881,FOXO3,ENSG00000118689
primary_genecards881,FOXP3,ENSG00000049768
primary_genecards881,FOXP4-AS1,ENSG00000234753
primary_genecards881,FRGCA,ENSG00000236663
primary_genecards881,FTO,ENSG00000140718
primary_genecards881,FTX,ENSG00000230590
primary_genecards881,FZD3,ENSG00000104290
primary_genecards881,GACAT3,ENSG00000236289
primary_genecards881,GAL,ENSG00000069482
primary_genecards881,GALNT12,ENSG00000119514
primary_genecards881,GALNT17,ENSG00000185274
primary_genecards881,GAPVD1,ENSG00000165219
primary_genecards881,GAS5,ENSG00000234741
primary_genecards881,GAS6-AS1,ENSG00000233695
primary_genecards881,GATA2-AS1,ENSG00000244300
primary_genecards881,GAU1,ENSG00000255474
primary_genecards881,GDF15,ENSG00000130513
primary_genecards881,GFOD3P,ENSG00000227372
primary_genecards881,GFOD3P,ENSG00000293478
primary_genecards881,GIHCG,ENSG00000257698
primary_genecards881,GLI1,ENSG00000111087
primary_genecards881,GLIS2,ENSG00000126603
primary_genecards881,GNAS,ENSG00000087460
primary_genecards881,GNAS-AS1,ENSG00000235590
primary_genecards881,GNE,ENSG00000159921
primary_genecards881,GON7,ENSG00000170270
primary_genecards881,GPA33,ENSG00000143167
primary_genecards881,GPC6,ENSG00000183098
primary_genecards881,GREM1,ENSG00000166923
primary_genecards881,GRHL2-DT,ENSG00000254024
primary_genecards881,GSK3B,ENSG00000082701
primary_genecards881,GSTM1,ENSG00000134184
primary_genecards881,GSTM2,ENSG00000213366
primary_genecards881,GSTP1,ENSG00000084207
primary_genecards881,GUCY2C,ENSG00000070019
primary_genecards881,H19,ENSG00000130600
primary_genecards881,H2AX,ENSG00000188486
primary_genecards881,HAGLR,ENSG00000224189
primary_genecards881,HAND2-AS1,ENSG00000237125
primary_genecards881,HAR1B,ENSG00000231133
primary_genecards881,HAVCR2,ENSG00000135077
primary_genecards881,HCG18,ENSG00000231074
primary_genecards881,HCP5,ENSG00000206337
primary_genecards881,HDAC1,ENSG00000116478
primary_genecards881,HDAC2,ENSG00000196591
primary_genecards881,HIF1A,ENSG00000100644
primary_genecards881,HLA-F-AS1,ENSG00000214922
primary_genecards881,HMGB1,ENSG00000189403
primary_genecards881,HMOX1,ENSG00000100292
primary_genecards881,HNF1A-AS1,ENSG00000241388
primary_genecards881,HOTAIR,ENSG00000228630
primary_genecards881,HOTAIRM1,ENSG00000233429
primary_genecards881,HOTTIP,ENSG00000243766
primary_genecards881,HOXA-AS3,ENSG00000254369
primary_genecards881,HOXA11-AS,ENSG00000240990
primary_genecards881,HOXA5,ENSG00000106004
primary_genecards881,HRAS,ENSG00000174775
primary_genecards881,HSPA5,ENSG00000044574
primary_genecards881,HULC,ENSG00000285219
primary_genecards881,ICMT-DT,ENSG00000225077
primary_genecards881,IDH1,ENSG00000138413
primary_genecards881,IDO1,ENSG00000131203
primary_genecards881,IFNA2,ENSG00000188379
primary_genecards881,IFNG-AS1,ENSG00000255733
primary_genecards881,IGF1,ENSG00000017427
primary_genecards881,IGF1R,ENSG00000140443
primary_genecards881,IGF2,ENSG00000167244
primary_genecards881,IGF2BP2,ENSG00000073792
primary_genecards881,IGFBP3,ENSG00000146674
primary_genecards881,IGFL2-AS1,ENSG00000268621
primary_genecards881,IL10,ENSG00000136634
primary_genecards881,IL17A,ENSG00000112115
primary_genecards881,IL1B,ENSG00000125538
primary_genecards881,IL6,ENSG00000136244
primary_genecards881,ILF3-DT,ENSG00000267100
primary_genecards881,INHBA-AS1,ENSG00000224116
primary_genecards881,IPMK,ENSG00000151151
primary_genecards881,IRS2,ENSG00000185950
primary_genecards881,ITGA5,ENSG00000161638
primary_genecards881,ITGB1,ENSG00000150093
primary_genecards881,ITGB8-AS1,ENSG00000271133
primary_genecards881,ITIH4-AS1,ENSG00000239799
primary_genecards881,ITSN1,ENSG00000205726
primary_genecards881,ITSN2,ENSG00000198399
primary_genecards881,JAG1,ENSG00000101384
primary_genecards881,JAK1,ENSG00000162434
primary_genecards881,JAK2,ENSG00000096968
primary_genecards881,JPX,ENSG00000225470
primary_genecards881,JUN,ENSG00000177606
primary_genecards881,KAT2B,ENSG00000114166
primary_genecards881,KAT7,ENSG00000136504
primary_genecards881,KCNA3,ENSG00000177272
primary_genecards881,KCNQ1OT1,ENSG00000269821
primary_genecards881,KDM1A,ENSG00000004487
primary_genecards881,KDR,ENSG00000128052
primary_genecards881,KEAP1,ENSG00000079999
primary_genecards881,KIRREL1,ENSG00000183853
primary_genecards881,KIT,ENSG00000157404
primary_genecards881,KLF4,ENSG00000136826
primary_genecards881,KLK8,ENSG00000129455
primary_genecards881,KRAS,ENSG00000133703
primary_genecards881,KRT19,ENSG00000171345
primary_genecards881,KRT20,ENSG00000171431
primary_genecards881,LASP1,ENSG00000002834
primary_genecards881,LBX2-AS1,ENSG00000257702
primary_genecards881,LDLRAD4-AS1,ENSG00000267690
primary_genecards881,LEF1,ENSG00000138795
primary_genecards881,LEF1-AS1,ENSG00000232021
primary_genecards881,LEP,ENSG00000174697
primary_genecards881,LGALS4,ENSG00000171747
