GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore,gene_symbol
807,HMOX1,Heme Oxygenase 1,Protein Coding,10.7,100,HMOX1
808,CREBBP,CREB Binding Lysine Acetyltransferase,Protein Coding,10.7,100,CREBBP
809,MIR148A,MicroRNA 148a,RNA Gene,10.7,65,MIR148A
810,MELK,Maternal Embryonic Leucine Zipper Kinase,Protein Coding,10.7,85,MELK
811,JAG1,Jagged Canonical Notch Ligand 1,Protein Coding,10.7,100,JAG1
812,AHR,Aryl Hydrocarbon Receptor,Protein Coding,10.7,100,AHR
813,CYP1B1,Cytochrome P450 Family 1 Subfamily B Member 1,Protein Coding,10.7,100,CYP1B1
814,WNT5A,Wnt Family Member 5A,Protein Coding,10.6,95,WNT5A
815,RHOA,Ras Homolog Family Member A,Protein Coding,10.6,93,RHOA
816,PIK3R2,Phosphoinositide-3-Kinase Regulatory Subunit 2,Protein Coding,10.6,100,PIK3R2
817,MTA1,Metastasis Associated 1,Protein Coding,10.6,90,MTA1
818,ALDH2,Aldehyde Dehydrogenase 2 Family Member,Protein Coding,10.6,92,ALDH2
819,PIK3CB,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Beta",Protein Coding,10.6,94,PIK3CB
820,PLK4,Polo Like Kinase 4,Protein Coding,10.6,100,PLK4
821,NFKBIA,NFKB Inhibitor Alpha,Protein Coding,10.6,100,NFKBIA
822,UGT1A6,UDP Glucuronosyltransferase Family 1 Member A6,Protein Coding,10.6,91,UGT1A6
823,SP1,Sp1 Transcription Factor,Protein Coding,10.6,90,SP1
824,SFRP1,Secreted Frizzled Related Protein 1,Protein Coding,10.6,77,SFRP1
825,TPX2,TPX2 Microtubule Nucleation Factor,Protein Coding,10.6,81,TPX2
826,PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",Protein Coding,10.6,98,PIK3CG
827,CGAS,Cyclic GMP-AMP Synthase,Protein Coding,10.6,76,CGAS
828,IRS2,Insulin Receptor Substrate 2,Protein Coding,10.5,91,IRS2
829,CCL2,C-C Motif Chemokine Ligand 2,Protein Coding,10.5,87,CCL2
830,NPAT,"Nuclear Protein, Coactivator Of Histone Transcription",Protein Coding,10.5,79,NPAT
831,FOXO3,Forkhead Box O3,Protein Coding,10.5,90,FOXO3
832,CHI3L1,Chitinase 3 Like 1,Protein Coding,10.5,79,CHI3L1
833,S100A4,S100 Calcium Binding Protein A4,Protein Coding,10.5,74,S100A4
834,POLE2,"DNA Polymerase Epsilon 2, Accessory Subunit",Protein Coding,10.5,92,POLE2
835,MIR149,MicroRNA 149,RNA Gene,10.5,65,MIR149
836,MAP2K6,Mitogen-Activated Protein Kinase Kinase 6,Protein Coding,10.5,89,MAP2K6
837,CYP2E1,Cytochrome P450 Family 2 Subfamily E Member 1,Protein Coding,10.4,88,CYP2E1
838,SMARCA4,SWI/SNF Related BAF Chromatin Remodeling Complex Subunit ATPase 4,Protein Coding,10.4,100,SMARCA4
839,MIR196A1,MicroRNA 196a-1,RNA Gene,10.4,60,MIR196A1
840,TOE1,"Target Of EGR1, Exonuclease",Protein Coding,10.4,80,TOE1
841,BMP2,Bone Morphogenetic Protein 2,Protein Coding,10.4,98,BMP2
842,MAP1LC3A,Microtubule Associated Protein 1 Light Chain 3 Alpha,Protein Coding,10.4,81,MAP1LC3A
843,JAK1,Janus Kinase 1,Protein Coding,10.4,100,JAK1
844,LOC126807632,CDK7 Strongly-Dependent Group 2 Enhancer GRCh37_chr5:180046831-180048030,Functional Element,10.4,49,LOC126807632
845,BMI1,"BMI1 Proto-Oncogene, Polycomb Ring Finger",Protein Coding,10.4,87,BMI1
846,STAT1,Signal Transducer And Activator Of Transcription 1,Protein Coding,10.4,100,STAT1
847,SLC7A11,Solute Carrier Family 7 Member 11,Protein Coding,10.4,87,SLC7A11
848,FASLG,Fas Ligand,Protein Coding,10.4,100,FASLG
849,SATB2,SATB Homeobox 2,Protein Coding,10.3,95,SATB2
850,LASP1,LIM And SH3 Protein 1,Protein Coding,10.3,73,LASP1
851,EPHB2,EPH Receptor B2,Protein Coding,10.3,99,EPHB2
852,RAD51,RAD51 Recombinase,Protein Coding,10.3,100,RAD51
853,MUC5AC,"Mucin 5AC, Oligomeric Mucus/Gel-Forming",Protein Coding,10.3,81,MUC5AC
854,PKM,Pyruvate Kinase M1/2,Protein Coding,10.3,93,PKM
855,MCL1,"MCL1 Apoptosis Regulator, BCL2 Family Member",Protein Coding,10.2,91,MCL1
856,MIR7-3HG,MIR7-3 Host Gene,RNA Gene,10.2,54,MIR7-3HG
857,HDAC2,Histone Deacetylase 2,Protein Coding,10.2,92,HDAC2
858,UGT1A9,UDP Glucuronosyltransferase Family 1 Member A9,Protein Coding,10.2,92,UGT1A9
859,PDCD4,Programmed Cell Death 4,Protein Coding,10.2,80,PDCD4
860,RAF1,"Raf-1 Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,10.2,100,RAF1
861,PLAUR,"Plasminogen Activator, Urokinase Receptor",Protein Coding,10.2,89,PLAUR
862,HAVCR2,Hepatitis A Virus Cellular Receptor 2,Protein Coding,10.1,88,HAVCR2
863,GLI1,GLI Family Zinc Finger 1,Protein Coding,10.1,95,GLI1
864,DCLK1,Doublecortin Like Kinase 1,Protein Coding,10.1,79,DCLK1
865,RAD50,RAD50 Double Strand Break Repair Protein,Protein Coding,10.1,100,RAD50
866,CDK2,Cyclin Dependent Kinase 2,Protein Coding,10.1,91,CDK2
867,LGALS4,Galectin 4,Protein Coding,10.1,65,LGALS4
868,FOXO1,Forkhead Box O1,Protein Coding,10.1,90,FOXO1
869,CLDN1,Claudin 1,Protein Coding,10.1,85,CLDN1
870,FGFR4,Fibroblast Growth Factor Receptor 4,Protein Coding,10.1,96,FGFR4
871,RUNX1,RUNX Family Transcription Factor 1,Protein Coding,10.1,100,RUNX1
872,YTHDF1,YTH N6-Methyladenosine RNA Binding Protein F1,Protein Coding,10.0,66,YTHDF1
873,SLTM,SAFB Like Transcription Modulator,Protein Coding,10.0,66,SLTM
874,BBC3,BCL2 Binding Component 3,Protein Coding,10.0,80,BBC3
875,PDGFRB,Platelet Derived Growth Factor Receptor Beta,Protein Coding,10.0,100,PDGFRB
876,MIR16-1,MicroRNA 16-1,RNA Gene,10.0,70,MIR16-1
877,TMEFF2,Transmembrane Protein With EGF Like And Two Follistatin Like Domains 2,Protein Coding,10.0,65,TMEFF2
878,ANXA5,Annexin A5,Protein Coding,10.0,84,ANXA5
879,LEP,Leptin,Protein Coding,10.0,95,LEP
880,MAP2K2,Mitogen-Activated Protein Kinase Kinase 2,Protein Coding,10.0,100,MAP2K2
881,NDRG4,NDRG Family Member 4,Protein Coding,10.0,73,NDRG4
882,FAS,Fas Cell Surface Death Receptor,Protein Coding,9.9,100,FAS
883,DICER1,"Dicer 1, Ribonuclease III",Protein Coding,9.9,100,DICER1
884,TLR9,Toll Like Receptor 9,Protein Coding,9.9,91,TLR9
885,TJP1,Tight Junction Protein 1,Protein Coding,9.9,96,TJP1
886,LGALS3,Galectin 3,Protein Coding,9.8,85,LGALS3
887,LGALS3BP,Galectin 3 Binding Protein,Protein Coding,9.8,76,LGALS3BP
888,ATF3,Activating Transcription Factor 3,Protein Coding,9.8,87,ATF3
889,AREL1,Apoptosis Resistant E3 Ubiquitin Protein Ligase 1,Protein Coding,9.8,70,AREL1
890,WNT3A,Wnt Family Member 3A,Protein Coding,9.8,85,WNT3A
891,WNT1,Wnt Family Member 1,Protein Coding,9.8,89,WNT1
892,PHLPP2,PH Domain And Leucine Rich Repeat Protein Phosphatase 2,Protein Coding,9.8,75,PHLPP2
893,AIM2,Absent In Melanoma 2,Protein Coding,9.8,77,AIM2
894,MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,9.8,94,MAPK8
895,PMAIP1,Phorbol-12-Myristate-13-Acetate-Induced Protein 1,Protein Coding,9.8,78,PMAIP1
896,BMP4,Bone Morphogenetic Protein 4,Protein Coding,9.8,100,BMP4
897,KRT7,Keratin 7,Protein Coding,9.8,75,KRT7
898,ALCAM,Activated Leukocyte Cell Adhesion Molecule,Protein Coding,9.7,82,ALCAM
899,CXCR2,C-X-C Motif Chemokine Receptor 2,Protein Coding,9.7,98,CXCR2
900,RIPK1,Receptor Interacting Serine/Threonine Kinase 1,Protein Coding,9.7,100,RIPK1
901,WIF1,Wnt Inhibitory Factor 1,Protein Coding,9.7,77,WIF1
902,NR1I2,Nuclear Receptor Subfamily 1 Group I Member 2,Protein Coding,9.7,89,NR1I2
903,HLA-G,"Major Histocompatibility Complex, Class I, G",Protein Coding,9.7,89,HLA-G
904,TNFRSF10B,TNF Receptor Superfamily Member 10b,Protein Coding,9.7,93,TNFRSF10B
905,IRS1,Insulin Receptor Substrate 1,Protein Coding,9.7,93,IRS1
906,DDIT3,DNA Damage Inducible Transcript 3,Protein Coding,9.6,84,DDIT3
907,LAG3,Lymphocyte Activating 3,Protein Coding,9.6,81,LAG3
908,PPARA,Peroxisome Proliferator Activated Receptor Alpha,Protein Coding,9.6,93,PPARA
909,L1CAM,L1 Cell Adhesion Molecule,Protein Coding,9.6,96,L1CAM
910,CDK1,Cyclin Dependent Kinase 1,Protein Coding,9.6,90,CDK1
911,SLC19A1,Solute Carrier Family 19 Member 1,Protein Coding,9.6,96,SLC19A1
912,YY1,YY1 Transcription Factor,Protein Coding,9.6,96,YY1
913,ELAVL1,ELAV Like RNA Binding Protein 1,Protein Coding,9.6,87,ELAVL1
914,WRN,WRN RecQ Like Helicase,Protein Coding,9.5,100,WRN
915,CCL20,C-C Motif Chemokine Ligand 20,Protein Coding,9.5,80,CCL20
916,KRT18,Keratin 18,Protein Coding,9.5,85,KRT18
917,NTRK1,Neurotrophic Receptor Tyrosine Kinase 1,Protein Coding,9.5,100,NTRK1
918,GPX2,Glutathione Peroxidase 2,Protein Coding,9.5,76,GPX2
919,CCL5,C-C Motif Chemokine Ligand 5,Protein Coding,9.5,84,CCL5
920,MAPRE1,Microtubule Associated Protein RP/EB Family Member 1,Protein Coding,9.5,83,MAPRE1
921,MTDH,Metadherin,Protein Coding,9.5,72,MTDH
