GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore,gene_symbol
1863,SND1,Staphylococcal Nuclease And Tudor Domain Containing 1,Protein Coding,3.4,82,SND1
1864,KRT24,Keratin 24,Protein Coding,3.4,60,KRT24
1865,KRIT1,KRIT1 Ankyrin Repeat Containing,Protein Coding,3.4,87,KRIT1
1866,MIR330,MicroRNA 330,RNA Gene,3.4,57,MIR330
1867,SLCO2A1,Solute Carrier Organic Anion Transporter Family Member 2A1,Protein Coding,3.4,88,SLCO2A1
1868,CD86,CD86 Molecule,Protein Coding,3.4,90,CD86
1869,CHD4,Chromodomain Helicase DNA Binding Protein 4,Protein Coding,3.4,100,CHD4
1870,SYNJ2BP,Synaptojanin 2 Binding Protein,Protein Coding,3.4,63,SYNJ2BP
1871,MIRLET7E,MicroRNA Let-7e,RNA Gene,3.4,62,MIRLET7E
1872,COPS5,COP9 Signalosome Subunit 5,Protein Coding,3.4,79,COPS5
1873,MBNL1,Muscleblind Like Splicing Regulator 1,Protein Coding,3.4,77,MBNL1
1874,MIR496,MicroRNA 496,RNA Gene,3.4,52,MIR496
1875,PANTR1,POU3F3 Adjacent Non-Coding Transcript 1,RNA Gene,3.4,56,PANTR1
1876,PTK7,Protein Tyrosine Kinase 7 (Inactive),Protein Coding,3.4,83,PTK7
1877,INHBB,Inhibin Subunit Beta B,Protein Coding,3.4,72,INHBB
1878,CDH10,Cadherin 10,Protein Coding,3.4,74,CDH10
1879,MIR1290,MicroRNA 1290,RNA Gene,3.4,55,MIR1290
1880,MIR484,MicroRNA 484,RNA Gene,3.4,54,MIR484
1881,CSNK2B,Casein Kinase 2 Beta,Protein Coding,3.3,100,CSNK2B
1882,OFD1,OFD1 Centriole And Centriolar Satellite Protein,Protein Coding,3.3,92,OFD1
1883,FCHO1,FCH And Mu Domain Containing Endocytic Adaptor 1,Protein Coding,3.3,87,FCHO1
1884,CSMD1,CUB And Sushi Multiple Domains 1,Protein Coding,3.3,79,CSMD1
1885,CDKN3,Cyclin Dependent Kinase Inhibitor 3,Protein Coding,3.3,75,CDKN3
1886,STMN1,Stathmin 1,Protein Coding,3.3,80,STMN1
1887,TIFAB,TIFA Inhibitor,Protein Coding,3.3,56,TIFAB
1888,TRIB2,Tribbles Pseudokinase 2,Protein Coding,3.3,68,TRIB2
1889,FAM98B,Family With Sequence Similarity 98 Member B,Protein Coding,3.3,60,FAM98B
1890,CLOCK,Clock Circadian Regulator,Protein Coding,3.3,86,CLOCK
1891,MSH4,MutS Homolog 4,Protein Coding,3.3,79,MSH4
1892,SLC3A2,Solute Carrier Family 3 Member 2,Protein Coding,3.3,89,SLC3A2
1893,LAMA5,Laminin Subunit Alpha 5,Protein Coding,3.3,100,LAMA5
1894,MYB,"MYB Proto-Oncogene, Transcription Factor",Protein Coding,3.3,94,MYB
1895,MIR302C,MicroRNA 302c,RNA Gene,3.3,59,MIR302C
1896,CD36,CD36 Molecule (CD36 Blood Group),Protein Coding,3.3,100,CD36
1897,SLC31A1,Solute Carrier Family 31 Member 1,Protein Coding,3.3,75,SLC31A1
1898,NRG3,Neuregulin 3,Protein Coding,3.3,83,NRG3
1899,TRIB1,Tribbles Pseudokinase 1,Protein Coding,3.3,72,TRIB1
1900,ITLN1,Intelectin 1,Protein Coding,3.3,68,ITLN1
1901,TBRG4,Transforming Growth Factor Beta Regulator 4,Protein Coding,3.3,67,TBRG4
1902,MACROH2A1,MacroH2A.1 Histone,Protein Coding,3.3,81,MACROH2A1
1903,KCNH1,Potassium Voltage-Gated Channel Subfamily H Member 1,Protein Coding,3.3,94,KCNH1
1904,CES1,Carboxylesterase 1,Protein Coding,3.3,87,CES1
1905,SOX11,SRY-Box Transcription Factor 11,Protein Coding,3.3,83,SOX11
1906,STAT5A,Signal Transducer And Activator Of Transcription 5A,Protein Coding,3.3,93,STAT5A
1907,MICA,MHC Class I Polypeptide-Related Sequence A,Protein Coding,3.3,81,MICA
1908,TLR3,Toll Like Receptor 3,Protein Coding,3.3,100,TLR3
1909,MIR29C,MicroRNA 29c,RNA Gene,3.3,68,MIR29C
1910,PTPRT,Protein Tyrosine Phosphatase Receptor Type T,Protein Coding,3.3,83,PTPRT
1911,PSMD10,"Proteasome 26S Subunit, Non-ATPase 10",Protein Coding,3.3,70,PSMD10
1912,DLD,Dihydrolipoamide Dehydrogenase,Protein Coding,3.3,100,DLD
1913,IL17F,Interleukin 17F,Protein Coding,3.3,91,IL17F
1914,MCM8,Minichromosome Maintenance 8 Homologous Recombination Repair Factor,Protein Coding,3.3,90,MCM8
1915,OLR1,Oxidized Low Density Lipoprotein Receptor 1,Protein Coding,3.3,80,OLR1
1916,RASGRP1,RAS Guanyl Releasing Protein 1,Protein Coding,3.3,100,RASGRP1
1917,ASPA,Aspartoacylase,Protein Coding,3.3,83,ASPA
1918,BRWD3,Bromodomain And WD Repeat Domain Containing 3,Protein Coding,3.3,72,BRWD3
1919,LIG3,DNA Ligase 3,Protein Coding,3.3,98,LIG3
1920,MMP8,Matrix Metallopeptidase 8,Protein Coding,3.3,85,MMP8
1921,MYH9,Myosin Heavy Chain 9,Protein Coding,3.3,100,MYH9
1922,GLI2,GLI Family Zinc Finger 2,Protein Coding,3.3,98,GLI2
1923,TWIST2,Twist Family BHLH Transcription Factor 2,Protein Coding,3.3,76,TWIST2
1924,SLC26A3,Solute Carrier Family 26 Member 3,Protein Coding,3.3,94,SLC26A3
1925,MIR503,MicroRNA 503,RNA Gene,3.3,62,MIR503
1926,MMP3,Matrix Metallopeptidase 3,Protein Coding,3.3,92,MMP3
1927,F2R,Coagulation Factor II Thrombin Receptor,Protein Coding,3.3,87,F2R
1928,ARNT,Aryl Hydrocarbon Receptor Nuclear Translocator,Protein Coding,3.3,93,ARNT
1929,POLK,DNA Polymerase Kappa,Protein Coding,3.3,95,POLK
1930,PDPK1,3-Phosphoinositide Dependent Protein Kinase 1,Protein Coding,3.3,92,PDPK1
1931,MIR190B,MicroRNA 190b,RNA Gene,3.3,58,MIR190B
1932,NUCLEOLIN,Nucleolin Multifunctional Protein,Protein Coding,3.3,91,NUCLEOLIN
1933,SPOP,Speckle Type BTB/POZ Protein,Protein Coding,3.2,94,SPOP
1934,RPS6KA3,Ribosomal Protein S6 Kinase A3,Protein Coding,3.2,100,RPS6KA3
1935,TNFSF13,TNF Superfamily Member 13,Protein Coding,3.2,82,TNFSF13
1936,HTRA1,HtrA Serine Peptidase 1,Protein Coding,3.2,91,HTRA1
1937,CSF3R,Colony Stimulating Factor 3 Receptor,Protein Coding,3.2,99,CSF3R
1938,RFC3,Replication Factor C Subunit 3,Protein Coding,3.2,82,RFC3
1939,MIR744,MicroRNA 744,RNA Gene,3.2,56,MIR744
1940,UGDH,UDP-Glucose 6-Dehydrogenase,Protein Coding,3.2,87,UGDH
1941,UBE2N,Ubiquitin Conjugating Enzyme E2 N,Protein Coding,3.2,84,UBE2N
1942,FSTL3,Follistatin Like 3,Protein Coding,3.2,71,FSTL3
1943,POLD3,"DNA Polymerase Delta 3, Accessory Subunit",Protein Coding,3.2,86,POLD3
1944,MIR181A1,MicroRNA 181a-1,RNA Gene,3.2,59,MIR181A1
1945,GOLPH3,Golgi Phosphoprotein 3,Protein Coding,3.2,65,GOLPH3
1946,NUAK1,NUAK Family Kinase 1,Protein Coding,3.2,78,NUAK1
1947,ABCG5,ATP Binding Cassette Subfamily G Member 5,Protein Coding,3.2,97,ABCG5
1948,XRRA1,X-Ray Radiation Resistance Associated 1,Protein Coding,3.2,58,XRRA1
1949,BCAR1,"BCAR1 Scaffold Protein, Cas Family Member",Protein Coding,3.2,93,BCAR1
1950,HHLA2,HHLA2 Member Of B7 Family,Protein Coding,3.2,63,HHLA2
1951,RPS6,Ribosomal Protein S6,Protein Coding,3.2,87,RPS6
1952,SET,SET Nuclear Proto-Oncogene,Protein Coding,3.2,87,SET
1953,BTC,Betacellulin,Protein Coding,3.2,82,BTC
1954,RARA,Retinoic Acid Receptor Alpha,Protein Coding,3.2,93,RARA
1955,USP15,Ubiquitin Specific Peptidase 15,Protein Coding,3.2,85,USP15
1956,SMUG1,Single-Strand-Selective Monofunctional Uracil-DNA Glycosylase 1,Protein Coding,3.2,73,SMUG1
1957,ICOSLG,Inducible T Cell Costimulator Ligand,Protein Coding,3.2,91,ICOSLG
1958,KCNQ5,Potassium Voltage-Gated Channel Subfamily Q Member 5,Protein Coding,3.2,92,KCNQ5
1959,CNR1,Cannabinoid Receptor 1,Protein Coding,3.2,88,CNR1
1960,TNFRSF11A,TNF Receptor Superfamily Member 11a,Protein Coding,3.2,99,TNFRSF11A
1961,ATG16L1,Autophagy Related 16 Like 1,Protein Coding,3.2,88,ATG16L1
1962,SNCA,Synuclein Alpha,Protein Coding,3.2,100,SNCA
1963,SIRT5,Sirtuin 5,Protein Coding,3.2,84,SIRT5
1964,GLO1,Glyoxalase I,Protein Coding,3.2,76,GLO1
1965,MIR208B,MicroRNA 208b,RNA Gene,3.2,60,MIR208B
1966,SLC29A1,Solute Carrier Family 29 Member 1 (Augustine Blood Group),Protein Coding,3.2,89,SLC29A1
1967,GJA1,Gap Junction Protein Alpha 1,Protein Coding,3.2,100,GJA1
1968,ATF1,Activating Transcription Factor 1,Protein Coding,3.2,89,ATF1
1969,CCDC25,Coiled-Coil Domain Containing 25,Protein Coding,3.2,57,CCDC25
1970,GPX1,Glutathione Peroxidase 1,Protein Coding,3.2,88,GPX1
1971,MT2A,Metallothionein 2A,Protein Coding,3.2,73,MT2A
1972,HFE,Homeostatic Iron Regulator,Protein Coding,3.2,97,HFE
1973,FMR1,Fragile X Messenger Ribonucleoprotein 1,Protein Coding,3.2,93,FMR1
1974,CTSV,Cathepsin V,Protein Coding,3.2,80,CTSV
1975,TTC5,Tetratricopeptide Repeat Domain 5,Protein Coding,3.2,71,TTC5
1976,PACSIN3,Protein Kinase C And Casein Kinase Substrate In Neurons 3,Protein Coding,3.2,71,PACSIN3
1977,SLC39A2,Solute Carrier Family 39 Member 2,Protein Coding,3.2,65,SLC39A2
1978,LY6G6C,Lymphocyte Antigen 6 Family Member G6C,Protein Coding,3.2,56,LY6G6C
1979,UNC93A,Unc-93 Homolog A,Protein Coding,3.2,55,UNC93A
1980,CD248,CD248 Molecule,Protein Coding,3.2,68,CD248
1981,ATP4A,ATPase H+/K+ Transporting Subunit Alpha,Protein Coding,3.2,86,ATP4A
1982,FDPS,Farnesyl Diphosphate Synthase,Protein Coding,3.2,89,FDPS
1983,MIR103A1,MicroRNA 103a-1,RNA Gene,3.2,64,MIR103A1
1984,S100P,S100 Calcium Binding Protein P,Protein Coding,3.2,68,S100P
1985,ACACA,Acetyl-CoA Carboxylase Alpha,Protein Coding,3.2,100,ACACA
1986,KMT2A,Lysine Methyltransferase 2A,Protein Coding,3.2,100,KMT2A
1987,INPP4B,Inositol Polyphosphate-4-Phosphatase Type II B,Protein Coding,3.2,74,INPP4B
1988,HBEGF,Heparin Binding EGF Like Growth Factor,Protein Coding,3.1,86,HBEGF
1989,HNRNPH1,Heterogeneous Nuclear Ribonucleoprotein H1,Protein Coding,3.1,90,HNRNPH1
1990,MIR92A2,MicroRNA 92a-2,RNA Gene,3.1,56,MIR92A2
1991,DDR2,Discoidin Domain Receptor Tyrosine Kinase 2,Protein Coding,3.1,95,DDR2
1992,IL13,Interleukin 13,Protein Coding,3.1,84,IL13
1993,RPL28,Ribosomal Protein L28,Protein Coding,3.1,84,RPL28
1994,STK3,Serine/Threonine Kinase 3,Protein Coding,3.1,87,STK3
1995,MAGEA3,MAGE Family Member A3,Protein Coding,3.1,63,MAGEA3
1996,CLMP,CXADR Like Cell Adhesion Molecule,Protein Coding,3.1,67,CLMP
1997,GOPC,Golgi Associated PDZ And Coiled-Coil Motif Containing,Protein Coding,3.1,77,GOPC
1998,CBS,Cystathionine Beta-Synthase,Protein Coding,3.1,100,CBS
1999,TFCP2,Transcription Factor CP2,Protein Coding,3.1,76,TFCP2
2000,EIF2B5,Eukaryotic Translation Initiation Factor 2B Subunit Epsilon,Protein Coding,3.1,92,EIF2B5
