background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
descriptive_annotated_genome,GO:BP,GO:0009607,response to biotic stimulus,20972,1652,79,25,8.277328702755782e-10,4.188328323594432e-08,24546,4.858174237420423e-07,3.38625517229739e-07
descriptive_annotated_genome,GO:BP,GO:0036293,response to decreased oxygen levels,20972,290,79,12,8.741460076626511e-10,4.3506676709242613e-08,24546,5.05513494195972e-07,3.5175062137848247e-07
descriptive_annotated_genome,GO:CC,GO:0031974,membrane-enclosed lumen,22155,6791,80,51,1.0131221437291801e-09,9.759743317924515e-08,4069,5.611269743662856e-07,1.3741313342780113e-06
descriptive_annotated_genome,GO:CC,GO:0070013,intracellular organelle lumen,22155,6791,80,51,1.0131221437291801e-09,9.759743317924515e-08,4069,5.611269743662856e-07,1.3741313342780113e-06
descriptive_annotated_genome,GO:CC,GO:0043233,organelle lumen,22155,6791,80,51,1.0131221437291801e-09,9.759743317924515e-08,4069,5.611269743662856e-07,1.3741313342780113e-06
descriptive_annotated_genome,GO:BP,GO:0008219,cell death,20972,1962,79,27,1.1323202054093422e-09,5.544716360681867e-08,24546,6.184355521877357e-07,4.482892219673825e-07
descriptive_annotated_genome,GO:BP,GO:0010565,regulation of ketone metabolic process,20972,127,79,9,1.1840965161831617e-09,5.706217497035059e-08,24546,6.378549507176254e-07,4.613465569243157e-07
descriptive_annotated_genome,GO:BP,GO:0097305,response to alcohol,20972,238,79,11,1.4630137246932246e-09,6.940171356513454e-08,24546,7.774534014842752e-07,5.611114825987483e-07
descriptive_annotated_genome,GO:BP,GO:2000628,regulation of miRNA metabolic process,20972,90,79,8,1.7038603714078082e-09,7.958338596298646e-08,24546,8.93368069936542e-07,6.434301027165548e-07
descriptive_annotated_genome,GO:BP,GO:0048523,negative regulation of cellular process,20972,5510,79,46,1.9529008553784032e-09,8.98334393474075e-08,24546,1.0104720162750043e-06,7.26301581759368e-07
descriptive_annotated_genome,GO:BP,GO:0062012,regulation of small molecule metabolic process,20972,313,79,12,2.07518822762773e-09,9.338986514691891e-08,24546,1.0545568050004482e-06,7.550552140633313e-07
descriptive_annotated_genome,GO:BP,GO:0009891,positive regulation of biosynthetic process,20972,2645,79,31,2.0917361100100435e-09,9.338986514691891e-08,24546,1.0545568050004482e-06,7.550552140633313e-07
descriptive_annotated_genome,GO:BP,GO:0019216,regulation of lipid metabolic process,20972,314,79,12,2.1512305526057823e-09,9.46541443146546e-08,24546,1.0708226614008832e-06,7.652768861487179e-07
descriptive_annotated_genome,GO:BP,GO:0070482,response to oxygen levels,20972,317,79,12,2.3946822127642858e-09,1.038607885421766e-07,24546,1.1771060416842848e-06,8.397124227787451e-07
descriptive_annotated_genome,GO:BP,GO:0006915,apoptotic process,20972,1898,79,26,2.846872381125879e-09,1.207133072812655e-07,24546,1.3728709425031878e-06,9.759647037305556e-07
descriptive_annotated_genome,GO:BP,GO:0048513,animal organ development,20972,3018,79,33,2.8627661805833943e-09,1.207133072812655e-07,24546,1.3728709425031878e-06,9.759647037305556e-07
descriptive_annotated_genome,GO:BP,GO:0008202,steroid metabolic process,20972,323,79,12,2.957517619324237e-09,1.230003218118963e-07,24546,1.4012219621964613e-06,9.944551710127772e-07
descriptive_annotated_genome,GO:BP,GO:0141193,nuclear receptor-mediated signaling pathway,20972,194,79,10,3.0117391692870084e-09,1.2356270429669443e-07,24546,1.4099241796790752e-06,9.990020222880933e-07
descriptive_annotated_genome,GO:MF,GO:0070403,NAD+ binding,20208,16,78,5,3.1781142900080623e-09,2.141254502892928e-07,10123,1.4703078392973768e-06,4.0215063697189515e-06
descriptive_annotated_genome,GO:BP,GO:0044703,multi-organism reproductive process,20972,196,79,10,3.325154808203644e-09,1.346022666360829e-07,24546,1.5204463683465129e-06,1.0882566656288888e-06
descriptive_annotated_genome,GO:BP,GO:0044283,small molecule biosynthetic process,20972,580,79,15,3.7267096822283895e-09,1.488722446742813e-07,24546,1.6844727763672318e-06,1.2036291560523427e-06
descriptive_annotated_genome,GO:BP,GO:0030728,ovulation,20972,17,79,5,3.983811127642124e-09,1.5707598160417506e-07,24546,1.7802203270840782e-06,1.269956207001345e-06
descriptive_annotated_genome,GO:BP,GO:1902532,negative regulation of intracellular signal transduction,20972,681,79,16,4.125402144220072e-09,1.6057334499810429e-07,24546,1.8227788080821359e-06,1.2982323209234087e-06
descriptive_annotated_genome,GO:BP,GO:0044706,multi-multicellular organism process,20972,205,79,10,5.123396433570561e-09,1.9689407053569866e-07,24546,2.238582681708097e-06,1.591884669093962e-06
descriptive_annotated_genome,GO:BP,GO:0042698,ovulation cycle,20972,66,79,7,5.344623479923509e-09,2.0282846106309715e-07,24546,2.3095821288407923e-06,1.639864099227531e-06
descriptive_annotated_genome,GO:BP,GO:0012501,programmed cell death,20972,1958,79,26,5.4834250658791886e-09,2.053064395023165e-07,24546,2.3438066009851435e-06,1.659898505936712e-06
