background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
sensitivity_crc_union,GO:BP,GO:0006940,regulation of smooth muscle contraction,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:1903409,reactive oxygen species biosynthetic process,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0002931,response to ischemia,16307,54,81,1,0.23611328667688533,0.302847460224345,24546,1.0,1.0
sensitivity_crc_union,GO:CC,GO:0098636,protein complex involved in cell adhesion,16307,54,81,1,0.23611328667688533,0.3781579712199649,4069,1.0,1.0
sensitivity_crc_union,GO:CC,GO:0032589,neuron projection membrane,16307,54,81,1,0.23611328667688533,0.3781579712199649,4069,1.0,1.0
sensitivity_crc_union,GO:CC,GO:0098978,glutamatergic synapse,16307,500,81,4,0.23688219771727334,0.3781579712199649,4069,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0045637,regulation of myeloid cell differentiation,16307,187,81,2,0.23786275897413806,0.3047052051668708,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0002700,regulation of production of molecular mediator of immune response,16307,187,81,2,0.23786275897413806,0.3047052051668708,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0030323,respiratory tube development,16307,187,81,2,0.23786275897413806,0.3047052051668708,24546,1.0,1.0
sensitivity_crc_union,GO:CC,GO:0005886,plasma membrane,16307,4563,81,26,0.23814792651222708,0.3781579712199649,4069,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0044088,regulation of vacuole organization,16307,55,81,1,0.23992026531339353,0.30656478345600335,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:1903053,regulation of extracellular matrix organization,16307,55,81,1,0.23992026531339353,0.30656478345600335,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0002712,regulation of B cell mediated immunity,16307,55,81,1,0.23992026531339353,0.30656478345600335,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0043616,keratinocyte proliferation,16307,55,81,1,0.23992026531339353,0.30656478345600335,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0002889,regulation of immunoglobulin mediated immune response,16307,55,81,1,0.23992026531339353,0.30656478345600335,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0042987,amyloid precursor protein catabolic process,16307,55,81,1,0.23992026531339353,0.30656478345600335,24546,1.0,1.0
sensitivity_crc_union,GO:CC,GO:0015935,small ribosomal subunit,16307,55,81,1,0.23992026531339353,0.3788904736369992,4069,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0044770,cell cycle phase transition,16307,503,81,4,0.24010289492176862,0.3066690740355444,24546,1.0,1.0
