"gene_symbol","module","kME_own","kME_brown","kME_black","kME_pink","kME_yellow","kME_red","kME_magenta","kME_purple","kME_turquoise","kME_blue","kME_green","kME_grey"
"C5orf24","black",0.682337117873984,0.496658651901122,0.682337117873984,-0.0505963996016247,-0.0645381706789644,0.475193275716774,0.252640473882336,-0.0140831227197578,-0.00894299870435608,0.135116995686098,-0.0132927553411992,0.099099622267706
"SMC3","black",0.681982244531083,0.371123667427102,0.681982244531083,0.120894188822523,0.186983182437693,0.391725550004523,0.392415793976422,-0.0617878923160637,-0.0455703578282475,0.00840202027648581,-0.121387650634848,-0.194496467914831
"COPA","black",0.681889893698436,0.106457592198057,0.681889893698436,-0.0398627255066291,-0.143343745998173,0.0471606563662996,-0.0250875229863016,0.0857727110301524,0.0542959509468443,0.10708985508265,0.073384363914954,0.0453875807974439
"RAB8B","black",0.680617242909918,0.124944187692185,0.680617242909918,-0.338167826735503,-0.0921386023926336,0.440755228564214,0.0804111075906126,0.174088489068677,0.383995086523168,0.538059864531851,-0.0953350671127596,0.114966211084889
"COG3","black",0.680094849247019,0.180683782265328,0.680094849247019,0.274520090389286,0.14063144713141,0.340906744381148,0.470732232143301,-0.0289764071249516,-0.0895369368193427,-0.0889031617606025,0.111594475997206,-0.20834879979043
"EPRS","black",0.679307286644272,0.283175129045328,0.679307286644272,0.0155345014885604,0.0271282821751203,0.19964318301431,0.146345476816206,-0.051976591076653,-0.135321854933294,-0.0278099646674427,0.0209042305820054,0.027014609748633
"CTNNA1","black",0.677565753537589,0.0888988017051232,0.677565753537589,0.00436572241990989,-0.235980683732869,0.0786728799312111,-0.0618233342133426,0.1153651290385,-0.000704075179897429,0.0470969801848477,0.218165753867054,0.0673980996659231
"MAP4K5","black",0.677097119900755,0.270298671974607,0.677097119900755,-0.197945232459037,0.20997178539246,0.627442479837261,0.299986476526621,0.047231223598615,0.209638672638346,0.278979983142456,0.0163828052390682,0.0528133501401654
"CPSF2","black",0.675388089544518,0.633716193082721,0.675388089544518,-0.152997974134758,-0.0644079656210289,0.577988951734391,0.254086292335838,0.00448798415269229,-0.0681252056966022,0.174185406364632,0.0251093917364615,0.211003320710104
"SORT1","black",0.67530114520634,0.175545436895102,0.67530114520634,0.16463126489413,-0.169592308080704,0.168499725400574,0.129924396621982,0.0228719847004031,-0.0638512213998024,-0.0348826964245583,0.205802916894627,-0.110067947360202
"NAB1","black",0.674644262481742,0.329251809537918,0.674644262481742,-0.238965402793865,-0.00380452794852694,0.51996171624349,0.273041345510113,-0.106202012378431,0.106829714264448,0.203056944751121,-0.108684615136544,0.17850394997433
"ATP6V1A","black",0.674296904602906,0.222865291971035,0.674296904602906,-0.070007126051216,-0.0478531753404227,0.189653955549801,0.0650491116663256,0.0926962529689301,0.0535009426420466,0.189208669354144,9.23517688914358e-05,0.0174937898374007
"SSR1","black",0.673144388086633,0.494046675630177,0.673144388086633,-0.285913820800052,-0.282343618421272,0.39001846606888,0.0305024299718049,0.153595913309066,-0.00681381301067195,0.289984160221797,0.108831098214177,0.34467811735881
"MTMR1","black",0.672072325921672,0.448320838972623,0.672072325921672,0.132826321270872,-0.169256456174406,0.238915111636305,0.235484975218036,-0.0151874720246407,-0.0884730599937558,0.069689342635858,-0.04133345487423,0.0189962149634728
"TRAM1","black",0.67122305142071,0.176333741832398,0.67122305142071,-0.119408782106106,-0.10453822671882,0.258566377802668,0.175166501859953,0.158444006794911,0.183713494288441,0.315980513061024,-0.0690322835186903,-0.00708037465354394
