source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,precision,recall,raw_p_hypergeom,gprofiler_fdr,gprofiler_significant,parents,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_all_GO_KEGG_significant,BH_FDR_within_source,BH_FDR_within_source_significant
GO:BP,GO:0001756,somitogenesis,"""The formation of mesodermal clusters that are arranged segmentally along the anterior posterior axis of an embryo."" [ISBN:0721662544]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0009952;GO:0035282;GO:0043009;GO:0048646;GO:0061053,24546,1.0,False,1.0,False
GO:BP,GO:0001759,organ induction,"""The interaction of two or more cells or tissues that causes them to change their fates and specify the development of an organ."" [ISBN:0878932437]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0003156;GO:0010092;GO:0031128;GO:0110110,24546,1.0,False,1.0,False
GO:BP,GO:0019538,protein metabolic process,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",27,93,16,7,0.4375,0.25925925925925924,0.13173742914361017,0.25435276305828924,True,GO:0043170;GO:0044238,24546,1.0,False,1.0,False
GO:BP,GO:0019637,organophosphate metabolic process,"""The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound."" [ISBN:0198506732]",8,93,16,3,0.1875,0.375,0.13620370140693344,0.25435276305828924,True,GO:0006793,24546,1.0,False,1.0,False
GO:BP,GO:0019725,cellular homeostasis,"""Any process involved in the maintenance of an internal steady state at the level of the cell."" [GOC:isa_complete, GOC:jl, ISBN:0395825172]",3,93,16,2,0.125,0.6666666666666666,0.07552055237889922,0.25435276305828924,True,GO:0042592,24546,1.0,False,1.0,False
GO:BP,GO:0019752,carboxylic acid metabolic process,"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]",20,93,16,6,0.375,0.3,0.08825695475435479,0.25435276305828924,True,GO:0043436,24546,1.0,False,1.0,False
GO:BP,GO:0019827,stem cell population maintenance,"""The process by which an organism or tissue maintains a population of stem cells of a single type. This can be achieved by a number of mechanisms: stem cell asymmetric division maintains stem cell numbers; stem cell symmetric division increases them; maintenance of a stem cell niche maintains the conditions for commitment to the stem cell fate for some types of stem cell; stem cells may arise de novo from other cell types."" [GOC:mah, ISBN:0878932437]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0032501;GO:0098727,24546,1.0,False,1.0,False
GO:BP,GO:0021700,developmental maturation,"""A developmental process, independent of morphogenetic (shape) change, that is required for an anatomical structure, cell or cellular component to attain its fully functional state."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]",4,93,16,2,0.125,0.5,0.13564929693962202,0.25435276305828924,True,GO:0032502,24546,1.0,False,1.0,False
GO:BP,GO:2000826,regulation of heart morphogenesis,"""Any process that modulates the frequency, rate or extent of heart morphogenesis."" [GOC:BHF]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0003007;GO:2000027,24546,1.0,False,1.0,False
GO:BP,GO:0051607,defense response to virus,"""Reactions triggered in response to the presence of a virus that act to protect the cell or organism."" [GOC:ai]",4,93,16,2,0.125,0.5,0.13564929693962202,0.25435276305828924,True,GO:0006952;GO:0009615,24546,1.0,False,1.0,False
GO:BP,GO:0014887,cardiac muscle adaptation,"""The process in which cardiac muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors."" [GOC:mtg_muscle]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0014888,24546,1.0,False,1.0,False
GO:BP,GO:0014888,striated muscle adaptation,"""Any process in which striated muscle adapts, with consequent modifications to structural and/or functional phenotypes, in response to a stimulus. Stimuli include contractile activity, loading conditions, substrate supply, and environmental factors. These adaptive events occur in both muscle fibers and associated structures (motoneurons and capillaries), and they involve alterations in regulatory mechanisms, contractile properties and metabolic capacities."" [GOC:mtg_muscle]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0043500,24546,1.0,False,1.0,False
GO:BP,GO:0055082,intracellular chemical homeostasis,"""A homeostatic process involved in the maintenance of a steady state level of a chemical within a cell."" [GOC:isa_complete, GOC:jid]",3,93,16,2,0.125,0.6666666666666666,0.07552055237889922,0.25435276305828924,True,GO:0019725;GO:0048878,24546,1.0,False,1.0,False
GO:BP,GO:0055088,lipid homeostasis,"""Any process involved in the maintenance of an internal steady state of lipid within an organism or cell."" [GOC:BHF, GOC:rl]",3,93,16,2,0.125,0.6666666666666666,0.07552055237889922,0.25435276305828924,True,GO:0048878,24546,1.0,False,1.0,False
GO:BP,GO:0055089,fatty acid homeostasis,"""Any process involved in the maintenance of an internal steady state of fatty acid within an organism or cell."" [GOC:BHF, GOC:rl]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0055088,24546,1.0,False,1.0,False
GO:BP,GO:0055090,acylglycerol homeostasis,"""Any process involved in the maintenance of an internal steady state of acylglycerol within an organism or cell."" [GOC:BHF, GOC:rl]",1,93,16,1,0.0625,1.0,0.17204301075268696,0.25435276305828924,True,GO:0055088,24546,1.0,False,1.0,False
