gene_symbol,protein_name,max_evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,supporting_ids,audit_note
SAA2,serum amyloid A2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
SCARB1,scavenger receptor class B member 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:22112501; PMID:33983380,"See master evidence_note for species, co-treatment and assay caveats."
SCD,stearoyl-CoA desaturase,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122; PMID:31577137,"See master evidence_note for species, co-treatment and assay caveats."
SCP2,sterol carrier protein 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
SESN1,sestrin 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1372248_at,"See master evidence_note for species, co-treatment and assay caveats."
SLC2A1,solute carrier family 2 member 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
SLC2A3,solute carrier family 2 member 3,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
SLC2A4,solute carrier family 2 member 4,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
SLC30A2,solute carrier family 30 member 2,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1378896_at,"See master evidence_note for species, co-treatment and assay caveats."
SLC6A1,solute carrier family 6 member 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
SLC6A13,solute carrier family 6 member 13,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1387372_at,"See master evidence_note for species, co-treatment and assay caveats."
SLC6A4,solute carrier family 6 member 4,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
SORBS1,sorbin and SH3 domain containing 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
SPC24,SPC24 component of NDC80 kinetochore complex,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1373026_at,"See master evidence_note for species, co-treatment and assay caveats."
SQSTM1,sequestosome 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37976928,"See master evidence_note for species, co-treatment and assay caveats."
SREBF1,sterol regulatory element binding transcription factor 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:29933238,"See master evidence_note for species, co-treatment and assay caveats."
SRL,sarcalumenin,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
SRRM1,serine and arginine repetitive matrix 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37810885,"See master evidence_note for species, co-treatment and assay caveats."
STAR,steroidogenic acute regulatory protein,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:21633115; PMID:22112501; PMID:25445723; PMID:33983380,"See master evidence_note for species, co-treatment and assay caveats."
SULT1C3,sulfotransferase family 1C member 3,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1369296_at,"See master evidence_note for species, co-treatment and assay caveats."
TCAP,titin-cap,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
TIMP1,TIMP metallopeptidase inhibitor 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31154059,"See master evidence_note for species, co-treatment and assay caveats."
TIMP2,TIMP metallopeptidase inhibitor 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31154059,"See master evidence_note for species, co-treatment and assay caveats."
TM7SF2,transmembrane 7 superfamily member 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33983380,"See master evidence_note for species, co-treatment and assay caveats."
TMEM120A,transmembrane protein 120A,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
TMEM120B,transmembrane protein 120B,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
TMEM38A,transmembrane protein 38A,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
TNC,tenascin C,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31154059; PMID:31546122,"See master evidence_note for species, co-treatment and assay caveats."
TNF,tumor necrosis factor,B,B,experimental_or_curated,1,CTD,2,no,no,CTD:C012125; PMID:31230093 | CTD:C012125; PMID:41712757,"See master evidence_note for species, co-treatment and assay caveats."
TNNI2,"troponin I2, fast skeletal type",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
TNNT1,"troponin T1, slow skeletal type",B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
TNRC6B,trinucleotide repeat containing adaptor 6B,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37810885,"See master evidence_note for species, co-treatment and assay caveats."
TP53,tumor protein p53,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:31230093,"See master evidence_note for species, co-treatment and assay caveats."
TPM1,tropomyosin 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
TPM2,tropomyosin 2,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
TPSAB1,tryptase alpha/beta 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:28240277,"See master evidence_note for species, co-treatment and assay caveats."
TRIM72,tripartite motif containing 72,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
TRPA1,transient receptor potential cation channel subfamily A member 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:28240277,"See master evidence_note for species, co-treatment and assay caveats."
TRPV1,transient receptor potential cation channel subfamily V member 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
TTC32,tetratricopeptide repeat domain 32,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37810885,"See master evidence_note for species, co-treatment and assay caveats."
TULP4,TUB like protein 4,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
UBE2C,ubiquitin conjugating enzyme E2 C,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:33391822,"See master evidence_note for species, co-treatment and assay caveats."
VEGFA,vascular endothelial growth factor A,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
VNN1,vanin 1,B,B,experimental_or_curated,1,GEO,1,no,no,GSE40342; PMID:25475144; GPL1355; probe:1389253_at,"See master evidence_note for species, co-treatment and assay caveats."
WNT4,Wnt family member 4,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:37482143,"See master evidence_note for species, co-treatment and assay caveats."
ZP1,zona pellucida glycoprotein 1,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
ZP3,zona pellucida glycoprotein 3,B,B,experimental_or_curated,1,CTD,1,no,no,CTD:C012125; PMID:30600365,"See master evidence_note for species, co-treatment and assay caveats."
RXRB,retinoid X receptor beta,C,C,prediction_only,2,CTD; T3DB,2,yes,yes,CTD:C012125; PMID:23843199 | T3D3648; UniProt:P28702; PMID:23843199; DOI:10.1002/jat.2902,Pure prediction only
