analysis_category,category,term,description,number_of_genes,number_of_genes_in_background,inputGenes,preferredNames,p_value,fdr,p_value_numeric,fdr_numeric,significant_fdr_lt_0_05
KEGG,KEGG,hsa04071,Sphingolipid signaling pathway,5,116,"['9606.ENSP00000269305', '9606.ENSP00000297494', '9606.ENSP00000384273', '9606.ENSP00000398698', '9606.ENSP00000451828']","['TP53', 'NOS3', 'RELA', 'TNF', 'AKT1']",0.00031,0.0013,0.00031,0.0013,True
KEGG,KEGG,hsa05223,Non-small cell lung cancer,4,68,"['9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000419692', '9606.ENSP00000451828']","['STAT3', 'TP53', 'RXRA', 'AKT1']",0.00042,0.0017,0.00042,0.0017,True
KEGG,KEGG,hsa04068,FoxO signaling pathway,5,126,"['9606.ENSP00000212015', '9606.ENSP00000241052', '9606.ENSP00000264657', '9606.ENSP00000385675', '9606.ENSP00000451828']","['SIRT1', 'CAT', 'STAT3', 'IL6', 'AKT1']",0.00044,0.0018,0.00044,0.0018,True
KEGG,KEGG,hsa05212,Pancreatic cancer,4,71,"['9606.ENSP00000264657', '9606.ENSP00000269305', '9606.ENSP00000384273', '9606.ENSP00000451828']","['STAT3', 'TP53', 'RELA', 'AKT1']",0.00049,0.0019,0.00049,0.0019,True
KEGG,KEGG,hsa04910,Insulin signaling pathway,5,132,"['9606.ENSP00000304592', '9606.ENSP00000348069', '9606.ENSP00000360293', '9606.ENSP00000451828', '9606.ENSP00000483300']","['FASN', 'SREBF1', 'SORBS1', 'AKT1', 'ACACA']",0.00054,0.0022,0.00054,0.0022,True
KEGG,KEGG,hsa01100,Metabolic pathways,17,1435,"['9606.ENSP00000212015', '9606.ENSP00000221130', '9606.ENSP00000241052', '9606.ENSP00000261170', '9606.ENSP00000287936', '9606.ENSP00000292427', '9606.ENSP00000297494', '9606.ENSP00000304592', '9606.ENSP00000339787', '9606.ENSP00000349078', '9606.ENSP00000358903', '9606.ENSP00000363512', '9606.ENSP00000372191', '9606.ENSP00000377192', '9606.ENSP00000466259', '9606.ENSP00000483300', '9606.ENSP00000498939']","['SIRT1', 'GSR', 'CAT', 'GUCY2C', 'HMGCR', 'CYP11B1', 'NOS3', 'FASN', 'ACSL4', 'FDPS', 'CYP17A1', 'ALOX5', 'SIRT3', 'G6PD', 'ACLY', 'ACACA', 'CYP3A4']",0.00057,0.0022,0.00057,0.0022,True
KEGG,KEGG,hsa05224,Breast cancer,5,146,"['9606.ENSP00000269305', '9606.ENSP00000290167', '9606.ENSP00000325120', '9606.ENSP00000405330', '9606.ENSP00000451828']","['TP53', 'WNT4', 'PGR', 'ESR1', 'AKT1']",0.00085,0.0033,0.00085,0.0033,True
KEGG,KEGG,hsa05226,Gastric cancer,5,146,"['9606.ENSP00000269305', '9606.ENSP00000290167', '9606.ENSP00000419692', '9606.ENSP00000451828', '9606.ENSP00000494061']","['TP53', 'WNT4', 'RXRA', 'AKT1', 'MUC2']",0.00085,0.0033,0.00085,0.0033,True
KEGG,KEGG,hsa05216,Thyroid cancer,3,37,"['9606.ENSP00000269305', '9606.ENSP00000287820', '9606.ENSP00000419692']","['TP53', 'PPARG', 'RXRA']",0.00096,0.0036,0.00096,0.0036,True
KEGG,KEGG,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,4,87,"['9606.ENSP00000229135', '9606.ENSP00000264657', '9606.ENSP00000384273', '9606.ENSP00000451828']","['IFNG', 'STAT3', 'RELA', 'AKT1']",0.001,0.0038,0.001,0.0038,True
KEGG,KEGG,hsa05410,Hypertrophic cardiomyopathy,4,88,"['9606.ENSP00000290866', '9606.ENSP00000351022', '9606.ENSP00000385675', '9606.ENSP00000398698']","['ACE', 'TPM1', 'IL6', 'TNF']",0.001,0.0039,0.001,0.0039,True
KEGG,KEGG,hsa05165,Human papillomavirus infection,7,324,"['9606.ENSP00000265131', '9606.ENSP00000269305', '9606.ENSP00000290167', '9606.ENSP00000384273', '9606.ENSP00000398698', '9606.ENSP00000451828', '9606.ENSP00000498466']","['TNC', 'TP53', 'WNT4', 'RELA', 'TNF', 'AKT1', 'FAS']",0.0011,0.0042,0.0011,0.0042,True
KEGG,KEGG,hsa04350,TGF-beta signaling pathway,4,91,"['9606.ENSP00000229135', '9606.ENSP00000242208', '9606.ENSP00000368104', '9606.ENSP00000398698']","['IFNG', 'INHBA', 'BMP2', 'TNF']",0.0012,0.0043,0.0012,0.0043,True
KEGG,KEGG,hsa05219,Bladder cancer,3,40,"['9606.ENSP00000219070', '9606.ENSP00000269305', '9606.ENSP00000361405']","['MMP2', 'TP53', 'MMP9']",0.0012,0.0043,0.0012,0.0043,True
KEGG,KEGG,hsa05222,Small cell lung cancer,4,92,"['9606.ENSP00000269305', '9606.ENSP00000384273', '9606.ENSP00000419692', '9606.ENSP00000451828']","['TP53', 'RELA', 'RXRA', 'AKT1']",0.0012,0.0043,0.0012,0.0043,True
KEGG,KEGG,hsa04216,Ferroptosis,3,41,"['9606.ENSP00000269305', '9606.ENSP00000339787', '9606.ENSP00000358072']","['TP53', 'ACSL4', 'ATG5']",0.0013,0.0044,0.0013,0.0044,True
KEGG,KEGG,hsa04925,Aldosterone synthesis and secretion,4,94,"['9606.ENSP00000336790', '9606.ENSP00000398832', '9606.ENSP00000440864', '9606.ENSP00000454071']","['ATF4', 'AGTR1', 'NR4A1', 'LDLR']",0.0013,0.0046,0.0013,0.0046,True
KEGG,KEGG,hsa05322,Systemic lupus erythematosus,4,94,"['9606.ENSP00000229135', '9606.ENSP00000264246', '9606.ENSP00000332049', '9606.ENSP00000398698']","['IFNG', 'CD80', 'CD86', 'TNF']",0.0013,0.0046,0.0013,0.0046,True
KEGG,KEGG,hsa04979,Cholesterol metabolism,3,48,"['9606.ENSP00000301455', '9606.ENSP00000415743', '9606.ENSP00000454071']","['ANGPTL4', 'CD36', 'LDLR']",0.0019,0.0066,0.0019,0.0066,True
KEGG,KEGG,hsa05020,Prion disease,6,263,"['9606.ENSP00000263339', '9606.ENSP00000263341', '9606.ENSP00000336790', '9606.ENSP00000352608', '9606.ENSP00000385675', '9606.ENSP00000398698']","['IL1A', 'IL1B', 'ATF4', 'RYR1', 'IL6', 'TNF']",0.002,0.0067,0.002,0.0067,True
KEGG,KEGG,hsa04913,Ovarian steroidogenesis,3,50,"['9606.ENSP00000358903', '9606.ENSP00000363512', '9606.ENSP00000454071']","['CYP17A1', 'ALOX5', 'LDLR']",0.0022,0.0072,0.0022,0.0072,True
KEGG,KEGG,hsa04062,Chemokine signaling pathway,5,186,"['9606.ENSP00000246657', '9606.ENSP00000264657', '9606.ENSP00000384273', '9606.ENSP00000386884', '9606.ENSP00000451828']","['CCR7', 'STAT3', 'RELA', 'CXCR4', 'AKT1']",0.0024,0.0079,0.0024,0.0079,True
KEGG,KEGG,hsa04722,Neurotrophin signaling pathway,4,112,"['9606.ENSP00000269305', '9606.ENSP00000336790', '9606.ENSP00000384273', '9606.ENSP00000451828']","['TP53', 'ATF4', 'RELA', 'AKT1']",0.0025,0.008,0.0025,0.008,True
KEGG,KEGG,hsa05168,Herpes simplex virus 1 infection,8,478,"['9606.ENSP00000229135', '9606.ENSP00000263341', '9606.ENSP00000269305', '9606.ENSP00000384273', '9606.ENSP00000385675', '9606.ENSP00000398698', '9606.ENSP00000451828', '9606.ENSP00000498466']","['IFNG', 'IL1B', 'TP53', 'RELA', 'IL6', 'TNF', 'AKT1', 'FAS']",0.0025,0.0081,0.0025,0.0081,True
KEGG,KEGG,hsa01212,Fatty acid metabolism,3,54,"['9606.ENSP00000304592', '9606.ENSP00000339787', '9606.ENSP00000483300']","['FASN', 'ACSL4', 'ACACA']",0.0027,0.0086,0.0027,0.0086,True
