donor_id,condition,analysis_group,n_cells,pseudobulk_score,cell_global_sensitivity_mean,eligible_ge_10,eligible_ge_20,eligible_ge_30
KUL28,tumor,smooth_muscle_like,8,0.0,0.0,False,False,False
KUL28,tumor,tumor_epithelial,40,0.0,0.0,True,True,True
KUL30,border,B_cells,258,0.0,0.0,True,True,True
KUL30,border,C1QC_like_TAM,37,0.0,0.0,True,True,True
KUL30,border,FCN1_inflammatory_monocyte_like,22,0.0,0.0,True,True,False
KUL30,border,SPP1_like_TAM,11,0.0,0.0,True,False,False
KUL30,border,T_cells,33,0.0,0.0,True,True,True
KUL30,border,border_epithelial,190,0.04598548576431681,0.0,True,True,True
KUL30,border,endothelial_like,63,0.0,0.0,True,True,True
KUL30,border,enteric_glial_like,7,0.0,0.0,False,False,False
KUL30,border,fibroblast_like,113,0.14161889918054463,0.0026836280649222975,True,True,True
KUL30,border,mast_cells,7,0.0,0.0,False,False,False
KUL30,border,other_myeloid,2,0.0,0.0,False,False,False
KUL30,border,pericyte_like,9,0.0,0.0,False,False,False
KUL30,border,resident_like,4,0.0,0.0,False,False,False
KUL30,border,smooth_muscle_like,10,0.3655040672033907,0.0,True,False,False
KUL30,normal,B_cells,692,0.014464301767485428,0.0,True,True,True
KUL30,normal,C1QC_like_TAM,2,0.0,0.0,False,False,False
KUL30,normal,FCN1_inflammatory_monocyte_like,29,0.0,0.0,True,True,False
KUL30,normal,T_cells,28,0.0,0.0,True,True,False
KUL30,normal,endothelial_like,246,0.13333198366527335,0.0,True,True,True
KUL30,normal,enteric_glial_like,170,0.0,0.0,True,True,True
KUL30,normal,fibroblast_like,595,0.2115079663908916,0.0,True,True,True
KUL30,normal,mast_cells,18,0.0,0.0,True,False,False
KUL30,normal,normal_epithelial,150,0.05913306549327617,0.0,True,True,True
KUL30,normal,other_myeloid,8,0.0,0.0,False,False,False
KUL30,normal,pericyte_like,18,0.0,0.0,True,False,False
KUL30,normal,resident_like,31,0.2375959150836246,0.0,True,True,True
KUL30,normal,smooth_muscle_like,105,0.07154156511834373,0.0,True,True,True
KUL30,tumor,B_cells,108,0.0,0.0,True,True,True
KUL30,tumor,C1QC_like_TAM,30,0.269794306372993,0.0,True,True,True
KUL30,tumor,FCN1_inflammatory_monocyte_like,31,0.0,0.0,True,True,True
KUL30,tumor,T_cells,11,0.0,0.0,True,False,False
