gene_symbol,gene_id,chemical,chemical_identity,exact_evidence_rows,exact_human_supported,exact_experimental_supported,CTD_support,PubChem_support,ChEMBL_support,number_independent_sources,number_independent_references,number_species,evidence_species,evidence_tiers,evidence_types,evidence_directions,evidence_role,direct_target_binding_flag,metabolism_related_flag,ambiguous_direction_flag,evidence_source_databases,evidence_provenance,parent_naphthalene_rows_in_primary,primary_universe_rule
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,16,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1963594|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963594|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963594|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963594|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963595|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963595|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963595|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963595|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061104|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061104|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061104|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061104|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061105|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061105|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061105|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061105|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
ESR1,2099,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,22,True,False,False,True,False,1,11,1,Homo sapiens,Tier A,bioassay activity,Active;Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:743069|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743069|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:743075|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743075|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743077|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743077|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743078|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743078|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:743079|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:743079|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743080|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743080|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743091|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743091|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259244|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259244|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259248|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259248|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259383|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259383|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259391|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259391|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
ESR2,2100,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,8,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259377|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259377|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259378|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259378|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259394|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259394|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259396|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259396|Homo sapiens|Inconclusive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
ESRRA,2101,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,16,True,False,False,True,False,1,8,1,Homo sapiens,Tier A,bioassay activity,Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1224841|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224841|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224842|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224842|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224848|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224848|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224849|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224849|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259401|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259401|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259402|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259402|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259403|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259403|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259404|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1259404|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
GL261,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,False,True,False,False,True,1,1,1,Mus musculus,Tier B,target activity / physicochemical assay,,ambiguous_direction;other_exact_interaction,False,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL5542042; ChEMBL-document:CHEMBL5537213|Mus musculus|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
GLI3,2737,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,8,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Active;Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259368|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259368|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259369|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1259369|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1259390|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259390|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259392|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1259392|Homo sapiens|Active|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
GNRHR,2798,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1920063|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1920063|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1920067|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1920067|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
GNT1,O60656;P19224;P22309;P22310;Q9HAW7;Q9HAW8,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,7,True,False,False,False,True,1,6,1,Homo sapiens,Tier A,target activity / physicochemical assay,,ambiguous_direction;direct_binding,True,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL1908080; ChEMBL-document:CHEMBL1907987|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL1908087; ChEMBL-document:CHEMBL1907987|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL1908082; ChEMBL-document:CHEMBL1907987|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL1908083; ChEMBL-document:CHEMBL1907987|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL1908083; ChEMBL-document:CHEMBL1907987|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL1908084; ChEMBL-document:CHEMBL1907987|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL1908086; ChEMBL-document:CHEMBL1907987|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
GPR151,134391,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1508602|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
HDAC6,Q9UBN7,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,2,True,False,False,False,True,1,2,1,Homo sapiens,Tier A,target activity / physicochemical assay,,ambiguous_direction;direct_binding,True,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL4808149; ChEMBL-document:CHEMBL4808148|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4808150; ChEMBL-document:CHEMBL4808148|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
HDAC9,9734,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target;direct_binding,True,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259364|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259364|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259388|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259388|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
HIF1A,3091,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1224846|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224846|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224894|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224894|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
HSPB1,3315,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:743210|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743210|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743228|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743228|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
HST,Q06520,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,3,True,False,False,False,True,1,3,1,Homo sapiens,Tier A,target activity / physicochemical assay,,ambiguous_direction;direct_binding;gene_to_chemical_metabolism,True,True,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL4482701; ChEMBL-document:CHEMBL4482315|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4482702; ChEMBL-document:CHEMBL4482315|Homo sapiens|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL4482703; ChEMBL-document:CHEMBL4482315|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,16,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1963586|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963586|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963586|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963586|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963587|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963587|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963587|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963587|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061100|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061100|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061100|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061100|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061101|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061101|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061101|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061101|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
Homo sapiens,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,False,False,True,1,1,1,Homo sapiens,Tier A,target activity / physicochemical assay,,ambiguous_direction;other_exact_interaction,False,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL865441; ChEMBL-document:CHEMBL1138041|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
IFNG,3458,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target;direct_binding,True,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259416|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259416|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259421|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1259421|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
JUN,3725,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Active;Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1159526|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1159526|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159528|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1159528|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
K562,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,False,False,True,1,1,1,Homo sapiens,Tier A,target activity / physicochemical assay,,ambiguous_direction;other_exact_interaction,False,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL4201519; ChEMBL-document:CHEMBL4196196|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
KCNH2,3757,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1671200|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671200|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671200|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671200|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
KISS1R,84634,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1920064|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1920064|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1920068|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1920068|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
LOC100757539,100757539,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,False,True,False,True,False,1,2,1,Cricetulus griseus,Tier B,bioassay activity,Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1224845|Cricetulus griseus|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1224845|Cricetulus griseus|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1224896|Cricetulus griseus|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1224896|Cricetulus griseus|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
LOC116160065,116160065,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,2,False,True,False,True,False,1,1,1,Photinus pyralis,Tier B,bioassay activity,Inconclusive,bioassay_target;direct_binding,True,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1224835|Photinus pyralis|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1224835|Photinus pyralis|Inconclusive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
Lithobates pipiens,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,False,True,False,False,True,1,1,1,Lithobates pipiens,Tier B,target activity / physicochemical assay,,ambiguous_direction;direct_binding,True,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL775702; ChEMBL-document:CHEMBL1125698|Lithobates pipiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
MCF7,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,False,False,True,1,1,1,Homo sapiens,Tier A,target activity / physicochemical assay,,ambiguous_direction;other_exact_interaction,False,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL4372649; ChEMBL-document:CHEMBL4371052|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
MITF,4286,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target;direct_binding,True,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1259374|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
NFE2L2,4780,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,10,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Active;Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:743202|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743202|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743219|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:743219|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1919969|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1919969|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1919969|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1919969|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1919970|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1919970|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
NFKB1,4790,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1159509|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159509|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159518|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159518|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
NR1H4,9971,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,8,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:743217|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743217|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743220|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743220|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743239|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743239|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743240|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:743240|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
NR1I2,8856,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,2,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Active,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1346982|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1346982|Homo sapiens|Active|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
NR3C1,2908,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,8,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:720691|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:720691|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:720692|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:720692|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:720719|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:720719|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:720725|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:720725|Homo sapiens|Inconclusive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
No relevant target,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,12,False,True,False,False,True,1,12,1,Unknown,Tier B,target activity / physicochemical assay,,ambiguous_direction;other_exact_interaction,False,False,True,ChEMBL,ChEMBL|ChEMBL-assay:CHEMBL631962; ChEMBL-document:CHEMBL1132890|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL631694; ChEMBL-document:CHEMBL1123773|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL632431; ChEMBL-document:CHEMBL1123773|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL632430; ChEMBL-document:CHEMBL1123773|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL631695; ChEMBL-document:CHEMBL1123773|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL875968; ChEMBL-document:CHEMBL1123773|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL632432; ChEMBL-document:CHEMBL1123773|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL876466; ChEMBL-document:CHEMBL1143634|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL865962; ChEMBL-document:CHEMBL1138041|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL925051; ChEMBL-document:CHEMBL1140614|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL1947474; ChEMBL-document:CHEMBL1944569|Unknown|nan|target activity / physicochemical assay;ChEMBL|ChEMBL-assay:CHEMBL3243764; ChEMBL-document:CHEMBL3232800|Unknown|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded
PGR,5241,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,8,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Active;Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1346784|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346784|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1346795|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1346795|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1347031|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1347031|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1347036|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1347036|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded
