drug,signature_id,cell_line,pert_time,pert_dose,persistent_id,tissue,disease
tacrolimus,REP.B028_PC3_24H_N12_tacrolimus_0.01uM,PC3,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B028_PC3_24H_N12_tacrolimus_0.01uM.tsv,prostate gland,prostate adenocarcinoma
tacrolimus,REP.B028_PC3_24H_N11_tacrolimus_0.03uM,PC3,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B028_PC3_24H_N11_tacrolimus_0.03uM.tsv,prostate gland,prostate adenocarcinoma
tacrolimus,PBIOA015_PC3_24H_M12_tacrolimus_0.04uM,PC3,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_PBIOA015_PC3_24H_M12_tacrolimus_0.04uM.tsv,prostate gland,prostate adenocarcinoma
tacrolimus,REP.A028_PC3_24H_N12_tacrolimus_0.04uM,PC3,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A028_PC3_24H_N12_tacrolimus_0.04uM.tsv,prostate gland,prostate adenocarcinoma
teriflunomide,ERAM001_A549_24H_D06_teriflunomide_1.25uM,A549,24 h,1.25 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_ERAM001_A549_24H_D06_teriflunomide_1.25uM.tsv,lung,lung cancer
teriflunomide,ERAM001_A549_24H_D01_teriflunomide_10uM,A549,24 h,10 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_ERAM001_A549_24H_D01_teriflunomide_10uM.tsv,lung,lung cancer
teriflunomide,ERAM001_A549_24H_D05_teriflunomide_2.22uM,A549,24 h,2.22 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_ERAM001_A549_24H_D05_teriflunomide_2.22uM.tsv,lung,lung cancer
teriflunomide,ERAM001_A549_24H_D04_teriflunomide_3.33uM,A549,24 h,3.33 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_ERAM001_A549_24H_D04_teriflunomide_3.33uM.tsv,lung,lung cancer
teriflunomide,REP.B007_HT29_24H_B12_teriflunomide_0.01uM,HT29,24 h,0.01 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B007_HT29_24H_B12_teriflunomide_0.01uM.tsv,intestine,colon adenocarcinoma
teriflunomide,REP.B007_HT29_24H_B11_teriflunomide_0.03uM,HT29,24 h,0.03 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B007_HT29_24H_B11_teriflunomide_0.03uM.tsv,intestine,colon adenocarcinoma
teriflunomide,REP.A007_HT29_24H_B12_teriflunomide_0.04uM,HT29,24 h,0.04 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.A007_HT29_24H_B12_teriflunomide_0.04uM.tsv,intestine,colon adenocarcinoma
teriflunomide,REP.B007_HT29_24H_B10_teriflunomide_0.08uM,HT29,24 h,0.08 uM,https://lincs-dcic.s3.amazonaws.com/LINCS-sigs-2021/cd/cp/L1000_LINCS_DCIC_REP.B007_HT29_24H_B10_teriflunomide_0.08uM.tsv,intestine,colon adenocarcinoma
