source_article,source_table,article_rank,gene_symbol_raw,gene_symbol,description,gifts,genecard_id,relevance_score,in_dinp_93,dinp_support_count,CTD,ToxCast,Tox21,T3DB
10.1186/s12906-021-03273-7,Table S2,1719,FANCE,FANCE,FA Complementation Group E,41,GC06P047436,10.98,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1720,TRAF6,TRAF6,TNF Receptor Associated Factor 6,47,GC11M036467,10.97,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1721,CDC20,CDC20,Cell Division Cycle 20,44,GC01P043358,10.97,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1722,PTK6,PTK6,Protein Tyrosine Kinase 6,47,GC20M063528,10.96,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1723,SLPI,SLPI,Secretory Leukocyte Peptidase Inhibitor,39,GC20M045252,10.95,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1724,VCP,VCP,Valosin Containing Protein,48,GC09M035056,10.94,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1725,VWA2,VWA2,Von Willebrand Factor A Domain Containing 2,35,GC10P114239,10.93,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1726,UNC93A,UNC93A,Unc-93 Homolog A,35,GC06P167271,10.93,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1727,REN,REN,Renin,48,GC01M204154,10.93,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1728,NUDT1,NUDT1,Nudix Hydrolase 1,43,GC07P002242,10.93,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1729,HPN,HPN,Hepsin,43,GC19P035040,10.93,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1730,FCGBP,FCGBP,Fc Fragment Of IgG Binding Protein,35,GC19M039863,10.93,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1731,RTEL1,RTEL1,Regulator Of Telomere Elongation Helicase 1,40,GC20P063658,10.92,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1732,RINT1,RINT1,RAD50 Interactor 1,36,GC07P105532,10.91,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1733,TYK2,TYK2,Tyrosine Kinase 2,52,GC19M010350,10.9,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1734,RPS6KB2,RPS6KB2,Ribosomal Protein S6 Kinase B2,46,GC11P067428,10.9,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1735,LINC-PINT,LINC-PINT,"Long Intergenic Non-Protein Coding RNA, P53 Induced Transcript",17,GC07M130899,10.9,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1736,SLC2A4,SLC2A4,Solute Carrier Family 2 Member 4,45,GC17P007295,10.89,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1737,POU5F1P4,POU5F1P4,POU Class 5 Homeobox 1 Pseudogene 4,16,GC01P155444,10.89,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1738,CASC9,CASC9,Cancer Susceptibility 9,14,GC08M075132,10.89,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1739,TNNI3,TNNI3,"Troponin I3, Cardiac Type",48,GC19M055151,10.88,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1740,SMPD1,SMPD1,Sphingomyelin Phosphodiesterase 1,47,GC11P006390,10.88,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1741,HAGLR,HAGLR,HOXD Antisense Growth-Associated Long Non-Coding RNA,16,GC02M176173,10.88,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1742,NOTCH4,NOTCH4,Notch Receptor 4,45,GC06M032648,10.87,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1743,IL2RB,IL2RB,Interleukin 2 Receptor Subunit Beta,48,GC22M037125,10.87,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1744,GLE1,GLE1,GLE1 RNA Export Mediator,40,GC09P128504,10.87,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1745,CADM1,CADM1,Cell Adhesion Molecule 1,43,GC11M115169,10.87,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1746,MIR212,MIR212,MicroRNA 212,19,GC17M002050,10.86,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1747,CDH17,CDH17,Cadherin 17,41,GC08M094127,10.86,False,,,,,
10.1186/s12906-021-03273-7,Table S2,1748,CCNA1,CCNA1,Cyclin A1,42,GC13P036431,10.86,False,,,,,
