compartment,donor_id,tumor_score,normal_score,tumor_minus_normal
fibroblast,C165,0.5578679006001384,0.649550885258101,-0.09168298465796265
fibroblast,C170,0.4788469357224129,0.3035733954521805,0.1752735402702324
endothelial,C106,-0.004018063278016459,0.08231825314285315,-0.08633631642086961
endothelial,C107,0.07351807448399161,0.149668498792076,-0.07615042430808439
endothelial,C109,0.1437028375790973,0.10740047353349647,0.03630236404560083
endothelial,C110,0.04261027114922106,0.016706590416567572,0.025903680732653485
endothelial,C111,0.12880603348295802,0.11740560785190074,0.011400425631057282
endothelial,C112,0.09663480133900287,0.09349642321491443,0.003138378124088445
endothelial,C113,-0.009121585207215942,0.10817643386012044,-0.11729801906733638
endothelial,C114,0.1082613599917143,0.13652029209101674,-0.028258932099302442
endothelial,C115,-0.05353750591601183,0.11584834761196823,-0.16938585352798005
endothelial,C116,0.06000167346822242,0.190058724218138,-0.13005705074991558
endothelial,C122,0.14035026123702152,0.12426224656618652,0.016088014670834996
endothelial,C123,0.08725754094121883,0.049103000125257215,0.03815454081596162
endothelial,C124,0.0915367790385375,0.12293158285330688,-0.031394803814769376
endothelial,C125,0.10330624039811322,0.07333319284225327,0.029973047555859944
endothelial,C126,0.10642447788378866,0.09208328075604652,0.014341197127742136
endothelial,C129,0.06893003852686103,0.020830811611387466,0.04809922691547356
endothelial,C130,0.04483336447057795,0.15024847127521018,-0.10541510680463223
endothelial,C132,0.11029368588774785,0.007679767249710915,0.10261391863803694
endothelial,C133,0.1230002944776235,0.057737059625826724,0.06526323485179678
endothelial,C134,0.08573215612256416,0.11153122472536563,-0.02579906860280147
endothelial,C135,0.10668576606159103,0.08075871144241947,0.025927054619171552
endothelial,C136,0.18303145153598105,0.11413168010703592,0.06889977142894513
