pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_INTERLEUKIN_35_SIGNALLING,1.5485030393803723,0.12150123052536986,11,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4799257406786383
REACTOME_PI_3K_CASCADE_FGFR4,1.547316680695139,0.12178690136236307,12,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4799257406786383
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS,1.5431559274695152,0.1227929477206262,14,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.48258948808482666
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS,-1.5413460770778338,0.123232580252352,13,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.48279864497545694
REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D,-1.5401393590271457,0.12352638759863276,38,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.48279864497545694
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS,-1.538866619952104,0.12383686174131077,40,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.48279864497545694
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,1.534103013388486,0.12500431211224725,143,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.48605400081942945
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,-1.531422661382632,0.12566496693826862,15,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4862257804752833
REACTOME_SIGNALING_BY_BMP,-1.5295297781775377,0.1261331627310605,25,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4862257804752833
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS,-1.5277765062991575,0.1265680372685966,19,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4862257804752833
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,1.5263329221859956,0.12692697358479724,32,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4862257804752833
REACTOME_SIGNALING_BY_VEGF,1.5262866526909826,0.12693849123608028,102,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4862257804752833
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,-1.5258631669535883,0.1270439453772628,12,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4862257804752833
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI,-1.5212448702182189,0.1281983992132446,22,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4887982346286068
REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS,-1.5202885237423798,0.12843847707480038,10,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4887982346286068
REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY,1.518479448275992,0.12889357662152526,17,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4887982346286068
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN,1.5166610911944183,0.12935227264618746,10,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4887982346286068
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,1.5143667224084287,0.12993285448833702,11,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4887982346286068
REACTOME_IRS_MEDIATED_SIGNALLING,1.5128886815088913,0.13030793741082103,37,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4887982346286068
REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS,-1.5122613988947406,0.13046737686008386,11,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4887982346286068
REACTOME_CHYLOMICRON_ASSEMBLY,-1.510411905573344,0.13093835260345643,9,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4887982346286068
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,-1.510300034317032,0.13096688299197273,15,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4887982346286068
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,-1.5099372187204665,0.13105944457894245,26,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4887982346286068
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,-1.508225211025132,0.13149689693456626,12,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.4891818405046714
REACTOME_APOPTOTIC_EXECUTION_PHASE,1.5018287374052666,0.13314134457862187,44,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.49404224815722125
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE,-1.4944757117292262,0.13505132557407656,18,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.49929777259225616
REACTOME_PHASE_0_RAPID_DEPOLARISATION,-1.493751012017536,0.13524070994974927,25,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.49929777259225616
REACTOME_RECYCLING_PATHWAY_OF_L1,1.4923733113716606,0.1356013075388998,42,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.49936803934980223
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION,1.4879646567708518,0.13676021463101862,14,up,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5023455162271493
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,-1.4856281799066176,0.13737749701274005,29,down,preranked_rank_sum,GSE158473,ovary,GSE158473_0month_DiNP_20ugkgd,Reactome,0.5023455162271493
