pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_OLFACTORY_SIGNALING_PATHWAY,-1.2176164272165795,0.22336976892487703,11,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3922876375473821
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,1.2173114005303507,0.2234857583155313,29,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3922876375473821
REACTOME_GLYCOGEN_SYNTHESIS,1.2172405036515235,0.22351272371885722,11,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3922876375473821
REACTOME_OTHER_INTERLEUKIN_SIGNALING,1.2080060799908252,0.2270449236914973,21,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3975554577012214
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,1.2079054088164476,0.2270836488552005,29,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3975554577012214
REACTOME_CELL_CYCLE_MITOTIC,-1.2068985220330612,0.22747122695270383,464,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3975554577012214
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,1.2065594289746675,0.22760185916273756,35,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3975554577012214
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,-1.2054649362881376,0.22802386629400562,27,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3978172941788021
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES,1.2039850527858458,0.22859535583454804,8,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3981305268640382
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,1.2035901058763139,0.22874804553063754,10,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3981305268640382
REACTOME_COLLAGEN_DEGRADATION,-1.2025606794898531,0.22914637141955596,50,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3982519313134563
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING,1.2017422040461017,0.22946342412083287,12,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.3982519313134563
