pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,-0.6282891960193374,0.5298145079058635,19,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7869619168442702
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,0.6275896125388266,0.5302728151589161,16,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7869619168442702
REACTOME_SIGNALING_BY_FGFR2_IIIA_TM,0.625896045637955,0.5313831284113166,17,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.787800038424991
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,0.6246268237863077,0.5322160103917966,14,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7882255579546197
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING,-0.623195111969627,0.5331563134533475,16,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7888091358879444
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE,0.6220854762006,0.5338856645662968,15,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7890682429278751
REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES,-0.620014589332338,0.5352481818329994,11,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7890682429278751
REACTOME_DUAL_INCISION_IN_TC_NER,0.619824481902714,0.5353733487099482,60,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7890682429278751
REACTOME_EXTENSION_OF_TELOMERES,-0.6189095808163908,0.5359759265325355,47,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7890682429278751
REACTOME_SARS_COV_1_HOST_INTERACTIONS,-0.618776394901013,0.536063674731472,82,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7890682429278751
REACTOME_REGULATION_OF_CDH1_MRNA_TRANSLATION_BY_MICRORNAS,-0.6168683578581271,0.537321559174707,11,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7901143904768605
REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY,-0.6156900758343106,0.5380990884679107,27,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7904527810250895
REACTOME_REGULATION_OF_CDH1_GENE_TRANSCRIPTION,-0.6139337621521083,0.5392590987086631,58,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7913517668041762
REACTOME_SHC_MEDIATED_CASCADE_FGFR3,-0.610711790379841,0.541390399108105,9,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7924008768847062
REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION,0.6103077667087567,0.5416579530013925,17,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7924008768847062
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS,0.6092601189175512,0.5423520370921968,67,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7924008768847062
REACTOME_TRNA_PROCESSING,0.6089558984596792,0.5425536712571304,107,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7924008768847062
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,-0.6079765330499465,0.5432030381486341,25,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7924008768847062
REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE,-0.6077707006469855,0.5433395642396057,21,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7924008768847062
REACTOME_ENOS_ACTIVATION,0.6067621400864419,0.5440087768237261,12,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7924008768847062
REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_EXTRACELLULAR_MATRIX_FOCAL_ADHESION_AND_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,0.6062269829270703,0.5443640373058369,9,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7924008768847062
REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS,0.6009357088472137,0.5478828081933727,6,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.796163966125275
REACTOME_ALK_MUTANTS_BIND_TKIS,-0.6006818248789627,0.548051926820307,11,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.796163966125275
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS,0.5993234969052786,0.5489571819297465,27,up,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7966545739461164
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES,-0.5985199609498532,0.5494930440791772,34,down,preranked_rank_sum,GSE313258,liver,GSE313258_20weeks_DiNP_150mgkgd,Reactome,0.7966545739461164
