sample_id,AKR1C3,ATG5,BECN1,CA9,CCL20,CRP,CXCR4,CYP1A2,CYP2C9,CYP3A4,DKK1,DUSP1,ESR1,F3,HPGD,HSPA1A,IGFBP1,IL1A,MIR675,MMP2,MMP9,NEAT1,NR1I2,NR3C1,PGR,PPARA,PPARD,PPARG,PTGER2,PTGER4,PTGES2,PTGS1,PTGS2,RELA,RXRA,SELE,SIRT1,SQSTM1,STAT3,TIMP1,TIMP2
TCGA-DC-6160-01,6.174,5.224,6.536,4.848,7.074,-2.635,3.802,-9.966,-1.884,-2.932,-3.047,5.229,-2.466,5.444,4.533,3.988,-3.458,2.025,-9.966,5.339,4.496,6.827,5.576,2.186,-4.035,2.986,3.715,5.88,1.132,3.425,6.465,3.683,2.789,5.019,4.209,-0.6643,3.339,8.135,6.188,8.031,4.885
TCGA-F5-6810-01,6.198,4.799,6.108,2.844,7.682,-4.608,4.47,-9.966,-1.318,-3.047,-0.4131,7.017,-3.308,5.795,3.018,7.378,-2.826,-1.47,-9.966,7.819,3.491,8.157,4.607,2.121,-1.639,2.826,4.556,6.235,1.714,1.808,6.759,4.065,2.269,5.941,4.635,2.812,3.28,8.037,5.93,8.743,7.17
TCGA-CL-4957-01,7.289,4.273,6.109,3.632,3.795,-6.506,3.397,-9.966,-4.293,-4.608,-1.355,5.125,-5.574,4.392,2.342,6.066,-5.012,-2.388,-9.966,6.037,2.818,5.141,4.33,0.517,-4.608,2.46,3.651,5.479,0.2998,2.008,6.419,1.47,1.576,5.148,3.864,1.449,3.239,7.795,5.395,8.403,5.68
TCGA-EI-7004-01,4.942,4.714,6.031,6.236,3.086,-6.506,6.368,-9.966,-2.053,-2.826,-0.3752,7.212,-1.392,7.502,2.526,7.299,-9.966,0.5568,-9.966,10.53,6.057,7.009,1.551,3.391,-1.831,3.134,4.402,4.192,3.256,4.002,6.352,4.505,3.516,5.892,5.038,4.782,3.236,8.387,6.519,9.849,9.158
TCGA-DC-6154-01,7.499,4.812,6.699,3.959,6.677,4.55,4.436,-9.966,-1.884,-0.9132,-1.732,4.21,-4.293,2.816,3.44,7.014,2.872,-1.994,-9.966,3.812,3.605,7.195,5.114,0.8164,-4.293,2.834,4.013,5.955,-2.245,1.96,6.067,1.537,-0.9132,6.06,3.5,-3.458,2.907,8.211,5.516,10.3,5.827
TCGA-CI-6619-01,7.11,4.601,6.039,-1.283,6.023,-9.966,5.01,-9.966,0.3231,-5.574,3.787,3.657,-3.458,5.194,4.249,4.858,-5.574,-1.355,-9.966,6.389,4.628,8.148,3.084,1.322,-4.608,2.566,4.088,4.094,1.092,2.221,6.337,3.486,2.644,5.248,3.989,3.046,2.799,7.396,6.21,8.145,5.884
TCGA-CI-6624-01,6.812,4.628,6.369,0.7321,7.727,-5.012,4.092,-9.966,-2.466,-1.595,-2.053,4.517,-2.727,4.008,5.255,6.419,-5.012,-0.2671,-9.966,7.234,5.154,5.889,4.438,2.328,-3.626,2.727,3.985,6.259,1.455,2.938,5.509,3.192,1.949,5.189,4.593,0.5763,2.973,8.159,6.029,9.375,6.909
TCGA-CL-5918-01,6.043,3.952,5.849,3.585,7.703,-9.966,2.144,-9.966,-4.035,-2.245,-9.966,3.829,-6.506,3.259,2.642,3.29,-0.1665,-1.318,-9.966,4.514,1.276,5.873,4.292,-0.8599,-6.506,2.398,3.454,4.443,-2.548,1.05,6.444,-0.0425,0.4865,4.821,3.0,-0.5756,2.604,7.828,4.781,8.694,4.097
TCGA-AG-3732-11,5.821,4.89,6.354,-1.552,3.178,-9.966,3.704,-6.506,-1.884,-0.5543,-1.938,6.545,-0.3383,3.563,6.549,7.354,-5.012,-4.608,-9.966,7.114,2.173,6.463,3.742,4.766,1.481,3.487,4.55,5.208,1.848,4.565,5.587,6.693,3.006,5.547,5.113,-2.826,4.114,7.796,5.949,7.142,8.466
TCGA-AG-3592-01,5.459,5.101,5.975,2.033,7.876,-9.966,3.43,-9.966,-5.574,-2.826,-0.4921,4.535,-4.293,4.82,4.739,4.648,-4.293,-0.3383,-9.966,6.882,3.91,6.35,5.064,1.264,-5.012,3.197,4.119,5.885,0.8883,2.858,6.833,3.006,3.143,6.018,4.155,0.8246,2.356,7.98,5.708,8.223,5.627
TCGA-CL-5917-01,6.539,4.648,6.505,3.228,5.376,-9.966,2.973,-9.966,-9.966,-2.178,-0.7588,6.575,-3.308,4.426,4.114,3.754,0.6332,-0.2671,-9.966,6.785,2.665,6.065,5.863,0.9935,-3.626,3.211,3.957,4.578,0.9568,1.444,6.187,1.816,2.393,5.693,4.401,1.439,3.54,8.071,5.304,8.851,6.61
TCGA-EI-6885-01,6.004,4.412,6.199,0.1648,5.72,-9.966,4.72,-9.966,-6.506,-4.035,0.8568,7.354,-3.047,4.054,5.196,7.982,-2.635,2.662,-9.966,8.127,8.435,7.653,4.6,2.101,-3.458,3.322,4.32,5.057,0.2029,1.401,6.063,2.876,5.17,5.955,4.41,3.927,3.541,8.382,6.002,8.798,6.908
TCGA-EF-5831-01,6.01,5.006,6.151,1.99,6.803,-4.293,3.549,-9.966,-9.966,-3.816,-3.626,4.865,-3.458,4.359,5.137,8.238,-1.47,-0.6416,-9.966,6.959,4.462,5.548,4.871,1.015,-4.035,3.375,3.655,7.193,0.2998,3.057,6.426,1.46,-1.214,5.35,3.779,-0.5125,3.702,8.922,5.184,8.345,6.48
TCGA-DC-5869-01,6.442,5.753,6.076,3.608,7.29,-9.966,3.933,-9.966,-2.548,-3.816,-3.308,6.497,-4.035,4.144,2.848,3.023,-4.035,-0.9132,-9.966,6.901,3.189,6.677,4.864,1.362,-2.932,2.683,3.497,6.47,0.4125,1.281,6.342,1.828,1.919,5.645,3.505,1.357,3.286,7.997,5.179,8.605,6.138
TCGA-AG-4021-01,6.192,5.566,6.559,3.277,7.133,-9.966,5.011,-9.966,-3.047,-3.816,0.044,5.386,-3.816,4.267,3.66,7.414,-4.293,2.221,-9.966,7.559,5.894,6.976,2.824,1.732,-2.466,2.568,4.329,5.37,0.4865,2.473,6.128,4.558,3.428,5.904,3.281,1.311,3.194,7.194,5.826,8.915,7.189
TCGA-DC-6157-01,5.734,5.067,6.656,4.595,7.346,-9.966,3.885,-9.966,-9.966,-1.732,0.3573,5.586,-2.826,3.888,4.457,4.941,-2.826,-3.626,-9.966,6.088,4.135,8.223,5.247,0.8726,-4.608,3.665,4.191,5.963,0.3685,2.734,6.354,1.164,0.8726,6.17,4.879,1.556,3.128,8.273,5.835,7.57,5.776
TCGA-AH-6547-01,6.187,4.574,6.053,-1.056,6.073,-5.012,5.747,-9.966,-0.9686,0.4761,-1.831,7.12,-1.026,5.144,6.498,6.041,-5.574,-0.9686,-9.966,7.714,6.293,8.391,4.454,3.069,-2.388,3.42,5.07,4.847,2.716,4.747,5.792,2.947,1.05,5.51,4.22,2.151,3.843,7.739,6.31,8.538,6.989
TCGA-AF-5654-01,2.491,3.985,6.138,1.34,8.721,-4.608,4.383,-9.966,-6.506,-1.732,-3.458,5.071,-5.012,4.822,-0.4921,3.718,0.4447,0.9115,-9.966,4.705,2.328,7.204,4.832,-0.7346,-5.574,2.193,3.8,5.102,-0.8084,1.085,7.027,3.234,2.47,4.981,3.695,0.1257,2.328,7.73,5.278,8.36,4.157
TCGA-F5-6811-01,5.423,4.739,6.672,1.015,7.726,-9.966,3.502,-9.966,-3.626,-1.117,2.334,4.291,-2.114,4.493,6.512,4.93,-0.7108,-0.4131,-9.966,9.067,5.218,6.82,5.163,2.199,-2.178,2.826,4.105,6.184,1.546,3.692,5.805,2.196,-1.884,5.788,3.531,-0.3383,3.274,8.67,5.788,8.816,8.262
TCGA-EI-6509-01,7.925,3.997,5.547,6.491,2.886,-9.966,4.584,-9.966,-2.245,-0.7834,-2.315,3.742,-4.293,1.39,1.105,8.474,-9.966,-5.574,-9.966,5.524,8.309,6.542,4.91,0.8488,-3.458,3.208,3.655,4.109,-1.685,2.236,5.768,1.27,-0.8339,4.815,4.432,-9.966,2.637,8.298,4.484,9.4,5.184
TCGA-AF-2692-11,5.612,4.594,6.525,-0.6873,5.08,-9.966,5.83,-9.966,-5.574,-2.114,-0.2845,7.747,-0.7108,5.101,6.177,7.237,-3.458,1.804,-9.966,7.257,4.314,6.861,3.969,4.124,0.6699,3.454,5.016,5.333,2.949,5.456,6.099,6.516,3.812,5.88,5.102,2.926,4.337,8.5,6.118,7.237,7.907
