gene_a,gene_b,pearson_r,abs_r,p_value,BH_FDR
CXCR4,TIMP2,0.5940009644183988,0.5940009644183988,1.3140595980140117e-37,3.8483173941838914e-36
ESR1,PTGS1,0.589225555191719,0.589225555191719,6.8488104267508216e-37,1.9365601896329907e-35
BECN1,STAT3,0.5789360277161674,0.5789360277161674,2.1914056242540935e-35,5.989842039627855e-34
PPARD,RXRA,0.576836358925845,0.576836358925845,4.3786597719528234e-35,1.1582261332262308e-33
CXCR4,MMP2,0.5736799073671273,0.5736799073671273,1.2280155052899907e-34,3.146789732305601e-33
DUSP1,MMP2,0.5672507238453751,0.5672507238453751,9.696120085415396e-34,2.4093389303153405e-32
MMP9,PTGS1,0.5620508655783913,0.5620508655783913,4.990591231741477e-33,1.2036131794200032e-31
CXCR4,MMP9,0.5617924461292116,0.5617924461292116,5.4098785690385596e-33,1.2674572647461768e-31
PTGS1,SELE,0.5611871131306395,0.5611871131306395,6.533352611642423e-33,1.488152539318552e-31
F3,PTGER2,0.5560461842023651,0.5560461842023651,3.1942653220742405e-32,7.079182605678047e-31
RELA,STAT3,0.5554977485207575,0.5554977485207575,3.7774071145909873e-32,8.151246931485815e-31
BECN1,RELA,0.5491211867641138,0.5491211867641138,2.594641100777435e-31,5.455399237532043e-30
ESR1,MMP9,0.5468193958095441,0.5468193958095441,5.149772827399802e-31,1.0557034296169594e-29
CXCR4,PTGS1,0.5454767561833245,0.5454767561833245,7.662732553190352e-31,1.5325465106380706e-29
DUSP1,NR3C1,0.545221256718322,0.545221256718322,8.263042940485964e-31,1.6132607645710692e-29
DUSP1,TIMP2,0.5435009215576311,0.5435009215576311,1.3707764934657099e-30,2.6140388945160046e-29
NR3C1,STAT3,0.5423740919223007,0.5423740919223007,1.9066412337540797e-30,3.553285935632603e-29
PTGER2,PTGER4,0.5414685419101869,0.5414685419101869,2.483357632101114e-30,4.5252294629398076e-29
RXRA,SQSTM1,0.5364498780898208,0.5364498780898208,1.0588805401143452e-29,1.8875696584647022e-28
PTGES2,RXRA,0.5359918649450176,0.5359918649450176,1.2072590276419268e-29,2.1062817078008085e-28
MMP2,TIMP1,0.5321505907944719,0.5321505907944719,3.597912386424798e-29,6.146433660142364e-28
DUSP1,SELE,0.5308853875469058,0.5308853875469058,5.139615972967672e-29,8.600989995578552e-28
ESR1,SELE,0.5259938800057936,0.5259938800057936,2.0120173838736854e-28,3.299708509552844e-27
PTGER2,PTGS1,0.521776663035147,0.521776663035147,6.411467341792408e-28,1.0308633765234852e-26
NR1I2,PPARG,0.5190148413237443,0.5190148413237443,1.3576520292022564e-27,2.140912815280481e-26
CXCR4,DUSP1,0.5146692624719431,0.5146692624719431,4.359862269175649e-27,6.745447284384967e-26
STAT3,TIMP2,0.5113951186610088,0.5113951186610088,1.0386041228077866e-26,1.5771395938933054e-25
PTGER2,STAT3,0.510908881202686,0.510908881202686,1.1805581317235524e-26,1.7601048509332964e-25
SIRT1,STAT3,0.5071367321487623,0.5071367321487623,3.167322722626417e-26,4.637865415274396e-25
NR3C1,PTGS2,0.5048114062884389,0.5048114062884389,5.784410166090235e-26,8.321432168761391e-25
ESR1,STAT3,0.5046288206576017,0.5046288206576017,6.063349948032086e-26,8.572322340321225e-25
PTGER4,STAT3,0.4963228572381831,0.4963228572381831,5.014998886062727e-25,6.969998451815994e-24
PPARD,STAT3,0.49496979779220407,0.49496979779220407,7.03689375846773e-25,9.617088136572565e-24
PGR,PTGS1,0.4935074204386125,0.4935074204386125,1.0130760544070721e-24,1.3618399419898347e-23
F3,PTGS2,0.49306079959968896,0.49306079959968896,1.1319430975614512e-24,1.4970860322586933e-23
BECN1,SQSTM1,0.4911883664692934,0.4911883664692934,1.799114242726641e-24,2.3417042524378503e-23
PGR,SELE,0.49060183267669827,0.49060183267669827,2.078932049218105e-24,2.663631688060697e-23
MMP2,STAT3,0.4902615187504304,0.4902615187504304,2.2605360694068162e-24,2.851753195251676e-23
PPARA,RXRA,0.48845738756402657,0.48845738756402657,3.518441169077193e-24,4.371396604004997e-23
