dataset,cell_line,gene,parental_n,resistant_n,mean_parental,mean_resistant,delta_resistant_minus_parental,p_value,direction
GSE42387,LoVo,ETFDH,3,3,11.037576283333332,11.50098112,0.463404836666669,0.16007618847227753,up
GSE42387,LoVo,FABP6,3,3,8.280109006,7.727190370333333,-0.5529186356666669,0.3383081561715604,down
GSE42387,LoVo,HADHA,3,3,10.479932980000001,10.58154281,0.10160982999999923,0.6137555862510778,up
GSE42387,LoVo,HADHB,3,3,12.724029363333331,13.233848626666665,0.509819263333334,0.035504510400744205,up
GSE42387,LoVo,KLF5,3,3,13.94450654,13.465287863333332,-0.47921867666666884,0.25404955217551933,down
GSE42387,LoVo,PPARGC1A,3,3,6.599872772333334,6.608971922333333,0.009099149999999057,0.8615941785533454,up
GSE42387,LoVo,SLC22A5,3,3,10.541468413333334,10.74663328,0.20516486666666545,0.36351511098805905,up
GSE42387,LoVo,SLC25A20,3,3,8.388501052333334,8.595104607666668,0.2066035553333343,0.5537992476192439,up
GSE124808,HCT116_xenograft,ACADVL,1,2,16.194393612413638,15.878256917960694,-0.31613669445294335,,down
GSE124808,HCT116_xenograft,BBOX1,1,2,3.415445700101077,3.413112826170089,-0.002332873930988022,,down
GSE124808,HCT116_xenograft,CPT1A,1,2,11.555368058199903,11.280296818576705,-0.27507123962319824,,down
GSE124808,HCT116_xenograft,CPT1B,1,2,9.59975852635894,10.753271346055634,1.1535128196966937,,up
GSE124808,HCT116_xenograft,CPT2,1,2,11.13337033031375,11.3134356968824,0.18006536656865002,,up
GSE124808,HCT116_xenograft,ECHS1,1,2,14.112084302849464,13.872139612941673,-0.23994468990779083,,down
GSE124808,HCT116_xenograft,ETFA,1,2,11.766582677387653,11.96589760881486,0.1993149314272067,,up
GSE124808,HCT116_xenograft,ETFB,1,2,16.717956766666347,15.666603414661584,-1.0513533520047638,,down
GSE124808,HCT116_xenograft,ETFDH,1,2,11.759683227343848,11.85913780035338,0.09945457300953287,,up
GSE124808,HCT116_xenograft,FABP6,1,2,10.935921760554411,11.478363402667895,0.5424416421134843,,up
GSE124808,HCT116_xenograft,HADHA,1,2,12.682847794718404,12.304728379181826,-0.37811941553657746,,down
GSE124808,HCT116_xenograft,HADHB,1,2,12.90722136608077,13.047912380588262,0.14069101450749066,,up
GSE124808,HCT116_xenograft,KLF5,1,2,12.805233121305728,12.372814663889011,-0.43241845741671625,,down
GSE124808,HCT116_xenograft,PPARGC1A,1,2,3.507211634301706,4.298270895783498,0.7910592614817915,,up
GSE124808,HCT116_xenograft,SLC22A5,1,2,10.176609870458092,10.601482137777165,0.42487226731907235,,up
GSE124808,HCT116_xenograft,SLC25A20,1,2,10.047316745826794,9.957537564264602,-0.08977918156219289,,down
GSE119603,HCT116,ACADM,3,3,4.46362445326663,4.578758092452209,0.11513363918557928,0.28694194838611814,up
GSE119603,HCT116,ACADVL,3,3,7.700106434418469,7.647155135067717,-0.05295129935075238,0.28412760713719765,down
GSE119603,HCT116,BBOX1,3,3,0.0,0.0,0.0,,flat
GSE119603,HCT116,CPT1A,3,3,7.874869807911392,7.495470966283064,-0.37939884162832804,0.0006549174473091486,down
GSE119603,HCT116,CPT1B,3,3,2.8366934441059612,2.8666892781728115,0.029995834066850247,0.8291404598631382,up
GSE119603,HCT116,CPT2,3,3,4.465378750860325,4.944614054110935,0.4792353032506096,0.008203724429378051,up
GSE119603,HCT116,ECHS1,3,3,5.526718604507877,5.682909010091067,0.15619040558318975,0.06086474403116504,up
GSE119603,HCT116,ETFA,3,3,4.565699020563396,4.691807575024485,0.12610855446108893,0.2205518261216183,up
GSE119603,HCT116,ETFB,3,3,5.408243330098542,5.382107952974316,-0.02613537712422609,0.5963394699557485,down
GSE119603,HCT116,ETFDH,3,3,4.6274434564814095,4.249715564287963,-0.3777278921934464,0.0489861533217079,down
GSE119603,HCT116,FABP6,3,3,0.0,0.0,0.0,,flat
GSE119603,HCT116,HADHA,3,3,6.73935278959805,6.923300363361393,0.18394757376334248,0.059143315444525446,up
GSE119603,HCT116,HADHB,3,3,6.52406329659641,6.496503213040856,-0.027560083555553838,0.7190239697351418,down
GSE119603,HCT116,KLF5,3,3,6.862804524236282,5.826028901778421,-1.0367756224578608,3.7127462757114995e-05,down
GSE119603,HCT116,PPARGC1A,3,3,0.07187151274884206,0.0,-0.07187151274884206,0.42264973081037416,down
GSE119603,HCT116,SLC22A5,3,3,4.4812492693891075,4.491127447372848,0.009878177983740244,0.9260370928632023,up
GSE119603,HCT116,SLC25A20,3,3,3.5883134822133926,3.3500805432861545,-0.23823293892723818,0.16730835247774092,down
