rank_by_adjusted_OLS_FDR,gene_symbol,male_n,female_n,male_median,female_median,median_delta_male_minus_female,mann_whitney_U,mann_whitney_p,adjusted_n,adjusted_beta_male_minus_female,adjusted_se,adjusted_ci_low,adjusted_ci_high,adjusted_p_value,adjusted_status,BH_FDR_mann_whitney_81_genes,BH_FDR_adjusted_OLS_81_genes,direction
24,CPS1,205,172,-1.994,-1.7085,-0.2855000000000001,16777.0,0.4185081955276978,377,-0.27181058023029736,0.26422583171341385,-0.7896836941737297,0.24606253371313502,0.3036180599019884,ok,0.8851270581970455,0.9042757318713975,lower_in_male
25,NEAT1,205,172,7.254,7.1995000000000005,0.054499999999999105,18206.0,0.5850170258488737,377,0.11788701959024904,0.11927392404315437,-0.11588557582909957,0.35165961500959764,0.32297044297263466,ok,0.9260622745260745,0.9042757318713975,higher_in_male
26,CCL20,205,172,5.952,6.214499999999999,-0.2624999999999993,16470.5,0.27144824045823757,377,-0.16034860176461901,0.16455267740372756,-0.48286592303556297,0.16216871950632494,0.329832413958866,ok,0.8851270581970455,0.9042757318713975,lower_in_male
27,AHSG,205,172,-4.608,-5.012,0.4039999999999999,18702.5,0.30469635105210957,377,0.2757644982802455,0.2955084710993076,-0.30342146220089283,0.8549504587613839,0.3507237144723816,ok,0.8851270581970455,0.9042757318713975,higher_in_male
28,PTGS1,205,172,1.919,2.0585,-0.13949999999999996,16618.0,0.3371662234730296,377,-0.12761973231643486,0.13812367728009564,-0.39833716519765566,0.14309770056478593,0.35551098917118673,ok,0.8851270581970455,0.9042757318713975,lower_in_male
29,PLAC8,205,172,5.34,5.568,-0.22799999999999976,16894.0,0.485246403871221,377,-0.18811083819351027,0.2088792914711289,-0.5975067265931674,0.22128505020614686,0.3678159353800523,ok,0.8851270581970455,0.9042757318713975,lower_in_male
30,PTGER3,205,172,-0.1665,0.051000000000000004,-0.21750000000000003,16479.5,0.27517900788231897,377,-0.17441485718558392,0.19824218815844405,-0.5629624061925471,0.21413269182137923,0.37896389283764076,ok,0.8851270581970455,0.9042757318713975,lower_in_male
31,SNHG25,205,172,1.202,1.158,0.04400000000000004,17681.5,0.9614030701993153,377,-0.20855599671003444,0.23945586831117854,-0.6778808744867104,0.26076888106664153,0.38377710304183965,ok,0.9734206085768067,0.9042757318713975,lower_in_male
32,SNORA13,205,172,-9.966,-9.966,0.0,18024.0,0.3363958125382184,377,0.28791102138477853,0.3329384466686576,-0.3646363431544999,0.940458385924057,0.38717189809445396,ok,0.8851270581970455,0.9042757318713975,higher_in_male
33,PLA2G4A,205,172,0.8246,1.029,-0.20439999999999992,16816.5,0.4404506422164848,377,-0.18404060864363672,0.2133457719246298,-0.6021906378698078,0.23410942058253428,0.38833539980534504,ok,0.8851270581970455,0.9042757318713975,lower_in_male
34,AKR1C1,205,172,1.501,1.621,-0.1200000000000001,16423.5,0.25248462103190095,377,-0.12363417451772116,0.14576444724139012,-0.40932724133723464,0.1620588923017923,0.39633893456645375,ok,0.8851270581970455,0.9042757318713975,lower_in_male
35,ATF4,205,172,8.246,8.1965,0.0495000000000001,18297.0,0.5271135100599801,377,0.04458299685957717,0.056371350890194606,-0.06590282064507418,0.15506881436422854,0.42901378359802167,ok,0.8851270581970455,0.9042757318713975,higher_in_male
36,RELA,205,172,5.665,5.6315,0.033500000000000085,18727.5,0.2979190439437047,377,0.04377299237326091,0.056186785511229735,-0.06635108363582629,0.15389706838234812,0.435943163165181,ok,0.8851270581970455,0.9042757318713975,higher_in_male
37,PARP10,205,172,4.731,4.616,0.11500000000000021,18667.0,0.3253618006024277,377,0.0605225063556152,0.07822027757971128,-0.09278642056134478,0.2138314332725752,0.4390819230949008,ok,0.8851270581970455,0.9042757318713975,higher_in_male
38,CRP,205,172,-9.966,-9.966,0.0,17007.0,0.49981353905469994,377,-0.24106222521309922,0.3155361653183066,-0.8595017450568565,0.3773772946306581,0.44488122807264063,ok,0.8851270581970455,0.9042757318713975,lower_in_male
39,DPT,205,172,1.043,1.7045,-0.6615,16627.5,0.34172165481563255,377,-0.18345886047554966,0.24083828854529168,-0.6554932321225868,0.2885755111714875,0.4462084981515455,ok,0.8851270581970455,0.9042757318713975,lower_in_male
40,TNC,205,172,4.085,4.324,-0.23899999999999988,16899.5,0.4885162296770068,377,-0.14317324659787684,0.19574166655858696,-0.5268198633265556,0.24047337013080194,0.4645105589477537,ok,0.8851270581970455,0.9042757318713975,lower_in_male
41,MAP1LC3B,205,172,5.304,5.2635,0.04050000000000065,17900.0,0.798167470209356,377,0.04128069388365427,0.05672790916806615,-0.06990396500401493,0.15246535277132345,0.4667994696445964,ok,0.9734206085768067,0.9042757318713975,higher_in_male
42,PTGER4,205,172,2.751,2.7279999999999998,0.02300000000000013,17275.5,0.7369473900847247,377,-0.07695545835202643,0.107562796817866,-0.2877746661914433,0.13386374948739044,0.47433300528974665,ok,0.9734206085768067,0.9042757318713975,lower_in_male
43,NR1I3,205,172,-1.831,-2.053,0.22199999999999998,19287.0,0.11591342670077072,377,-0.13683716165694604,0.19375832066920312,-0.5165964918735468,0.24292216855965482,0.48004761074654434,ok,0.8851270581970455,0.9042757318713975,lower_in_male
44,AKR1C3,205,172,5.914,5.8469999999999995,0.06700000000000017,18450.5,0.43652870703188096,377,0.09386929863915015,0.14261390200359905,-0.18564881298262864,0.373387410260929,0.5104058930726547,ok,0.8851270581970455,0.9230319463189456,higher_in_male
45,FLG,205,172,-5.574,-5.574,0.0,18278.0,0.5321085169812454,377,0.16567369522955044,0.25868233545010644,-0.34133436568936704,0.6726817561484679,0.5218785943429349,ok,0.8851270581970455,0.9230319463189456,higher_in_male
46,C4BPA,205,172,0.7146,0.8759,-0.1613,16953.5,0.5212368155197673,377,-0.15081600119635113,0.23691936932248944,-0.6151694323083742,0.3135374299156719,0.5244043162430545,ok,0.8851270581970455,0.9230319463189456,lower_in_male
47,OMD,205,172,-2.635,-2.315,-0.31999999999999984,16962.0,0.5260242441876959,377,-0.20534115298340014,0.3441740464058683,-0.8799098883523192,0.46922758238551887,0.5507610503613961,ok,0.8851270581970455,0.9230319463189456,lower_in_male
48,PTGER1,205,172,-2.826,-2.826,0.0,17286.5,0.7447198077041599,377,-0.13493339315088937,0.22632899122540548,-0.578530064609966,0.3086632783081873,0.5510532875250957,ok,0.9734206085768067,0.9230319463189456,lower_in_male
49,DUSP1,205,172,5.454,5.3260000000000005,0.12799999999999923,18381.5,0.4760953387343769,377,0.07541707791236672,0.13192123214292747,-0.18314378588391883,0.3339779417086523,0.5675369992791369,ok,0.8851270581970455,0.9230319463189456,higher_in_male
50,CXCL13,205,172,1.633,1.476,0.15700000000000003,18174.0,0.6060565890819187,377,0.14909512486914892,0.2685959831458672,-0.3773433284888782,0.675533578227176,0.5788326425353116,ok,0.9262374285968947,0.9230319463189456,higher_in_male
