source,background,term_id,term_name,adjusted_p,intersection_size,intersection_genes,go_ancestor_count,theme_id,theme_label,status,representative_term_id,fold_similarity,folded_term_count
GO:BP,gelsemium_crc1893,GO:0008610,lipid biosynthetic process,9.58689316450666e-05,12,AKR1C3;BECN1;CYP1A2;CYP2C9;CYP3A4;NR3C1;PPARA;PPARD;PTGES2;PTGS1;PTGS2;SIRT1,6,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0008610,,0
GO:BP,gelsemium_crc1893,GO:0009056,catabolic process,0.0011132724685663231,20,AKR1C3;ATG5;BECN1;CYP1A2;CYP2C9;CYP3A4;HPGD;HSPA1A;MMP2;MMP9;NEAT1;NR1I2;PPARA;PPARD;RELA;SIRT1;SQSTM1;STAT3;TIMP1;TIMP2,3,general_metabolism,General metabolism / biosynthesis,retained_representative,GO:0009056,,0
GO:BP,gelsemium_crc1893,GO:0009267,cellular response to starvation,0.04181287791096554,5,AKR1C3;ATG5;BECN1;PPARA;SIRT1,9,other,Other / mixed biological processes,retained_representative,GO:0009267,,2
GO:BP,gelsemium_crc1893,GO:0009410,response to xenobiotic stimulus,0.035359694292155186,9,ATG5;BECN1;CA9;CYP1A2;CYP2C9;CYP3A4;MMP2;NR1I2;PPARG,3,chemical_xenobiotic_stress,Chemical / xenobiotic / oxygen-stress response,retained_representative,GO:0009410,,0
GO:BP,gelsemium_crc1893,GO:0009719,response to endogenous stimulus,0.006017100367402082,21,AKR1C3;BECN1;DKK1;ESR1;HPGD;HSPA1A;IGFBP1;MMP2;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER2;PTGER4;RELA;RXRA;SIRT1;STAT3;TIMP1;TIMP2,2,inflammation_immune,Inflammation / immune / stimulus response,retained_representative,GO:0009719,,0
GO:BP,gelsemium_crc1893,GO:0009820,alkaloid metabolic process,0.039231209706835315,2,CYP1A2;CYP3A4,3,general_metabolism,General metabolism / biosynthesis,retained_representative,GO:0009820,,0
GO:BP,gelsemium_crc1893,GO:0009893,positive regulation of metabolic process,0.043222159469707436,25,AKR1C3;ATG5;BECN1;CRP;DKK1;ESR1;F3;HSPA1A;IL1A;MMP9;NEAT1;NR1I2;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER4;PTGES2;PTGS2;RELA;RXRA;SIRT1;SQSTM1;STAT3,7,general_metabolism,General metabolism / biosynthesis,retained_representative,GO:0009893,,1
GO:BP,gelsemium_crc1893,GO:0009894,regulation of catabolic process,0.024626084364793258,12,ATG5;BECN1;HPGD;HSPA1A;NEAT1;PPARA;RELA;SIRT1;SQSTM1;STAT3;TIMP1;TIMP2,5,general_metabolism,General metabolism / biosynthesis,retained_representative,GO:0009894,,0
GO:BP,gelsemium_crc1893,GO:0010040,response to iron(II) ion,0.039231209706835315,2,ATG5;BECN1,5,other,Other / mixed biological processes,retained_representative,GO:0010040,,0
GO:BP,gelsemium_crc1893,GO:0010573,vascular endothelial growth factor production,0.015548014345796647,4,IL1A;PTGS2;RELA;STAT3,9,other,Other / mixed biological processes,retained_representative,GO:0010573,,0
GO:BP,gelsemium_crc1893,GO:0010575,positive regulation of vascular endothelial growth factor production,0.011842662689889519,4,IL1A;PTGS2;RELA;STAT3,21,other,Other / mixed biological processes,retained_representative,GO:0010575,,1
GO:BP,gelsemium_crc1893,GO:0010745,negative regulation of macrophage derived foam cell differentiation,0.015548014345796647,3,CRP;PPARA;PPARG,11,other,Other / mixed biological processes,retained_representative,GO:0010745,,0
GO:BP,gelsemium_crc1893,GO:0010875,positive regulation of cholesterol efflux,0.030721322189299696,3,PPARG;RXRA;SIRT1,16,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0010875,,3
GO:BP,gelsemium_crc1893,GO:0010876,lipid localization,0.027445449272400554,7,CRP;PPARA;PPARD;PPARG;PTGS2;RXRA;SIRT1,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0010876,,0
GO:BP,gelsemium_crc1893,GO:0010878,cholesterol storage,0.011842662689889519,3,PPARA;PPARD;PPARG,4,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0010878,,2
GO:BP,gelsemium_crc1893,GO:0010887,negative regulation of cholesterol storage,0.003754025097632429,3,PPARA;PPARD;PPARG,12,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0010887,,5
GO:BP,gelsemium_crc1893,GO:0015908,fatty acid transport,0.036361625012118495,4,PPARA;PPARD;PPARG;PTGS2,8,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0015908,,0
GO:BP,gelsemium_crc1893,GO:0016042,lipid catabolic process,0.006017100367402082,6,AKR1C3;CYP1A2;CYP3A4;HPGD;PPARA;PPARD,6,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0016042,,0
GO:BP,gelsemium_crc1893,GO:0016053,organic acid biosynthetic process,0.00011860089717703042,8,AKR1C3;CYP1A2;CYP2C9;CYP3A4;PTGES2;PTGS1;PTGS2;SIRT1,3,general_metabolism,General metabolism / biosynthesis,retained_representative,GO:0016053,,0
GO:BP,gelsemium_crc1893,GO:0016098,monoterpenoid metabolic process,0.003754025097632429,3,CYP1A2;CYP2C9;CYP3A4,7,general_metabolism,General metabolism / biosynthesis,retained_representative,GO:0016098,,2
GO:BP,gelsemium_crc1893,GO:0019216,regulation of lipid metabolic process,0.0051113692895886085,8,AKR1C3;HPGD;NR3C1;PPARA;PPARD;PPARG;PTGS2;SIRT1,6,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0019216,,0
GO:BP,gelsemium_crc1893,GO:0019371,cyclooxygenase pathway,0.011842662689889519,2,PTGS1;PTGS2,15,chemical_xenobiotic_stress,Chemical / xenobiotic / oxygen-stress response,retained_representative,GO:0019371,,1
GO:BP,gelsemium_crc1893,GO:0019395,fatty acid oxidation,0.04741010796641716,3,PPARA;PPARD;PPARG,12,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0019395,,1
GO:BP,gelsemium_crc1893,GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway,0.015548014345796647,4,HSPA1A;PPARA;PPARG;SIRT1,19,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:0030512,,1
GO:BP,gelsemium_crc1893,GO:0030518,nuclear receptor-mediated steroid hormone signaling pathway,0.001314956026631999,7,ESR1;NR3C1;PGR;PPARA;PPARD;RXRA;SIRT1,11,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:0030518,,4
GO:BP,gelsemium_crc1893,GO:0031392,regulation of prostaglandin biosynthetic process,0.024626084364793258,2,PTGS2;SIRT1,14,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0031392,,1
GO:BP,gelsemium_crc1893,GO:0031397,negative regulation of protein ubiquitination,0.030721322189299696,3,ATG5;HSPA1A;SQSTM1,20,other,Other / mixed biological processes,retained_representative,GO:0031397,,3
GO:BP,gelsemium_crc1893,GO:0032637,interleukin-8 production,0.039231209706835315,5,CRP;F3;HSPA1A;RELA;STAT3,9,inflammation_immune,Inflammation / immune / stimulus response,retained_representative,GO:0032637,,0
GO:BP,gelsemium_crc1893,GO:0032677,regulation of interleukin-8 production,0.039231209706835315,5,CRP;F3;HSPA1A;RELA;STAT3,11,inflammation_immune,Inflammation / immune / stimulus response,retained_representative,GO:0032677,,0
GO:BP,gelsemium_crc1893,GO:0033210,leptin-mediated signaling pathway,0.039231209706835315,2,SIRT1;STAT3,8,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:0033210,,0
GO:BP,gelsemium_crc1893,GO:0033993,response to lipid,6.0080526634039634e-05,21,AKR1C3;CA9;DKK1;ESR1;HPGD;HSPA1A;IL1A;MMP2;MMP9;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER2;PTGER4;RELA;RXRA;SELE;SIRT1;STAT3,3,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,retained_representative,GO:0033993,,1
GO:BP,gelsemium_crc1893,GO:0035357,peroxisome proliferator activated receptor signaling pathway,0.002079472637512425,4,PPARA;PPARG;RXRA;SIRT1,9,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:0035357,,0
GO:BP,gelsemium_crc1893,GO:0035556,intracellular signal transduction,0.0051113692895886085,26,AKR1C3;BECN1;CCL20;CXCR4;DKK1;DUSP1;ESR1;F3;HSPA1A;IL1A;MMP2;MMP9;NR1I2;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER4;PTGS2;RELA;RXRA;SELE;SIRT1;SQSTM1;STAT3,6,signaling_receptor,Signaling / receptor / hormone response,retained_representative,GO:0035556,,1
GO:BP,gelsemium_crc1893,GO:0035973,aggrephagy,0.024626084364793258,2,ATG5;SQSTM1,7,other,Other / mixed biological processes,retained_representative,GO:0035973,,0
