chemical_id,canonical_name,CAS,PubChemCID,DTXSID,InChIKey,chemical_class,classification_rule_prefixes,eligible_as_environmental_exposure,drug_like_exclusion,drugcentral_match,pah_formula,pah_structure_valid,classification_exclusion_reason
C561431,dipotassium trioxohydroxytetrafluorotriborate,,CID:166436466,,,,,False,False,False,,False,
C470516,(DIPP-L-Leu)2-L-Lys-OCH3,,,,,,,False,False,False,,False,
C047546,diprafenone,81447-80-5,,DTXSID10868613,VDKMYSMWQCFYBQ-UHFFFAOYSA-N,,,False,False,True,,False,drugcentral_cas_or_inn
D004174,Diprenorphine,14357-78-9,,DTXSID00903941,OIJXLIIMXHRJJH-KNLIIKEYSA-N,,,False,True,False,,False,drug_semantic_regex
C464424,Diprim,,,,,,,False,False,False,,False,
C000622165,Diprobase,,,,,,,False,False,False,,False,
C045947,diprobutine,61822-36-4,,,,,,False,False,False,,False,
C041316,diproform,93281-21-1,,,,,,False,False,False,,False,
C507575,diprop-1-enyl sulfide,,,,,,,False,False,False,,False,
C010449,dipropetryn,4147-51-7,,,,,,False,False,False,,False,
C055922,diprophyllinyl-4-benzyloxybenzoate,118421-49-1,,,,,,False,False,False,,False,
C035916,dipropizine,17692-31-8,,DTXSID0045624,PTVWPYVOOKLBCG-UHFFFAOYSA-N,,,False,False,True,,False,drugcentral_cas_or_inn
C504748,dipropofol,,,,,,,False,False,False,,False,
C507303,dipropoxyubiquinone,,,,,,,False,False,False,,False,
C405048,dipropyl(4-trimethylsilylethynylcyclohex-3-enyl)amine,,,,,,,False,False,False,,False,
C004651,dipropylacetamide,,,,,,,False,False,False,,False,
C000614364,dipropylaminopretadalafil,,,,,,,False,False,False,,False,
C516483,dipropyl dithiophosphate,,,,,,,False,False,False,,False,
C114512,dipropylene glycol diacrylate,,,,,,,False,False,False,,False,
C042175,dipropylene glycol monomethyl ether,34590-94-8,,,,,,False,False,False,,False,
C547918,dipropylene glycol monomethyl ether acetate,,,,,,,False,False,False,,False,
C000591723,dipropylenetriame,,,,,,,False,False,False,,False,
C453079,dipropylenetriamine-NONOate,,CID:135453291,,,,,False,False,False,,False,
C038263,dipropylglycine,2566-31-6,,,,,,False,False,False,,False,
C087894,dipropyl sulfide,111-47-7,CID:8118,DTXSID3021934,ZERULLAPCVRMCO-UHFFFAOYSA-N,,,False,False,False,,False,
C099075,dipropyl sulfone,598-03-8,,,,,,False,False,False,,False,
C077278,dipropyl sulfoxide,4253-91-2,,,,,,False,False,False,,False,
C560444,dipropyl tetrasulfide,,,,,,,False,False,False,,False,
C007528,dipropyltryptamine,61-52-9,,,,,,False,False,False,,False,
C009872,diprosine,,,,,,,False,False,False,,False,
C017260,diprosone Depot,76391-71-4,,,,,,False,False,False,,False,
C049847,diproteverine,69373-95-1,,,,,,False,False,False,,False,
C041445,diprotin A,90614-48-5,,,,,,False,False,False,,False,
C041446,diprotin B,90614-49-6,,,,,,False,False,False,,False,
C000705367,diprovocim,,,,,,,False,False,False,,False,
C078439,diproxamine,39289-02-6,,,,,,False,False,False,,False,
C083461,dipsacoside B,33289-85-9,,,,,,False,False,False,,False,
C085393,dipsacus saponin B,152406-42-3,,,,,,False,False,False,,False,
C085394,dipsacus saponin C,152406-43-4,,,,,,False,False,False,,False,
C561958,dipsacus saponin J,,,,,,,False,False,False,,False,
C561959,dipsacus saponin K,,,,,,,False,False,False,,False,
C517107,dipsanoside A,,,,,,,False,False,False,,False,
C517108,dipsanoside B,,,,,,,False,False,False,,False,
C477991,dipteryxic acid,,,,,,,False,False,False,,False,
C468388,diptoindonesin A,,,,,,,False,False,False,,False,
C516745,diptoindonesin E,,,,,,,False,False,False,,False,
C543798,diptoindonesin G,,,,,,,False,False,False,,False,
C422602,di-p-toluoyltartaric acid,,,,,,,False,False,False,,False,
C000606016,di(p-tolyl)ether,,,,,,,False,False,False,,False,
C004861,dipyrandium,33235-64-2,,,,,,False,False,False,,False,
C049261,dipyrenylcystine N-hydroxysulfosuccinimidyl monoester,100839-37-0,,,,,,False,False,False,,False,
D004176,Dipyridamole,58-32-2,CID:3108,DTXSID6040668,IZEKFCXSFNUWAM-UHFFFAOYSA-N,,,False,False,True,,False,drugcentral_cas_or_inn
C048992,dipyridamole monoacetate,103638-43-3,,,,,,False,False,False,,False,
C530511,"dipyridamole, prednisolone drug combination",,,,,,,False,False,False,,False,
C557000,dipyridin-2-ylamine,,,,,,,False,False,False,,False,
C506107,"dipyrido(1,2-a-3',2'-d)imidazole",,,,,,,False,False,False,,False,
C509720,"dipyrido(2,3-a-3',2'-c)-6,7-dimethylphenazine",,,,,,,False,False,False,,False,
C443808,"dipyrido(3,2-a-2',3'-c)phenazine",,,,,,,False,False,False,,False,
C000606651,"dipyrido(3,2-a-2',3'-c)phenazine-10,11-imidazole",,,,,,,False,False,False,,False,
C583561,"(dipyrido(3,2-a:2',3'-c)phenazine)(glycinato)copper(II)",,,,,,,False,False,False,,False,
C520128,"(dipyrido-(3,2-a-2',3'-c)thien(3,4-c)azine)bis(1,10-phenanthroline)cobalt(III)",,,,,,,False,False,False,,False,
C460959,dipyridoquinoxaline copper(II) complex,,,,,,,False,False,False,,False,
C518758,dipyridyl magnesium tetrabenzoporphyrin,,,,,,,False,False,False,,False,
C025762,dipyridyl phosphate,21000-42-0,,,,,,False,False,False,,False,
C000729535,dipyrimicin A,,,,,,,False,False,False,,False,
C000729536,dipyrimicin B,,,,,,,False,False,False,,False,
C032196,dipyrithione,3696-28-4,,,,,,False,False,True,,False,drugcentral_cas_or_inn
D004177,Dipyrone,,,,,,,False,True,False,,False,drug_semantic_regex
C000720287,dipyrrolidinethiuram disulfide,,,,,,,False,False,False,,False,
C512323,"dipyrrolo(3,4-a:3,4-c)carbazole-1,3,4,6-tetraone",,,,,,,False,False,False,,False,
C512015,dipyrromethane,,,,,,,False,False,False,,False,
C056776,dipyrromethane cofactor,29261-13-0,,,,,,False,False,False,,False,
C507544,dipyrromethene,,,,,,,False,False,False,,False,
C483721,dipyruvyl-acetyl-glycerol,,,,,,,False,False,False,,False,
C403315,diquafosol,,,,,,,False,False,True,,False,drugcentral_cas_or_inn
D004178,Diquat,2764-72-9,,DTXSID6034554,SYJFEGQWDCRVNX-UHFFFAOYSA-N,,,False,False,False,,False,
C473100,diquertin,,,,,,,False,False,False,,False,
C049357,direct black 19,6428-31-5,,,,,,False,False,False,,False,
C450561,direct black 22,,,,,,,False,False,False,,False,
