time_ps,core_rmsd_vs_40ns_after_protein_fit_A,core_internal_rmsd_vs_40ns_A,branch1_rmsd_vs_40ns_after_core_fit_A,branch2_rmsd_vs_40ns_after_core_fit_A,com_drift_vs_40ns_A,com_displacement_vs_minimized_A,pair_retention_vs_40ns,pocket_residue_fraction_vs_40ns,nearest_distance_to_40ns_pocket_A,pair_retention_vs_minimized,pocket_residue_fraction_vs_minimized,nearest_distance_to_minimized_pocket_A
6.300000018782856205e+04,1.568734377842150085e+00,4.915269455962857637e-02,9.194494135931804424e-01,1.715406776096297214e+00,1.203451732717501610e+00,1.025172372690852818e+00,5.714285714285713969e-01,8.333333333333333703e-01,3.505611886745381600e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.505611886745381600e+00
6.301000018785837165e+04,1.850539367513164279e+00,7.282796910025425563e-02,1.260016699541832264e+00,1.578913724175628586e+00,1.478921722299011865e+00,1.277374795689583564e+00,3.333333333333333148e-01,8.333333333333333703e-01,3.778598134433402755e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.567208864221569353e+00
6.302000018788818852e+04,1.365232084276676527e+00,6.587584764630513567e-02,7.793834978411611214e-01,1.413160457075852916e+00,1.260767050585961391e+00,1.082278505423771575e+00,3.333333333333333148e-01,8.333333333333333703e-01,3.345274658760282183e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.345274658760282183e+00
6.303000018791799812e+04,1.316385588129928230e+00,4.234042661616936598e-02,5.020532588363890714e-01,2.036830952159821351e+00,8.694941248759193719e-01,5.930182727666614140e-01,3.809523809523809312e-01,8.333333333333333703e-01,3.783054620602481766e+00,0.000000000000000000e+00,1.666666666666666574e-01,4.340368825862830349e+00
6.304000018794781499e+04,1.117481265066509577e+00,6.514755470421432215e-02,8.967623759750708023e-01,1.805646879911494418e+00,9.916878961450479313e-01,7.128200153692592078e-01,4.761904761904761640e-01,8.333333333333333703e-01,3.617912189933237155e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.703355279503235398e+00
6.305000018797763187e+04,1.343103583257346356e+00,4.677820916256974354e-02,1.427160679371208607e+00,1.392298780186640883e+00,1.003112803277730336e+00,8.631289848917836904e-01,5.714285714285713969e-01,8.333333333333333703e-01,3.438798991545625849e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.653585149006695953e+00
6.306000018800744147e+04,1.324366650934067025e+00,5.202008112876085888e-02,7.851791368581292341e-01,2.017300180083522854e+00,1.105346778127188179e+00,9.426020578172897846e-01,3.333333333333333148e-01,1.000000000000000000e+00,3.815820578474530933e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.815820578474530933e+00
6.307000018803725834e+04,1.342596660664265862e+00,6.111101664185917409e-02,1.030081589872064551e+00,1.752454727405990287e+00,8.570170281925150180e-01,7.064036248235241455e-01,4.761904761904761640e-01,1.000000000000000000e+00,3.844651963266545902e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.844651963266545902e+00
6.308000018806706794e+04,1.363587182590886071e+00,3.775823704061651021e-02,1.428658760615152401e+00,1.499172654136767813e+00,9.868717317289450452e-01,7.886667193427980838e-01,6.190476190476190688e-01,8.333333333333333703e-01,3.747299143655661524e+00,8.333333333333332871e-02,3.333333333333333148e-01,3.806211834773166824e+00
6.309000018809688481e+04,1.299552911599514582e+00,5.089653469027487220e-02,7.081753487032850236e-01,1.689231812798543064e+00,9.799657137649639971e-01,7.467572343289382575e-01,6.190476190476190688e-01,8.333333333333333703e-01,3.757858955564477021e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.944386170657169899e+00
6.310000018812670169e+04,1.524678287201774340e+00,7.495238970455285477e-02,1.119149879279956350e+00,1.448202140473276778e+00,1.272917014498152977e+00,1.085774714508338956e+00,6.666666666666666297e-01,8.333333333333333703e-01,3.419544038752740267e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.419544038752740267e+00
6.311000018815651129e+04,1.675697198416623790e+00,5.847030635909929858e-02,8.803813289180850710e-01,1.959287831988153705e+00,1.368375203583920285e+00,1.190925501348903959e+00,3.809523809523809312e-01,8.333333333333333703e-01,3.491835935938365054e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.491835935938365054e+00
6.312000018818632816e+04,1.243198523482913043e+00,5.355513660905924372e-02,7.997712275819104377e-01,1.094737426714580630e+00,8.243671553605387281e-01,6.855228459236666350e-01,3.333333333333333148e-01,8.333333333333333703e-01,3.834369755164138471e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.624794135347400470e+00
6.313000018821614503e+04,1.262059234568984500e+00,4.915725615638402018e-02,3.433629031529888964e-01,1.525901610064408276e+00,1.096254098373690145e+00,9.703876176991497182e-01,4.761904761904761640e-01,1.000000000000000000e+00,3.298289358058234644e+00,0.000000000000000000e+00,1.666666666666666574e-01,4.029866067787729378e+00
6.314000018824595463e+04,1.041052634807549948e+00,4.565223205320773775e-02,1.171049272651427886e+00,1.204731212514990046e+00,8.544588368486391028e-01,6.922536545112288886e-01,6.666666666666666297e-01,8.333333333333333703e-01,3.280687573158764359e+00,0.000000000000000000e+00,1.666666666666666574e-01,4.093349634769062995e+00
6.315000018827577151e+04,1.319926857119851027e+00,5.768181154988192422e-02,1.358196487061352764e+00,2.531615543310736793e+00,4.380566008498802955e-01,4.879231321928965137e-01,4.761904761904761640e-01,1.000000000000000000e+00,3.594397264165754446e+00,0.000000000000000000e+00,1.666666666666666574e-01,4.401541340910315903e+00
6.316000018830558110e+04,1.537832763756966870e+00,4.835057486614610656e-02,5.785342153088907091e-01,9.883561771830842169e-01,3.875111053749823453e-01,1.514770137329325694e-01,5.714285714285713969e-01,8.333333333333333703e-01,3.504074940239575220e+00,1.250000000000000000e-01,3.333333333333333148e-01,3.580827102514922533e+00
6.317000018833539798e+04,1.371978928628981631e+00,5.564434057187555432e-02,1.289310592216253770e+00,1.730314130057806432e+00,5.128719785834257028e-01,4.834367758300702755e-01,5.714285714285713969e-01,8.333333333333333703e-01,3.789997531030794509e+00,8.333333333333332871e-02,3.333333333333333148e-01,3.789997531030794509e+00
6.318000018836521485e+04,1.595848601770605946e+00,4.131287036754736908e-02,7.603617612446688101e-01,1.290957187812967311e+00,6.307378438044717317e-01,3.342534019531200329e-01,5.238095238095238360e-01,6.666666666666666297e-01,3.728407042334642263e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.769606857892695118e+00
6.319000018839502445e+04,1.472572187346543160e+00,8.631659115469125787e-02,1.677107736319117581e+00,2.948664994014458696e+00,2.009209249995890512e-01,3.561738776745833612e-01,4.285714285714285476e-01,6.666666666666666297e-01,3.726109242959770196e+00,8.333333333333332871e-02,3.333333333333333148e-01,4.066259455653144173e+00
6.320000018842484133e+04,1.631482562086949306e+00,8.178055264626300780e-02,1.996436838861375795e+00,3.141064589815833585e+00,5.520030987272620537e-01,4.848956556339136248e-01,6.190476190476190688e-01,6.666666666666666297e-01,3.414557308854337503e+00,8.333333333333332871e-02,3.333333333333333148e-01,3.366110115544198145e+00
6.321000018845465092e+04,9.381745043758908942e-01,5.632440274826750609e-02,7.165395040032748186e-01,1.500494446106482194e+00,4.765678299189862188e-01,5.927896485541259697e-01,5.714285714285713969e-01,8.333333333333333703e-01,3.718801810774919225e+00,4.166666666666666435e-02,3.333333333333333148e-01,4.021953273832283848e+00
6.322000018848446780e+04,9.618984175346048104e-01,6.505679325848015560e-02,1.585374360426186957e+00,2.926196704571372376e+00,3.559225157840033016e-01,2.375785265682542613e-01,5.714285714285713969e-01,1.000000000000000000e+00,3.818415074025793388e+00,8.333333333333332871e-02,3.333333333333333148e-01,3.873137580927977996e+00
6.323000018851428467e+04,1.235919741632867552e+00,6.732577072701625975e-02,6.663378307148211110e-01,1.602925145439864751e+00,5.629540760944381494e-01,6.628288407096749602e-01,6.190476190476190688e-01,1.000000000000000000e+00,3.734199029855801211e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.517506050302321885e+00
6.324000018854409427e+04,1.207310490272568426e+00,8.642093536271265586e-02,1.471807340222083038e+00,2.024366574887601189e+00,3.478356290179382970e-01,4.677009601006320016e-01,5.714285714285713969e-01,1.000000000000000000e+00,3.659046625411423559e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.701008458232350584e+00
6.325000018857391115e+04,9.976446643803283942e-01,4.949005938978793401e-02,6.097473845151960559e-01,9.380224735177362660e-01,2.938900058432308282e-01,3.135900591203817922e-01,4.761904761904761640e-01,1.000000000000000000e+00,3.745198638773685751e+00,8.333333333333332871e-02,3.333333333333333148e-01,3.865246545347640783e+00
6.326000018860372802e+04,1.373265679792393001e+00,4.892257891862756419e-02,7.549374345287709343e-01,9.800041606612486245e-01,3.656957486022777148e-01,2.737336952810797697e-01,4.761904761904761640e-01,8.333333333333333703e-01,3.691306499409829911e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.791232543912818276e+00
6.327000018863353762e+04,9.653351662943450151e-01,6.131546897333409185e-02,8.894654600641274111e-01,1.331834134743822284e+00,2.631124367665774733e-01,3.588263429435681329e-01,6.666666666666666297e-01,1.000000000000000000e+00,3.280776477291963200e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.280776477291963200e+00
6.328000018866335449e+04,1.068296501379583763e+00,4.288533454699147013e-02,6.375971562856571628e-01,1.434964595211021710e+00,5.028447967153775178e-01,4.645110468429829997e-01,4.285714285714285476e-01,1.000000000000000000e+00,3.198390289571059419e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.883479809701781083e+00
6.329000018869316409e+04,1.057719631113172909e+00,8.320984591620445014e-02,5.437782942135899189e-01,1.592839654314985420e+00,7.762810801825552609e-01,7.227203601595203475e-01,6.190476190476190688e-01,1.000000000000000000e+00,3.744561277395054510e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.744561277395054510e+00
6.330000018872298097e+04,9.403053570870338884e-01,5.747130012063041138e-02,1.761950498855177960e+00,1.256351810681826997e+00,5.654038481554689577e-01,4.925924639055162535e-01,3.809523809523809312e-01,1.000000000000000000e+00,3.430217838895954774e+00,8.333333333333332871e-02,3.333333333333333148e-01,3.430217838895954774e+00
6.331000018875279784e+04,8.928030260066849300e-01,4.620974369924198133e-02,9.045411274923943479e-01,1.395248366952888119e+00,5.980662337875728429e-01,4.643621823436874241e-01,6.190476190476190688e-01,8.333333333333333703e-01,3.631866098308631052e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.606636476374159628e+00
