time_ps,protein_ca_rmsd_A,ligand_rmsd_A,ligand_com_displacement_A
1.540000004591364814e+03,1.230637678664072254e+00,3.490603215886344035e+00,1.510970961759426689e+00
1.550000004621178732e+03,1.204919007207521320e+00,3.674190357296887477e+00,1.476600159322559502e+00
1.560000004650992878e+03,1.185557783110889885e+00,3.419782736808380630e+00,1.452961971323046164e+00
1.570000004680807024e+03,1.235925085373958066e+00,3.586629815137878374e+00,1.599372051691829943e+00
1.580000004710620942e+03,1.279398200999497748e+00,3.704369327714235993e+00,1.630665764325135658e+00
1.590000004740435088e+03,1.300081841815567962e+00,3.896721702455827607e+00,2.147919512496682337e+00
1.600000004770249234e+03,1.316313573060861497e+00,3.909319275329131482e+00,2.180207080420737409e+00
1.610000004800063152e+03,1.333852880055499401e+00,3.692888829572303688e+00,1.639755903505487167e+00
1.620000004829877298e+03,1.335186487481280437e+00,3.640070310770073370e+00,1.608418568770583423e+00
1.630000004859691217e+03,1.280770295128253800e+00,3.868899952887983495e+00,1.979225007753396159e+00
1.640000004889505362e+03,1.315441952854728092e+00,3.932133566503539956e+00,1.851042206453620720e+00
1.650000004919319508e+03,1.333431981883413053e+00,3.948310571217515719e+00,1.919236876206771525e+00
1.660000004949133427e+03,1.342511477473831594e+00,3.756865815823438481e+00,1.765667327527072672e+00
1.670000004978947572e+03,1.336158493317614937e+00,4.005742888617779940e+00,2.530003512910303343e+00
1.680000005008761491e+03,1.337578644278938578e+00,4.007372315609462277e+00,2.113449195601623920e+00
1.690000005038575637e+03,1.323341736760953458e+00,4.031244375498385324e+00,2.173016525637003760e+00
1.700000005068389783e+03,1.398257383435586032e+00,3.879741339492220664e+00,1.945463129263940605e+00
1.710000005098203701e+03,1.327811615835625902e+00,3.398207893652697820e+00,9.538338356816011832e-01
1.720000005128017847e+03,1.417595420539969675e+00,3.199251684171175114e+00,4.505924031006931507e-01
1.730000005157831765e+03,1.341354777868879911e+00,3.473695314748864060e+00,8.997297838285530647e-01
1.740000005187645911e+03,1.432404829278958402e+00,3.462405709658662900e+00,6.605948467659182866e-01
1.750000005217460057e+03,1.342291383357508527e+00,3.619233688241708879e+00,1.786487424267732660e+00
1.760000005247273975e+03,1.372458186519916357e+00,3.435532906759096505e+00,1.232050280431634892e+00
1.770000005277088121e+03,1.329007891059939661e+00,3.351370523253337286e+00,1.225097727609592679e+00
1.780000005306902040e+03,1.359197883557124564e+00,3.516099790087298338e+00,1.435050694000891358e+00
1.790000005336716185e+03,1.396795160574107353e+00,3.449027451853959647e+00,6.995315834722528603e-01
1.800000005366530331e+03,1.358081100114116868e+00,3.521312792251404478e+00,1.038594536309497274e+00
1.810000005396344250e+03,1.370514693717143739e+00,3.494341113653776976e+00,9.726555287687067564e-01
1.820000005426158395e+03,1.288805576074539383e+00,3.925491042281920251e+00,2.340732868597670713e+00
1.830000005455972541e+03,1.360052422123665394e+00,3.774115654116502405e+00,1.579928131134717084e+00
1.840000005485786460e+03,1.306335331998857319e+00,4.023066279045202975e+00,2.116796580520590165e+00
1.850000005515600606e+03,1.321024755421081442e+00,4.108509886239366082e+00,2.199721731063609464e+00
1.860000005545414524e+03,1.266968312513907513e+00,3.770046706796977176e+00,1.959837269444674623e+00
1.870000005575228670e+03,1.286926328129173402e+00,3.787333553516345486e+00,1.838370459597300499e+00
1.880000005605042816e+03,1.270940640969276725e+00,3.887082828343392915e+00,2.017843618339970835e+00
1.890000005634856734e+03,1.330965460742933093e+00,3.865466692378889402e+00,2.153527283227217204e+00
1.900000005664670880e+03,1.333845271591411308e+00,3.860589377866666894e+00,2.165557571557715999e+00
1.910000005694484798e+03,1.321074951880195414e+00,3.936597950967847037e+00,2.242571591087308747e+00
1.920000005724298944e+03,1.349105761653349278e+00,3.848333961435050021e+00,2.254377872121647197e+00
1.930000005754113090e+03,1.351975870531509916e+00,4.007819906034090884e+00,2.361767050926899980e+00
1.940000005783927008e+03,1.283470775888425397e+00,4.251852537590051995e+00,2.622717884289592405e+00
1.950000005813741154e+03,1.326357157073645876e+00,4.033760991123136463e+00,2.234663774343436327e+00
1.960000005843555073e+03,1.370056259096057216e+00,3.596824684738411104e+00,1.882249259452706713e+00
1.970000005873369219e+03,1.324698792410130110e+00,3.886431917353061483e+00,2.207182546156998715e+00
1.980000005903183364e+03,1.368100883220039421e+00,3.909988597034255609e+00,2.046469109517313534e+00
1.990000005932997283e+03,1.325711647491851997e+00,3.894746243010666298e+00,1.930440509662676218e+00
2.000000005962811429e+03,1.320733729325769934e+00,4.084184299204022039e+00,2.249166571333887532e+00
2.010000005992625347e+03,1.308074524956025941e+00,3.738420726730357302e+00,1.899008272129447894e+00
2.020000006022439493e+03,1.362462119272997985e+00,3.956582071424448177e+00,2.183299188871370866e+00
2.030000006052253639e+03,1.344769786103154230e+00,4.032162332836949581e+00,2.143284801375322957e+00
2.040000006082067557e+03,1.289737886877575290e+00,3.864101221701609301e+00,2.210113924944010044e+00
2.050000006111881703e+03,1.323556116620513201e+00,3.849260674539885407e+00,2.132526940389036341e+00
2.060000006141695849e+03,1.372510340182629962e+00,3.948591700741729937e+00,2.409041347784033338e+00
2.070000006171509995e+03,1.320590579349543159e+00,3.988973341572155107e+00,2.452545241624990435e+00
2.080000006201323686e+03,1.256283734286858467e+00,4.096478634203659652e+00,2.171993962095670305e+00
2.090000006231137831e+03,1.316368567206798179e+00,3.969798843383739673e+00,2.057149141349606580e+00
2.100000006260951977e+03,1.379213033508819741e+00,3.950819679782458405e+00,2.453385273129894628e+00
2.110000006290766123e+03,1.267977170589784430e+00,3.793076259809400330e+00,1.939963565531695799e+00
2.120000006320580269e+03,1.232361608959521737e+00,3.735815925998644982e+00,2.071349335767765698e+00
2.130000006350393960e+03,1.320890338884890047e+00,3.932491880284569419e+00,1.959853748848228383e+00
2.140000006380208106e+03,1.300931560043640856e+00,3.850027616789846174e+00,1.999442444788281703e+00
2.150000006410022252e+03,1.275408585427038055e+00,3.793860367317292148e+00,2.017992019038090223e+00
2.160000006439836397e+03,1.258040327544750925e+00,3.933162128836191762e+00,2.128141306643650310e+00
