condition,sender_state,receiver_state,ligand,receptor,pathway,category,sender_cells,receiver_cells,ligand_mean,ligand_detection_fraction,receptor_mean,receptor_detection_fraction,communication_score,ligand_components_present,receptor_components_present
tumor,tumor_epithelial,C1QC_like_TAM,GAS6,MERTK,GAS,Secreted Signaling,2212,208,0.19954122602939606,0.2590415913200723,0.33338895440101624,0.375,0.08038820015731721,1,1
tumor,tumor_epithelial,C1QC_like_TAM,GAS6,TYRO3,GAS,Secreted Signaling,2212,208,0.19954122602939606,0.2590415913200723,0.00392413092777133,0.009615384615384618,0.0013965488859746446,1,1
tumor,tumor_epithelial,C1QC_like_TAM,CSF1,CSF1R,CSF,Secreted Signaling,2212,208,0.00680495332926512,0.011754068716094034,0.9162505269050598,0.6153846153846154,0.006715635623949538,1,1
tumor,tumor_epithelial,C1QC_like_TAM,CSF2,CSF2RA+CSF2RB,CSF,Secreted Signaling,2212,208,0.001608826569281518,0.003164556962025316,0.3107096503725264,0.3475200070865616,0.0007414439930091731,1,2
tumor,tumor_epithelial,C1QC_like_TAM,CSF3,CSF3R,CSF,Secreted Signaling,2212,208,0.003089594189077617,0.004972875226039782,0.15284250676631927,0.19230769230769232,0.0006720087149105604,1,1
tumor,tumor_epithelial,C1QC_like_TAM,FN1,ITGA5+ITGB1,FN1,ECM-Receptor,2212,208,0.20523531734943393,0.2635623869801085,0.2945617067603927,0.299932191547735,0.06913014198662266,1,2
tumor,tumor_epithelial,C1QC_like_TAM,COL1A1,ITGA1+ITGB1,Collagen,ECM-Receptor,2212,208,0.5211784243583679,0.4588607594936709,0.12476440154344418,0.12674448390830834,0.06149553039768765,1,2
tumor,tumor_epithelial,C1QC_like_TAM,COL3A1,ITGA1+ITGB1,Collagen,ECM-Receptor,2212,208,0.4271269738674164,0.3991862567811935,0.12476440154344418,0.12674448390830834,0.05192495961361563,1,2
tumor,tumor_epithelial,C1QC_like_TAM,LAMC1,ITGA6+ITGB1,Laminin,ECM-Receptor,2212,208,0.07040854543447493,0.11301989150090418,0.22869834916027493,0.2120840865395459,0.019646069928445756,1,2
tumor,tumor_epithelial,C1QC_like_TAM,JAG1,NOTCH1,Notch,Cell-Cell Contact,2212,208,0.08983083814382552,0.13652802893309224,0.06277418136596681,0.09134615384615384,0.008386085732297417,1,1
tumor,tumor_epithelial,C1QC_like_TAM,JAG2,NOTCH2,Notch,Cell-Cell Contact,2212,208,0.04533634707331658,0.07233273056057868,0.11856873333454133,0.16826923076923078,0.008088688989139519,1,1
tumor,tumor_epithelial,C1QC_like_TAM,DLL1,NOTCH1,Notch,Cell-Cell Contact,2212,208,0.007647804915905001,0.01491862567811935,0.06277418136596681,0.09134615384615384,0.0008088508963930835,1,1
tumor,tumor_epithelial,C1QC_like_TAM,DLL4,NOTCH1,Notch,Cell-Cell Contact,2212,208,0.01439077686518431,0.027124773960216994,0.06277418136596681,0.09134615384615384,0.0014961007665017041,1,1
