donor_id,condition,sender_subtype,receiver_group,receiver_state,ligand,receptor,pathway,sender_cell_count,receiver_cell_count,support,support_status,ligand_mean,ligand_detection_fraction,receptor_mean,receptor_detection_fraction,communication_score,ligand_components_present,receptor_components_present,n_donors,n_supported_donors,median_supported_score,max_donor_score,consistent_across_ge4_donors,donor_driven
KUL31,tumor,resident_like,tumor_epithelial,tumor_epithelial,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,3,0.13575574325445341,0.5983672579275666,False,False
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,CMS2,SPP1,CD44,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.3988465964794159,0.4547945205479452,0.7574082476475844,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,CMS2,SPP1,CD44,SPP1,8,574,True,supported,3.889470338821411,1.0,0.14640818536281586,0.14285714285714285,0.28521928764907967,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,CMS2,SPP1,CD44,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.6617639660835266,0.6126482213438735,1.2772260346857687,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,CMS2,SPP1,CD44,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.18333113193511963,0.275,0.04063821140604542,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,CMS2,SPP1,CD44,SPP1,0,68,False,insufficient coverage,,,,,,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,CMS2,SPP1,CD44,SPP1,0,41,False,insufficient coverage,,,,,,1,1,6,4,0.521313767648332,1.2772260346857687,True,False
KUL01,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB5,SPP1,156,730,True,supported,3.6817877292633057,0.8589743589743589,0.13577012646755865,0.23900478587516374,0.32035011406957853,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL19,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB5,SPP1,8,574,True,supported,3.889470338821411,1.0,0.02990850502330667,0.04942948069376694,0.07582904885164643,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL21,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB5,SPP1,9,759,True,supported,4.526617050170898,0.8888888888888888,0.2792901323566352,0.34027822835010124,0.6183800836142355,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL28,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB5,SPP1,12,40,True,supported,0.3930805027484894,0.08333333333333333,0.10502501321127557,0.17320508075688773,0.02441050783190772,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL30,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB5,SPP1,0,68,False,insufficient coverage,,,,,,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
KUL31,tumor,SPP1_like_TAM,tumor_epithelial,tumor_epithelial,SPP1,ITGAV+ITGB5,SPP1,0,41,False,insufficient coverage,,,,,,1,2,6,4,0.19808958146061248,0.6183800836142355,True,False
