condition,sender_subtype,receiver_state,receiver_group,ligand,receptor,pathway,category,sender_cells,receiver_cells,ligand_mean,ligand_detection_fraction,receptor_mean,receptor_detection_fraction,communication_score,ligand_components_present,receptor_components_present
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CXCL10,CXCR3,CXCL,Secreted Signaling,153,1144,0.17863358557224274,0.07843137254901959,0.008176942355930807,0.02185314685314685,0.0015822639218635857,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CXCL11,CXCR3,CXCL,Secreted Signaling,153,1144,0.05063681676983834,0.0261437908496732,0.008176942355930807,0.02185314685314685,0.0004863735383220178,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CXCL8,CXCR1,CXCL,Secreted Signaling,153,1144,0.748471200466156,0.38562091503267976,1.000000000000001e-12,1.000000000000001e-12,5.372393779307023e-13,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CXCL8,CXCR2,CXCL,Secreted Signaling,153,1144,0.748471200466156,0.38562091503267976,1.000000000000001e-12,1.000000000000001e-12,5.372393779307023e-13,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CXCL1,CXCR2,CXCL,Secreted Signaling,153,1144,0.22817569971084592,0.13725490196078435,1.000000000000001e-12,1.000000000000001e-12,1.769695829617214e-13,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CXCL2,CXCR2,CXCL,Secreted Signaling,153,1144,0.5037259459495544,0.3137254901960784,1.000000000000001e-12,1.000000000000001e-12,3.975319726984329e-13,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CCL2,CCR2,CCL,Secreted Signaling,153,1144,0.11891303956508634,0.09803921568627452,0.00020421836234163477,0.0008741258741258741,4.561934408183671e-05,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CCL3,CCR1,CCL,Secreted Signaling,153,1144,0.9240469336509705,0.45751633986928103,0.0012822411954402926,0.0017482517482517485,0.0009735027173998405,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CCL3,CCR5,CCL,Secreted Signaling,153,1144,0.9240469336509705,0.45751633986928103,0.0016504067461937666,0.0034965034965034974,0.0015619344299644972,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CCL4,CCR5,CCL,Secreted Signaling,153,1144,0.6544301509857178,0.34640522875816987,0.0016504067461937666,0.0034965034965034974,0.0011437638022717494,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CCL5,CCR5,CCL,Secreted Signaling,153,1144,0.0848104953765869,0.08496732026143793,0.0016504067461937666,0.0034965034965034974,0.00020392160432942334,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CCL20,CCR6,CCL,Secreted Signaling,153,1144,0.003765035187825561,0.006535947712418302,0.0030683069489896293,0.0034965034965034974,1.624819750785043e-05,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,VEGFA,FLT1,VEGF,Secreted Signaling,153,1144,0.12565237283706665,0.1437908496732026,0.00032632931834086787,0.0008741258741258741,7.179033944470377e-05,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,VEGFA,KDR,VEGF,Secreted Signaling,153,1144,0.12565237283706665,0.1437908496732026,0.0008356134640052912,0.0017482517482517485,0.00016246345029410296,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,VEGFA,NRP1,VEGF,Secreted Signaling,153,1144,0.12565237283706665,0.1437908496732026,0.004337451886385679,0.009615384615384618,0.0008680637840736691,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,VEGFC,FLT4,VEGF,Secreted Signaling,153,1144,1.000000000000001e-12,1.000000000000001e-12,1.000000000000001e-12,1.000000000000001e-12,1.000000000000002e-24,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,TGFB1,TGFBR1+TGFBR2,TGFb,Secreted Signaling,153,1144,0.5544757843017578,0.5163398692810458,0.03896671467707803,0.07915546449420818,0.029716418696708435,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,TGFB2,TGFBR1+TGFBR2,TGFb,Secreted Signaling,153,1144,0.007266895379871127,0.013071895424836605,0.03896671467707803,0.07915546449420818,0.0005412913449627453,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,TGFB3,TGFBR1+TGFBR2,TGFb,Secreted Signaling,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.03896671467707803,0.07915546449420818,5.553763048670152e-14,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,TNF,TNFRSF1A,TNF,Secreted Signaling,153,1144,0.10544076561927797,0.11764705882352941,0.22479301691055298,0.3085664335664335,0.029333275484554236,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,TNF,TNFRSF1B,TNF,Secreted Signaling,153,1144,0.10544076561927797,0.11764705882352941,0.017544753849506375,0.030594405594405592,0.002580414432068205,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,LTA,LTBR,TNF,Secreted Signaling,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.24110166728496552,0.33916083916083917,2.859584651648671e-13,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,FASLG,FAS,TNF,Cell-Cell Contact,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.09270981699228288,0.1660839160839161,1.2408710434812138e-13,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,IL1B,IL1R1,IL-related,Secreted Signaling,153,1144,0.4389295279979706,0.24183006535947715,0.006894602440297602,0.014860139860139862,0.003297756678013018,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,IL6,IL6R,IL-related,Secreted Signaling,153,1144,0.047487802803516395,0.03921568627450981,0.03864864632487298,0.08129370629370629,0.0024188924188909547,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,IL10,IL10RA+IL10RB,IL-related,Secreted Signaling,153,1144,0.08912944048643114,0.09803921568627452,0.04429939998951556,0.05279604500189335,0.004520746153134676,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,IL11,IL11RA,IL-related,Secreted Signaling,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.023848976939916607,0.04545454545454546,3.292482963296618e-14,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,IL17A,IL17RA+IL17RC,IL-related,Secreted Signaling,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.057413182615393535,0.10379669656501679,7.719649405744999e-14,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,IL18,IL18R1+IL18RAP,IL-related,Secreted Signaling,153,1144,0.6899204850196838,0.5490196078431373,0.000536832806167961,0.002141162362572708,0.0006598386823968369,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,IL12A+IL12B,IL12RB1+IL12RB2,IL-related,Secreted Signaling,153,1144,5.1238550180652926e-08,8.084520834544445e-08,2.8373629022895477e-08,4.18121005003546e-08,2.216838189907922e-15,2,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,EGF,EGFR,EGF,Secreted Signaling,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.0883888006210327,0.1625874125874126,1.1987871535297007e-13,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,TGFA,EGFR,EGF,Secreted Signaling,153,1144,0.026199651882052418,0.0326797385620915,0.0883888006210327,0.1625874125874126,0.0035077539914286308,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,HBEGF,EGFR,EGF,Secreted Signaling,153,1144,0.24102710187435147,0.23529411764705885,0.0883888006210327,0.1625874125874126,0.028548319903658567,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,AREG,EGFR,EGF,Secreted Signaling,153,1144,0.21881243586540222,0.16993464052287582,0.0883888006210327,0.1625874125874126,0.02311633817699865,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,EREG,EGFR,EGF,Secreted Signaling,153,1144,0.026820428669452664,0.0261437908496732,0.0883888006210327,0.1625874125874126,0.0031743822202693504,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,MIF,CD74+CXCR4,MIF,Secreted Signaling,153,1144,0.39716240763664246,0.4117647058823529,0.11351354162311295,0.13953195761702736,0.05089431896922113,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,MIF,CD74+ACKR3,MIF,Secreted Signaling,153,1144,0.39716240763664246,0.4117647058823529,0.03171256108332069,0.037291484279198504,0.013906861191200385,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,C3,C3AR1,Complement,Secreted Signaling,153,1144,0.04614726454019547,0.0588235294117647,0.000647988519631326,0.0008741258741258741,3.921201536564008e-05,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,C5,C5AR1,Complement,Secreted Signaling,153,1144,0.004451122134923936,0.006535947712418302,0.0040949289686977855,0.00611888111888112,2.6999034531191668e-05,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,C5,C5AR2,Complement,Secreted Signaling,153,1144,0.004451122134923936,0.006535947712418302,0.0012227428378537302,0.0026223776223776234,9.65837846073483e-06,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,GAS6,AXL,GAS,Secreted Signaling,153,1144,0.15623489022254944,0.16993464052287582,0.0029018092900514594,0.004370629370629372,0.000580278387022392,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,GAS6,MERTK,GAS,Secreted Signaling,153,1144,0.15623489022254944,0.16993464052287582,0.008102825842797753,0.016608391608391605,0.001890218513070231,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,GAS6,TYRO3,GAS,Secreted Signaling,153,1144,0.15623489022254944,0.16993464052287582,0.001518918899819255,0.0034965034965034974,0.00037550372392909886,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CSF1,CSF1R,CSF,Secreted Signaling,153,1144,0.0035357393790036436,0.006535947712418302,0.0062692291103303415,0.010489510489510486,3.898334387632738e-05,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CSF2,CSF2RA+CSF2RB,CSF,Secreted Signaling,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.0032426892541687832,0.0039092097508737576,3.560386559272769e-15,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,CSF3,CSF3R,CSF,Secreted Signaling,153,1144,1.000000000000001e-12,1.000000000000001e-12,0.0011748517863452437,0.0008741258741258741,1.0133944664874498e-15,1,1
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,FN1,ITGA5+ITGB1,FN1,ECM-Receptor,153,1144,0.06822556257247925,0.0588235294117647,0.020925760840375125,0.04181210050035454,0.0018738754591193345,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,COL1A1,ITGA1+ITGB1,Collagen,ECM-Receptor,153,1144,0.043844327330589294,0.03921568627450981,0.14123428669114985,0.19611613513818402,0.0069010209992531255,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,COL3A1,ITGA1+ITGB1,Collagen,ECM-Receptor,153,1144,0.06594252586364746,0.0588235294117647,0.14123428669114985,0.19611613513818402,0.010365376032053243,1,2
normal,C1QC_like_TAM,normal_epithelial,normal_epithelial,LAMC1,ITGA6+ITGB1,Laminin,ECM-Receptor,153,1144,0.0071380482986569405,0.006535947712418302,0.42737992473676045,0.46840750891247934,0.0030560679695081825,1,2
