gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows
GLDC,2731,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
GLI3,2737,True,False,True,1,4,1,0,mixed,False,True,True,True,False,True,False,16
GLP1R,2740,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,3
GLRB,2743,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GLS,2744,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,2
GMNN,51053,False,False,True,2,3,1,0,consistent:inactive,False,True,True,True,False,True,False,5
GNAI1,2770,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GNAS,2778,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GNMT,27232,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
GNRHR,2798,True,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,8
GNT1,P22309,True,False,False,1,6,1,0,not_assessable,False,True,False,True,False,True,False,7
GOPC,57120,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
GP1BB,2812,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
GPHA2,170589,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GPR151,134391,True,False,False,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GPR183,1880,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GPR19,2842,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
GPX1,2876,False,False,True,2,2,2,0,mixed,True,True,True,True,False,True,False,2
GPX3,2878,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GPX4,2879,False,False,True,2,2,2,0,mixed,True,True,True,True,False,True,False,2
GPX5,2880,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GPX6,257202,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GPX7,2882,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
GRK2,156,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GSK3A,2931,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
GSR,2936,False,False,True,1,3,2,0,mixed,True,False,False,False,False,True,False,5
GSS,2937,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GSTA,111484,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
GSTA3,2940,False,False,True,1,2,1,0,consistent:decreases,True,False,False,False,False,False,False,2
GSTA4,2941,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GSTK1,373156,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GSTM1,2944,False,False,True,1,3,2,0,mixed,True,False,False,False,False,False,False,3
GSTM2,2946,False,False,True,1,2,1,0,mixed,True,False,False,False,False,False,False,2
GSTM3,2947,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
GSTM4,2948,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GSTM5,2949,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
GSTO2,119391,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GSTP1,2950,False,False,True,1,4,2,0,mixed,True,False,False,False,True,False,False,4
GSTT1,2952,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
GSTT2,2953,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
Gli1,14632,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
HBB,3043,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
HCRTR1,3061,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
HDAC3,8841,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
HDAC6,Q9UBN7,True,False,False,1,2,1,0,not_assessable,False,True,False,True,False,True,False,2
HDAC9,9734,True,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,8
HHV8GK18_gp81,4961527,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
HIF1A,3091,True,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,9
HILPDA,29923,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
HKDC1,80201,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
HMGB1,3146,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
HMOX1,3162,False,False,True,1,4,2,0,consistent:increases,True,False,False,False,False,False,False,4
HOXA9,3205,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
HPGD,3248,False,False,True,2,2,2,0,mixed,True,True,True,True,True,True,False,2
HRH2,3274,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
HRH3,11255,False,False,True,1,1,0,0,consistent:decreases,True,False,False,False,False,True,False,1
HS3ST1,9957,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
HSD17B6,8630,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
HSPA1A,3303,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
HSPA1B,3304,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
HSPA5,3309,False,False,True,1,2,1,0,mixed,True,False,False,False,True,False,False,2
HSPA9,3313,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
HSPB1,3315,True,False,True,2,3,2,0,mixed,True,True,True,True,False,True,False,9
HSPD1,3329,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
HST,Q06520,True,False,False,1,3,1,0,not_assessable,False,True,False,True,True,True,False,3
HTR2A,3356,True,False,True,1,4,1,0,mixed,False,True,True,True,False,True,False,32
HTR5A,3361,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
HTT,3064,False,False,True,1,2,1,0,mixed,False,True,True,True,False,True,False,3
Homo sapiens,,True,False,False,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Htr2a,15558,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
IDE,3416,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
IDH1,3417,False,False,True,1,2,1,0,mixed,False,True,True,True,False,True,False,2
IER3,8870,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2
IFNG,3458,True,False,False,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,4
IGF1,3479,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
IGFBP3,3486,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2
IGFBP6,3489,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
IL11,3589,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
IL1B,3553,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
IL4,3565,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
IL4I1,259307,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
INTS2,57508,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
IP6K3,117283,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ISYNA1,51477,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ITGA2B,3674,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ITGA4,3676,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Il2,16183,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Impa1,83523,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Itgal,16408,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
JAM2,58494,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
JUN,3725,True,False,True,2,3,1,0,mixed,True,True,True,True,False,True,False,9
K562,,True,False,False,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
KAT2A,2648,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,2
KCNH2,3757,True,False,True,1,4,1,0,consistent:inactive,False,True,True,True,False,True,False,12
KCNJ16,3773,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
KCNK3,3777,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
KCNQ1,3784,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
KEAP1,9817,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
KIF18B,146909,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
KIF22,3835,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
KIFC5B,16580,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
KISS1R,84634,True,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,8
KLF15,28999,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
KLF9,687,False,False,True,1,1,1,0,consistent:affects;decreases;increases,True,False,False,False,False,False,False,1
KLK7,5650,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
KMT2A,4297,False,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,3
KPNB1,3837,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
KRT10,3858,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
KRT16,3868,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
KRT19,3880,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
KRTAP17-1,83902,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
L3MBTL1,26013,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
LARGE1,9215,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
LASP1,3927,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
LBH,81606,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
LDHB,3945,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
LGALS1,3956,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2
LGALS9,3965,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
LMNA,4000,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,2
LMP-1,3783750,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
LOC100757539,100757539,False,True,True,1,2,1,0,mixed,False,True,True,True,False,True,False,8
LOC116160065,116160065,False,True,True,1,3,1,0,mixed,False,True,True,True,False,True,False,6
LOX,4015,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
LRG1,116844,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
LY6A,110454,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
LY6C1,17067,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
LY6F,17071,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
LY6I,57248,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
LYPLA1,10434,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Lithobates pipiens,,False,True,False,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Liver microsome,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,True,True,False,1
MACF1,23499,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MAFF,23764,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MAP3K6,9064,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MAPK1,5594,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
MAPT,4137,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
MARK3,4140,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MARVELD2,153562,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
MBD2,8932,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
MC1R,4157,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
MC3R,4159,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
MC4R,4160,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
MC5R,4161,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
MCF7,,True,False,False,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
MCL1,4170,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
MCOLN1,57192,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
MDM2,4193,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
MDM4,4194,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
MEN1,4221,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
MFAP4,4239,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
MFSD2A,84879,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MITF,4286,True,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
MLPH,79083,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MMEL1,79258,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
MMP14,4323,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
MMP23,26561,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MMP9,4318,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MOV10,4343,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MRC2,9902,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MSN,4478,False,False,True,1,2,1,0,mixed,True,False,False,False,False,False,False,2
MSRA,281312,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
MT2,17750,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MUC1,4582,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
MUG1,17836,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
MUP12,100039054,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MUP5,17844,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
MXD3,83463,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MYBL2,4605,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MYC,4609,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
MYL6,4637,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
MYLPF,17907,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
MYT1,4661,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
Mapk10,26414,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Microsporum canis,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
Molecular identity unknown,,False,False,True,1,1,0,0,not_assessable,False,True,False,True,False,True,False,1
NAE1,8883,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
NCAPD2,9918,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
NCKAP5,344148,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
NCOA1,8648,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
NCOA2,10499,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
NCOA3,8202,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
NDC80,10403,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
NDUFAF4,29078,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
NFE2L2,4780,True,False,True,2,8,2,0,mixed,True,True,True,True,False,True,False,26
NFIC,4782,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
NFKB1,4790,True,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,10
NFKB2,4791,False,False,True,1,1,1,0,consistent:affects;increases,True,False,False,False,False,False,False,1
NGF,4803,False,False,True,1,2,1,0,mixed,True,False,False,False,False,False,False,2
NIPSNAP3B,55335,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
NKD1,85407,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
NLRP3,114548,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
NNAT,4826,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
NOD2,64127,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
NOS2A,404036,False,False,True,1,1,1,0,consistent:affects;increases,True,False,False,False,False,False,False,1
NOS3,4846,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,6
NPC1,4864,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
NQO1,1728,False,False,True,1,2,1,0,consistent:increases,True,False,False,False,False,True,False,2
NR0B1,190,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
NR1H4,9971,True,False,True,1,6,1,0,consistent:inactive,False,True,True,True,False,True,False,20
NR1I2,8856,True,False,True,1,3,1,0,mixed,False,True,True,True,False,True,False,7
NR2F2,7026,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
NR3C1,2908,True,False,True,1,6,1,0,mixed,False,True,True,True,False,True,False,24
NR5A2,2494,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
NRG1,3084,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
NRGN,4900,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
NRIP3,56675,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
NS1,23308111,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
NTRK2,4915,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
NTSR1,4923,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Nannizzia gypsea,,False,False,True,1,1,1,0,not_assessable,False,True,False,True,False,True,False,1
No relevant target,,False,True,True,1,30,0,0,not_assessable,False,True,False,True,False,True,False,33
Nr1i2,84385,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,3
OLFML3,56944,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
OPRD1,4985,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
OPRM1,4988,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
OR52S19,258311,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1
OR7A38E,299589,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
ORM1,5004,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
ORM2,5005,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
OSGIN1,29948,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
OXTR,5021,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
P4HB,5034,False,False,True,1,2,2,0,consistent:affects,True,False,False,False,True,False,False,2
PABPC1,26986,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PADI4,23569,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PAFAH1B2,5049,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PAFAH1B3,5050,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PAFAH2,5051,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PAH,5053,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
PAPPA,5069,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PASK,23178,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PBSN,54192,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PCLAF,9768,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PDIA3,2923,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
PDIA6,10130,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PF3D7_1437900,811941,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PF3D7_1443900,811999,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PF4,5196,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PGF,5228,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PGKC,4357161,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PGR,5241,True,False,True,1,4,1,0,mixed,False,True,True,True,False,True,False,16
PHF24,23349,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
PI4K2A,55361,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PIN1,5300,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PIP4K2A,5305,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PKM,5315,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1
PLA1A,51365,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PLA2G3,50487,False,False,True,2,2,2,0,mixed,True,True,True,True,False,True,False,2
PLA2G5,5322,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PLA2G7,7941,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PLAT,5327,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PLAUR,5329,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PLCB3,5331,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PLCG1,5335,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PLIN5,440503,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PLK1,5347,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
POLH,5429,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
POLI,11201,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
POLK,51426,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,2
PON1,5444,False,False,True,1,2,2,0,consistent:decreases,True,False,False,False,False,False,False,2
POR,5447,False,False,True,1,2,1,0,consistent:decreases,True,False,False,False,False,False,False,2
PPARA,5465,False,False,True,2,2,2,0,mixed,True,True,True,True,False,True,False,3
PPARD,5467,True,False,True,1,6,1,0,mixed,False,True,True,True,False,True,False,20
PPARG,5468,True,False,True,1,6,1,0,consistent:inactive,False,True,True,True,False,True,False,22
PPME1,51400,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PPP1CA,5499,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PPP5C,5536,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PRDX1,5052,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PRDX2,7001,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
PRDX6,9588,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
PREPL,9581,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PRKACB,5567,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PRKAR1A,615074,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PRKAR2B,5577,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PRKN,5071,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PRMT1,3276,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PRNP,5621,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PRRX2,51450,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PRSS22,64063,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PRTN3,5657,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PSIP1,11168,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PSMD14,10213,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PTGER1,5731,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PTH1R,5745,False,False,True,2,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
PTK2B,2185,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PTPN5,84867,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
PTS,5805,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1
PTX3,5806,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
PURA,5813,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1
PYCR1,5831,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
Plasmodium falciparum,,False,True,True,1,4,1,0,not_assessable,False,True,False,True,False,True,False,4
Plau,18792,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Plaur,18793,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Plg,18815,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Pmp22,24660,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2
Ppp1r15a,171071,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
Prkacb,18749,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
QSOX1,5768,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1
RAB9A,9367,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RACGAP1,29127,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
RAD52,5893,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1
