gene,n_independent_datasets_DINP,n_significant_datasets_DINP,direction_DINP,all_directions_same_DINP,median_log2FC_DINP,min_FDR_DINP,meta_log2FC_DINP,meta_SE_DINP,meta_p_DINP,strict_supported_DINP,direction_supported_DINP,label_DINP,n_independent_datasets_CRC,n_significant_datasets_CRC,direction_CRC,all_directions_same_CRC,median_log2FC_CRC,min_FDR_CRC,meta_log2FC_CRC,meta_SE_CRC,meta_p_CRC,strict_supported_CRC,direction_supported_CRC,label_CRC,same_direction,opposite_direction,legacy_81_annotation
WDR45,2,1,up,True,0.5025366651775747,0.010447633785235,0.5239844403979685,0.2056749268235415,0.0108456185449629,False,True,DINP,2,0,up,False,0.0099731965724156,0.0237612829109072,0.0268338223676469,0.0705633570115757,0.7037376961299282,False,False,CRC,True,False,False
ERAP1,2,1,up,True,0.2673497184175906,0.0106579669578679,0.2566733558876447,0.0729444338150964,0.0004335821830415,False,True,DINP,2,2,down,True,-0.2824772682462,4.354995427029893e-09,-0.2992960901786182,0.0420154589458734,1.0523900656307261e-12,True,True,CRC,False,True,False
TXN,2,1,up,True,0.3338400855223726,0.0106579669578679,0.3234696834843888,0.1966521499196194,0.0999940407957484,False,True,DINP,2,0,down,False,-0.0494836101410589,0.2019526515188167,-0.0362948866054093,0.0579968026158477,0.5314406174956701,False,False,CRC,False,True,False
LACTB2,2,1,up,True,0.2793007891974626,0.0110450623123788,0.2980103238616035,0.0594578129738803,5.383064680432202e-07,False,True,DINP,2,2,up,True,0.8314959432738709,1.095816985713226e-20,0.8361820421822661,0.1969110597167522,2.171395825183196e-05,True,True,CRC,True,False,False
ELMOD3,2,1,up,True,0.4374491698550664,0.0110742999875879,0.5009447149842964,0.1539133185688972,0.0011350431763745,False,True,DINP,2,1,down,True,-0.4259623393952336,5.3892737535356286e-05,-0.4106325737354908,0.249444539414961,0.0997250868995994,False,True,CRC,False,True,False
MTA2,2,1,down,True,-0.1941800414434416,0.0110984209713633,-0.1873241714474532,0.1488838823100638,0.2083231488139626,False,True,DINP,2,2,up,True,0.7246989535055945,5.354608539229261e-07,0.6455133605756966,0.4570870457415388,0.1578813985459802,True,True,CRC,False,True,False
PACSIN2,2,1,up,True,0.2413444231784332,0.0110984209713633,0.2372841976861421,0.1493600225084966,0.1121342941852281,False,True,DINP,2,2,down,True,-0.8687786925475249,1.815439757193121e-33,-0.88705290407362,0.1167119091914316,2.953006934887021e-14,True,True,CRC,False,True,False
RCC2,2,1,down,True,-0.2715923016792894,0.0110984209713633,-0.2624557267464842,0.2275049269467798,0.2486533035902872,False,True,DINP,2,2,up,True,0.6217641151563558,7.00551162891858e-32,0.6521032315268901,0.0479239417247917,3.636523597637966e-42,True,True,CRC,False,True,False
MMD,2,1,up,True,0.2015903408840493,0.0111594026110312,0.1985588296316669,0.1097845401781531,0.0705096137138243,False,True,DINP,2,1,up,True,0.2607077858638447,0.0004112458850176,0.250405039140644,0.2040177088344506,0.2196838810605423,False,True,CRC,True,False,False
ABCD3,2,1,up,True,0.228165639426602,0.0113006618062421,0.2202990974803671,0.1908005785304355,0.248252657311248,False,True,DINP,2,2,down,True,-0.608129768291342,1.742308414317032e-13,-0.58921084005614,0.1337291695875061,1.0529653088599131e-05,True,True,CRC,False,True,False
