pathway,n_datasets,n_significant_datasets,median_NES,min_FDR,direction,strict_supported
REACTOME_ADIPOGENESIS,2,1,-0.042284891747419,0.0308922269115726,down,False
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,2,0,-0.1609801363374856,0.167113797100416,down,False
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1,2,0,-0.1571188890816621,0.0607451292907213,down,False
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12,2,0,-0.8950323718631765,0.0714369431637523,down,False
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION,2,0,-1.0136059742870578,0.2721915988133282,down,False
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,2,0,0.2077665010430964,0.3732837417962766,up,False
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,2,2,3.8981194171515097,5.5131064827915e-23,up,True
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,2,1,0.2389942557358695,0.001893121339049,up,False
REACTOME_AGGREPHAGY,2,1,-0.2251412208017399,0.0177319012873132,down,False
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL,2,0,-0.1498321793789777,0.268740656819679,down,False
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS,2,0,-0.309807751964625,0.3997348924721234,down,False
REACTOME_ALK_MUTANTS_BIND_TKIS,2,0,-0.1194953889743581,0.1180322700756062,down,False
REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,2,0,0.7400742324266519,0.1683676405837625,up,False
REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY,2,0,-0.1121885599680249,0.4610471697677846,down,False
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS,2,0,-0.7591533912563315,0.3476734331565606,down,False
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,2,1,1.6626563301596766,0.032542235755943,up,False
REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_OF_PD_L1_CD274,2,1,1.2481237606259803,1.9922624954358803e-09,up,False
REACTOME_AMYLOID_FIBER_FORMATION,2,0,0.0460347472144846,0.0918968160491652,up,False
REACTOME_ANCHORING_FIBRIL_FORMATION,2,0,-0.8934978175914,0.1603804670262318,down,False
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,2,0,-0.0980058834952908,0.2253075516489632,down,False
REACTOME_ANDROGEN_BIOSYNTHESIS,2,0,0.4355748890335554,0.1634400031313973,up,False
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,2,0,0.6619918247910717,0.2186330872525022,up,False
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,2,1,0.1291417273833025,0.0033741639893561,up,False
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,2,1,1.2534758715942045,6.815489223937268e-14,up,False
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,2,0,0.7816162340009807,0.1224376159081141,up,False
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,2,2,0.7929866698203945,6.388766230450058e-07,up,True
REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES,2,0,-0.101510814922938,0.0895150588660362,down,False
