sample_id,AKR1C3,ATG5,BECN1,CA9,CCL20,CRP,CXCR4,CYP1A2,CYP2C9,CYP3A4,DKK1,DUSP1,ESR1,F3,HPGD,HSPA1A,IGFBP1,IL1A,MIR675,MMP2,MMP9,NEAT1,NR1I2,NR3C1,PGR,PPARA,PPARD,PPARG,PTGER2,PTGER4,PTGES2,PTGS1,PTGS2,RELA,RXRA,SELE,SIRT1,SQSTM1,STAT3,TIMP1,TIMP2
TCGA-AD-6964-01,6.364,4.491,6.449,5.477,6.769,-9.966,5.474,-9.966,-1.831,-4.035,-1.831,4.881,-1.552,3.011,1.196,5.213,-9.966,-3.458,-9.966,8.15,5.642,6.679,2.42,2.398,-2.315,2.651,3.832,4.579,1.092,3.86,6.77,2.884,-0.1345,5.584,3.905,0.5955,2.909,7.807,5.72,9.87,6.861
TCGA-G4-6295-01,5.224,4.806,5.995,5.521,5.823,-9.966,5.472,-9.966,-4.035,-9.966,-1.552,6.129,-2.388,3.918,1.132,3.571,-4.293,-1.283,-9.966,5.47,3.825,7.029,4.071,1.59,-5.012,2.899,3.942,5.387,0.6425,3.277,7.086,0.8164,-0.3752,6.103,3.704,0.2522,3.493,8.288,5.716,7.189,4.678
TCGA-D5-5539-01,5.914,4.601,6.631,4.765,2.573,-9.966,5.378,-9.966,-2.826,-1.938,1.585,7.655,-0.4921,4.643,3.394,6.393,-2.826,-0.1828,-9.966,7.309,6.862,7.017,3.814,1.281,-2.932,2.947,4.351,4.555,3.103,4.121,5.634,2.824,2.26,5.628,3.937,0.099,3.036,8.402,5.613,8.779,6.845
TCGA-AA-3506-01,6.45,4.21,6.213,3.92,7.255,-9.966,4.365,-9.966,2.088,-2.826,1.766,6.0,-3.308,4.99,3.584,5.056,-9.966,0.6608,-9.966,6.823,4.993,6.825,5.009,0.688,-4.608,2.848,3.584,5.452,1.022,3.086,6.597,2.313,1.373,5.694,4.563,-1.117,2.186,8.019,6.155,9.158,5.952
TCGA-A6-5661-01,5.379,3.619,5.371,6.957,6.476,-5.012,5.589,-4.116,2.415,-0.2441,-2.861,7.086,-1.33,5.297,4.963,5.692,-9.966,1.435,-9.966,6.44,2.437,8.334,3.0,2.501,-3.406,3.276,4.436,4.546,2.416,3.077,5.338,1.116,2.607,4.619,3.574,0.04871,2.207,6.654,5.262,7.744,5.442
TCGA-RU-A8FL-01,5.68,4.253,6.194,1.732,6.159,-9.966,1.532,-9.966,-6.506,-5.012,-6.506,3.795,-6.506,2.791,4.459,1.118,-5.012,-4.035,-9.966,1.96,1.293,6.983,3.979,1.828,-6.506,3.052,3.917,5.029,-2.466,0.7579,6.857,-0.1828,-1.47,5.199,4.19,-4.293,2.637,7.998,4.977,7.115,1.696
TCGA-5M-AATE-01,7.626,4.438,6.143,4.28,4.853,-9.966,3.702,-9.966,-1.994,-4.608,-2.932,5.353,-2.727,4.141,0.688,7.174,-9.966,-0.7588,-9.966,5.451,3.405,8.631,4.916,0.0718,-3.816,3.353,3.731,4.764,-0.0877,2.409,6.357,-0.0425,0.3685,5.41,4.11,1.112,2.334,8.257,5.488,7.898,5.083
TCGA-AA-3712-11,6.831,4.625,6.446,-1.318,3.516,-9.966,5.123,-9.966,-0.8084,2.744,-2.826,6.443,-1.355,5.369,6.707,6.516,-2.388,-3.171,-9.966,6.06,2.646,8.464,5.155,3.139,-2.466,3.785,5.448,5.98,3.091,5.186,5.883,3.605,-0.6873,5.415,5.214,-3.308,3.009,7.956,5.66,6.148,6.319
TCGA-A6-6648-01,5.556,5.059,6.649,4.352,6.8,-5.574,2.888,-9.966,-1.51,-1.026,-0.6193,4.867,-4.035,5.231,5.122,4.424,-4.035,-0.5973,-9.966,4.89,2.862,6.899,4.846,1.967,-4.608,4.057,4.237,6.274,1.496,4.12,6.619,2.278,1.293,6.032,4.229,0.2154,3.425,7.716,6.163,6.769,4.796
TCGA-A6-5662-01,6.838,4.89,6.413,1.036,8.381,-4.608,3.011,-9.966,-1.831,-1.431,1.971,4.269,-4.608,2.011,5.885,5.38,2.866,-3.171,-9.966,5.475,2.004,6.72,4.958,0.547,-3.047,2.556,4.189,4.618,-0.2498,0.3346,5.786,1.258,-2.466,6.118,4.305,-0.7346,3.413,8.804,5.309,8.652,6.51
