outcome_id,outcome_name,cycle,available,male_cases,female_cases,male_controls,female_controls,eligible_n,male_eligible_n,female_eligible_n,source_component,source_variables,operational_definition,eligibility_note,source_file(s),unavailability_reason
emphysema,Emphysema,2007-2008,True,102,62,2801,2959,5924,2903,3021,MCQ,MCQ160G,Age >=20. Case: MCQ160G=Yes. Control: MCQ160G=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
emphysema,Emphysema,2009-2010,True,75,62,2929,3148,6214,3004,3210,MCQ,MCQ160G,Age >=20. Case: MCQ160G=Yes. Control: MCQ160G=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
emphysema,Emphysema,2011-2012,True,67,33,2666,2784,5550,2733,2817,MCQ,MCQ160G,Age >=20. Case: MCQ160G=Yes. Control: MCQ160G=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
emphysema,Emphysema,2013-2014,True,43,52,2714,2957,5766,2757,3009,MCQ,MCQ160G,Age >=20. Case: MCQ160G=Yes. Control: MCQ160G=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
emphysema,Emphysema,2015-2016,True,73,52,2670,2917,5712,2743,2969,MCQ,MCQ160G,Age >=20. Case: MCQ160G=Yes. Control: MCQ160G=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
emphysema,Emphysema,2017-2018,True,66,40,2630,2820,5556,2696,2860,MCQ,MCQ160G,Age >=20. Case: MCQ160G=Yes. Control: MCQ160G=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
hypertension,Hypertension,1999-2000,True,655,832,1567,1760,4814,2222,2592,BPQ,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_BPQ.XPT,
hypertension,Hypertension,2001-2002,True,727,911,1758,1950,5346,2485,2861,BPQ,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_BPQ.XPT,
hypertension,Hypertension,2003-2004,True,828,921,1554,1684,4987,2382,2605,BPQ,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_BPQ.XPT,
hypertension,Hypertension,2005-2006,True,760,814,1622,1768,4964,2382,2582,BPQ,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_BPQ.XPT,
hypertension,Hypertension,2007-2008,True,996,1128,1912,1893,5929,2908,3021,BPQ,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_BPQ.XPT,
hypertension,Hypertension,2009-2010,True,1048,1144,1952,2062,6206,3000,3206,BPQ,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_BPQ.XPT,
hypertension,Hypertension,2011-2012,True,973,1030,1762,1787,5552,2735,2817,BPQ,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_BPQ.XPT,
hypertension,Hypertension,2013-2014,True,988,1157,1768,1852,5765,2756,3009,BPQ,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_BPQ.XPT,
hypertension,Hypertension,2015-2016,True,1001,1069,1741,1902,5713,2742,2971,BPQ,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_BPQ.XPT,
hypertension,Hypertension,2017-2018,True,1053,1066,1643,1797,5559,2696,2863,BPQ,BPQ020,Age >=20. Case: BPQ020=Yes. Control: BPQ020=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_BPQ.XPT,
kidney_stones,Kidney stones,1999-2000,False,0,0,0,0,0,0,0,kidney conditions questionnaire,KIQ kidney-stone item,Age >=20. Physician/history kidney-stone item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,kidney conditions questionnaire absent locally
kidney_stones,Kidney stones,2001-2002,False,0,0,0,0,0,0,0,kidney conditions questionnaire,KIQ kidney-stone item,Age >=20. Physician/history kidney-stone item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,kidney conditions questionnaire absent locally
kidney_stones,Kidney stones,2003-2004,False,0,0,0,0,0,0,0,kidney conditions questionnaire,KIQ kidney-stone item,Age >=20. Physician/history kidney-stone item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,kidney conditions questionnaire absent locally
kidney_stones,Kidney stones,2005-2006,False,0,0,0,0,0,0,0,kidney conditions questionnaire,KIQ kidney-stone item,Age >=20. Physician/history kidney-stone item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,kidney conditions questionnaire absent locally
kidney_stones,Kidney stones,2007-2008,False,0,0,0,0,0,0,0,kidney conditions questionnaire,KIQ kidney-stone item,Age >=20. Physician/history kidney-stone item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,kidney conditions questionnaire absent locally
kidney_stones,Kidney stones,2009-2010,False,0,0,0,0,0,0,0,kidney conditions questionnaire,KIQ kidney-stone item,Age >=20. Physician/history kidney-stone item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,kidney conditions questionnaire absent locally
kidney_stones,Kidney stones,2011-2012,False,0,0,0,0,0,0,0,kidney conditions questionnaire,KIQ kidney-stone item,Age >=20. Physician/history kidney-stone item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,kidney conditions questionnaire absent locally
kidney_stones,Kidney stones,2013-2014,False,0,0,0,0,0,0,0,kidney conditions questionnaire,KIQ kidney-stone item,Age >=20. Physician/history kidney-stone item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,kidney conditions questionnaire absent locally
kidney_stones,Kidney stones,2015-2016,False,0,0,0,0,0,0,0,kidney conditions questionnaire,KIQ kidney-stone item,Age >=20. Physician/history kidney-stone item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,kidney conditions questionnaire absent locally
kidney_stones,Kidney stones,2017-2018,False,0,0,0,0,0,0,0,kidney conditions questionnaire,KIQ kidney-stone item,Age >=20. Physician/history kidney-stone item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,kidney conditions questionnaire absent locally
liver_disease,Liver disease,1999-2000,True,83,70,2181,2534,4868,2264,2604,MCQ,MCQ160L,Age >=20. Case: MCQ160L=Yes. Control: MCQ160L=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_MCQ.XPT,
liver_disease,Liver disease,2001-2002,True,97,61,2433,2808,5399,2530,2869,MCQ,MCQ160L,Age >=20. Case: MCQ160L=Yes. Control: MCQ160L=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_MCQ.XPT,
liver_disease,Liver disease,2003-2004,True,104,66,2311,2550,5031,2415,2616,MCQ,MCQ160L,Age >=20. Case: MCQ160L=Yes. Control: MCQ160L=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
liver_disease,Liver disease,2005-2006,True,91,72,2290,2515,4968,2381,2587,MCQ,MCQ160L,Age >=20. Case: MCQ160L=Yes. Control: MCQ160L=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
liver_disease,Liver disease,2007-2008,True,123,103,2781,2919,5926,2904,3022,MCQ,MCQ160L,Age >=20. Case: MCQ160L=Yes. Control: MCQ160L=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
liver_disease,Liver disease,2009-2010,True,98,91,2896,3116,6201,2994,3207,MCQ,MCQ160L,Age >=20. Case: MCQ160L=Yes. Control: MCQ160L=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
liver_disease,Liver disease,2011-2012,True,118,101,2616,2718,5553,2734,2819,MCQ,MCQ160L,Age >=20. Case: MCQ160L=Yes. Control: MCQ160L=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
liver_disease,Liver disease,2013-2014,True,113,121,2640,2885,5759,2753,3006,MCQ,MCQ160L,Age >=20. Case: MCQ160L=Yes. Control: MCQ160L=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
liver_disease,Liver disease,2015-2016,True,145,114,2598,2850,5707,2743,2964,MCQ,MCQ160L,Age >=20. Case: MCQ160L=Yes. Control: MCQ160L=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
liver_disease,Liver disease,2017-2018,True,155,139,2539,2721,5554,2694,2860,MCQ,MCQ160L,Age >=20. Case: MCQ160L=Yes. Control: MCQ160L=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
myocardial_infarction,Myocardial infarction,1999-2000,True,150,71,2111,2532,4864,2261,2603,MCQ,MCQ160E,Age >=20. Case: MCQ160E=Yes. Control: MCQ160E=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_MCQ.XPT,
myocardial_infarction,Myocardial infarction,2001-2002,True,162,96,2368,2773,5399,2530,2869,MCQ,MCQ160E,Age >=20. Case: MCQ160E=Yes. Control: MCQ160E=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_MCQ.XPT,
myocardial_infarction,Myocardial infarction,2003-2004,True,168,106,2245,2511,5030,2413,2617,MCQ,MCQ160E,Age >=20. Case: MCQ160E=Yes. Control: MCQ160E=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
myocardial_infarction,Myocardial infarction,2005-2006,True,147,68,2236,2520,4971,2383,2588,MCQ,MCQ160E,Age >=20. Case: MCQ160E=Yes. Control: MCQ160E=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
myocardial_infarction,Myocardial infarction,2007-2008,True,182,100,2721,2921,5924,2903,3021,MCQ,MCQ160E,Age >=20. Case: MCQ160E=Yes. Control: MCQ160E=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
myocardial_infarction,Myocardial infarction,2009-2010,True,184,77,2815,3125,6201,2999,3202,MCQ,MCQ160E,Age >=20. Case: MCQ160E=Yes. Control: MCQ160E=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
myocardial_infarction,Myocardial infarction,2011-2012,True,123,80,2611,2738,5552,2734,2818,MCQ,MCQ160E,Age >=20. Case: MCQ160E=Yes. Control: MCQ160E=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
myocardial_infarction,Myocardial infarction,2013-2014,True,143,87,2614,2922,5766,2757,3009,MCQ,MCQ160E,Age >=20. Case: MCQ160E=Yes. Control: MCQ160E=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
myocardial_infarction,Myocardial infarction,2015-2016,True,161,90,2582,2877,5710,2743,2967,MCQ,MCQ160E,Age >=20. Case: MCQ160E=Yes. Control: MCQ160E=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
myocardial_infarction,Myocardial infarction,2017-2018,True,191,79,2506,2783,5559,2697,2862,MCQ,MCQ160E,Age >=20. Case: MCQ160E=Yes. Control: MCQ160E=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
obesity,Obesity,1999-2000,True,547,875,1496,1456,4374,2043,2331,BMX,BMXBMI,Age >=20. Case: BMI >=30 kg/m2. Control: BMI <30 kg/m2.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_BMX.XPT,
obesity,Obesity,2001-2002,True,587,845,1632,1626,4690,2219,2471,BMX,BMXBMI,Age >=20. Case: BMI >=30 kg/m2. Control: BMI <30 kg/m2.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_BMX.XPT,
obesity,Obesity,2003-2004,True,658,880,1579,1530,4647,2237,2410,BMX,BMXBMI,Age >=20. Case: BMI >=30 kg/m2. Control: BMI <30 kg/m2.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_BMX.XPT,
obesity,Obesity,2005-2006,True,709,938,1528,1505,4680,2237,2443,BMX,BMXBMI,Age >=20. Case: BMI >=30 kg/m2. Control: BMI <30 kg/m2.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_BMX.XPT,
obesity,Obesity,2007-2008,True,917,1132,1829,1729,5607,2746,2861,BMX,BMXBMI,Age >=20. Case: BMI >=30 kg/m2. Control: BMI <30 kg/m2.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_BMX.XPT,
obesity,Obesity,2009-2010,True,1021,1264,1868,1841,5994,2889,3105,BMX,BMXBMI,Age >=20. Case: BMI >=30 kg/m2. Control: BMI <30 kg/m2.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_BMX.XPT,
obesity,Obesity,2011-2012,True,823,1050,1762,1602,5237,2585,2652,BMX,BMXBMI,Age >=20. Case: BMI >=30 kg/m2. Control: BMI <30 kg/m2.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_BMX.XPT,
obesity,Obesity,2013-2014,True,872,1211,1766,1671,5520,2638,2882,BMX,BMXBMI,Age >=20. Case: BMI >=30 kg/m2. Control: BMI <30 kg/m2.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_BMX.XPT,
obesity,Obesity,2015-2016,True,930,1258,1653,1565,5406,2583,2823,BMX,BMXBMI,Age >=20. Case: BMI >=30 kg/m2. Control: BMI <30 kg/m2.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_BMX.XPT,
obesity,Obesity,2017-2018,True,988,1183,1505,1499,5175,2493,2682,BMX,BMXBMI,Age >=20. Case: BMI >=30 kg/m2. Control: BMI <30 kg/m2.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_BMX.XPT,
objective_CKD,Objective CKD,1999-2000,False,0,0,0,0,0,0,0,serum creatinine laboratory module,serum creatinine/eGFR,Age >=20. Prespecified requirement: objective eGFR-based CKD definition. Not substituted with albuminuria alone.,Primary audit age >=20 years; source module unavailable or variable absent.,,serum creatinine laboratory module absent locally
objective_CKD,Objective CKD,2001-2002,False,0,0,0,0,0,0,0,serum creatinine laboratory module,serum creatinine/eGFR,Age >=20. Prespecified requirement: objective eGFR-based CKD definition. Not substituted with albuminuria alone.,Primary audit age >=20 years; source module unavailable or variable absent.,,serum creatinine laboratory module absent locally
objective_CKD,Objective CKD,2003-2004,False,0,0,0,0,0,0,0,serum creatinine laboratory module,serum creatinine/eGFR,Age >=20. Prespecified requirement: objective eGFR-based CKD definition. Not substituted with albuminuria alone.,Primary audit age >=20 years; source module unavailable or variable absent.,,serum creatinine laboratory module absent locally
objective_CKD,Objective CKD,2005-2006,False,0,0,0,0,0,0,0,serum creatinine laboratory module,serum creatinine/eGFR,Age >=20. Prespecified requirement: objective eGFR-based CKD definition. Not substituted with albuminuria alone.,Primary audit age >=20 years; source module unavailable or variable absent.,,serum creatinine laboratory module absent locally
objective_CKD,Objective CKD,2007-2008,False,0,0,0,0,0,0,0,serum creatinine laboratory module,serum creatinine/eGFR,Age >=20. Prespecified requirement: objective eGFR-based CKD definition. Not substituted with albuminuria alone.,Primary audit age >=20 years; source module unavailable or variable absent.,,serum creatinine laboratory module absent locally
objective_CKD,Objective CKD,2009-2010,False,0,0,0,0,0,0,0,serum creatinine laboratory module,serum creatinine/eGFR,Age >=20. Prespecified requirement: objective eGFR-based CKD definition. Not substituted with albuminuria alone.,Primary audit age >=20 years; source module unavailable or variable absent.,,serum creatinine laboratory module absent locally
objective_CKD,Objective CKD,2011-2012,False,0,0,0,0,0,0,0,serum creatinine laboratory module,serum creatinine/eGFR,Age >=20. Prespecified requirement: objective eGFR-based CKD definition. Not substituted with albuminuria alone.,Primary audit age >=20 years; source module unavailable or variable absent.,,serum creatinine laboratory module absent locally
objective_CKD,Objective CKD,2013-2014,False,0,0,0,0,0,0,0,serum creatinine laboratory module,serum creatinine/eGFR,Age >=20. Prespecified requirement: objective eGFR-based CKD definition. Not substituted with albuminuria alone.,Primary audit age >=20 years; source module unavailable or variable absent.,,serum creatinine laboratory module absent locally
objective_CKD,Objective CKD,2015-2016,False,0,0,0,0,0,0,0,serum creatinine laboratory module,serum creatinine/eGFR,Age >=20. Prespecified requirement: objective eGFR-based CKD definition. Not substituted with albuminuria alone.,Primary audit age >=20 years; source module unavailable or variable absent.,,serum creatinine laboratory module absent locally
objective_CKD,Objective CKD,2017-2018,False,0,0,0,0,0,0,0,serum creatinine laboratory module,serum creatinine/eGFR,Age >=20. Prespecified requirement: objective eGFR-based CKD definition. Not substituted with albuminuria alone.,Primary audit age >=20 years; source module unavailable or variable absent.,,serum creatinine laboratory module absent locally
osteoporosis,Osteoporosis,1999-2000,False,0,0,0,0,0,0,0,osteoporosis questionnaire,OSQ osteoporosis item,Age >=20. Osteoporosis questionnaire item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,osteoporosis questionnaire absent locally
osteoporosis,Osteoporosis,2001-2002,False,0,0,0,0,0,0,0,osteoporosis questionnaire,OSQ osteoporosis item,Age >=20. Osteoporosis questionnaire item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,osteoporosis questionnaire absent locally
osteoporosis,Osteoporosis,2003-2004,False,0,0,0,0,0,0,0,osteoporosis questionnaire,OSQ osteoporosis item,Age >=20. Osteoporosis questionnaire item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,osteoporosis questionnaire absent locally
osteoporosis,Osteoporosis,2005-2006,False,0,0,0,0,0,0,0,osteoporosis questionnaire,OSQ osteoporosis item,Age >=20. Osteoporosis questionnaire item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,osteoporosis questionnaire absent locally
osteoporosis,Osteoporosis,2007-2008,False,0,0,0,0,0,0,0,osteoporosis questionnaire,OSQ osteoporosis item,Age >=20. Osteoporosis questionnaire item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,osteoporosis questionnaire absent locally
osteoporosis,Osteoporosis,2009-2010,False,0,0,0,0,0,0,0,osteoporosis questionnaire,OSQ osteoporosis item,Age >=20. Osteoporosis questionnaire item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,osteoporosis questionnaire absent locally
osteoporosis,Osteoporosis,2011-2012,False,0,0,0,0,0,0,0,osteoporosis questionnaire,OSQ osteoporosis item,Age >=20. Osteoporosis questionnaire item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,osteoporosis questionnaire absent locally
osteoporosis,Osteoporosis,2013-2014,False,0,0,0,0,0,0,0,osteoporosis questionnaire,OSQ osteoporosis item,Age >=20. Osteoporosis questionnaire item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,osteoporosis questionnaire absent locally
osteoporosis,Osteoporosis,2015-2016,False,0,0,0,0,0,0,0,osteoporosis questionnaire,OSQ osteoporosis item,Age >=20. Osteoporosis questionnaire item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,osteoporosis questionnaire absent locally
osteoporosis,Osteoporosis,2017-2018,False,0,0,0,0,0,0,0,osteoporosis questionnaire,OSQ osteoporosis item,Age >=20. Osteoporosis questionnaire item required.,Primary audit age >=20 years; source module unavailable or variable absent.,,osteoporosis questionnaire absent locally
stroke,Stroke,1999-2000,True,99,91,2169,2518,4877,2268,2609,MCQ,MCQ160F,Age >=20. Case: MCQ160F=Yes. Control: MCQ160F=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,1999-2000_DEMO.XPT;1999-2000_MCQ.XPT,
stroke,Stroke,2001-2002,True,106,98,2424,2773,5401,2530,2871,MCQ,MCQ160F,Age >=20. Case: MCQ160F=Yes. Control: MCQ160F=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2001-2002_DEMO.XPT;2001-2002_MCQ.XPT,
stroke,Stroke,2003-2004,True,102,110,2314,2507,5033,2416,2617,MCQ,MCQ160F,Age >=20. Case: MCQ160F=Yes. Control: MCQ160F=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
stroke,Stroke,2005-2006,True,93,100,2287,2490,4970,2380,2590,MCQ,MCQ160F,Age >=20. Case: MCQ160F=Yes. Control: MCQ160F=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
stroke,Stroke,2007-2008,True,121,137,2780,2879,5917,2901,3016,MCQ,MCQ160F,Age >=20. Case: MCQ160F=Yes. Control: MCQ160F=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
stroke,Stroke,2009-2010,True,114,113,2886,3097,6210,3000,3210,MCQ,MCQ160F,Age >=20. Case: MCQ160F=Yes. Control: MCQ160F=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
stroke,Stroke,2011-2012,True,111,118,2626,2700,5555,2737,2818,MCQ,MCQ160F,Age >=20. Case: MCQ160F=Yes. Control: MCQ160F=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
stroke,Stroke,2013-2014,True,88,114,2668,2894,5764,2756,3008,MCQ,MCQ160F,Age >=20. Case: MCQ160F=Yes. Control: MCQ160F=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
stroke,Stroke,2015-2016,True,112,97,2633,2872,5714,2745,2969,MCQ,MCQ160F,Age >=20. Case: MCQ160F=Yes. Control: MCQ160F=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
stroke,Stroke,2017-2018,True,136,137,2560,2726,5559,2696,2863,MCQ,MCQ160F,Age >=20. Case: MCQ160F=Yes. Control: MCQ160F=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
thyroid_disease,Thyroid disease,1999-2000,False,0,0,0,0,0,0,0,MCQ,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years; source module unavailable or variable absent.,,Source variable unavailable in this cycle: MCQ160M
thyroid_disease,Thyroid disease,2001-2002,False,0,0,0,0,0,0,0,MCQ,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years; source module unavailable or variable absent.,,Source variable unavailable in this cycle: MCQ160M
thyroid_disease,Thyroid disease,2003-2004,True,95,403,2319,2210,5027,2414,2613,MCQ,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2003-2004_DEMO.XPT;2003-2004_MCQ.XPT,
thyroid_disease,Thyroid disease,2005-2006,True,86,373,2295,2214,4968,2381,2587,MCQ,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2005-2006_DEMO.XPT;2005-2006_MCQ.XPT,
thyroid_disease,Thyroid disease,2007-2008,True,102,452,2804,2559,5917,2906,3011,MCQ,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2007-2008_DEMO.XPT;2007-2008_MCQ.XPT,
thyroid_disease,Thyroid disease,2009-2010,True,120,488,2878,2719,6205,2998,3207,MCQ,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2009-2010_DEMO.XPT;2009-2010_MCQ.XPT,
thyroid_disease,Thyroid disease,2011-2012,True,118,393,2617,2416,5544,2735,2809,MCQ,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2011-2012_DEMO.XPT;2011-2012_MCQ.XPT,
thyroid_disease,Thyroid disease,2013-2014,True,97,504,2656,2501,5758,2753,3005,MCQ,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2013-2014_DEMO.XPT;2013-2014_MCQ.XPT,
thyroid_disease,Thyroid disease,2015-2016,True,151,471,2594,2492,5708,2745,2963,MCQ,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2015-2016_DEMO.XPT;2015-2016_MCQ.XPT,
thyroid_disease,Thyroid disease,2017-2018,True,164,491,2530,2369,5554,2694,2860,MCQ,MCQ160M,Age >=20. Case: MCQ160M=Yes. Control: MCQ160M=No.,Primary audit age >=20 years. Counts require a substantive case/control definition and RIAGENDR.,2017-2018_DEMO.XPT;2017-2018_MCQ.XPT,
