cycle,cycle_begin_year,laboratory_title,doc_url,data_url,data_file,environmental_domain,catalog_source
2005-2006,2005,Pesticides - Organochlorine Pesticides - Pooled Samples,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PSTPOL_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PSTPOL_D.xpt,PSTPOL_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Phthalates - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PHTHTE_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PHTHTE_D.xpt,PHTHTE_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Polyaromatic Hydrocarbons (PAHs) - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PAH_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PAH_D.xpt,PAH_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,"Polychlorinated dibenzo-p-dioxins (PCDDs), Dibenzofurans (PCDFs) & Coplanar Polychlorinated Biphenyls (cPCBs)  - Pooled Samples",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DOXPOL_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DOXPOL_D.xpt,DOXPOL_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Polyfluoroalkyl Chemicals,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PFC_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PFC_D.xpt,PFC_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Volatile Organic Compound (VOC) Metabolites - Urine (Surplus),https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/SSUVOC_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/SSUVOC_D.xpt,SSUVOC_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Volatile Organic Compounds - Blood & Related Questionnaire Items,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/VOCWB_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/VOCWB_D.xpt,VOCWB_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2005-2006,2005,Volatile Organic Compounds - Water & Related Questionnaire Items,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/VOC_D.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/VOC_D.xpt,VOC_D.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2005.html
2007-2008,2007,Brominated Flame Retardants (BFRs) - Pooled Samples,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/BFRPOL_E.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/BFRPOL_E.xpt,BFRPOL_E.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2007.html
2007-2008,2007,Cotinine - Serum & Total NNAL - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/COTNAL_E.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/COTNAL_E.xpt,COTNAL_E.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2007.html
2007-2008,2007,Environmental Phenols,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/EPH_E.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/EPH_E.xpt,EPH_E.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2007.html
2007-2008,2007,Metals - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/UHM_E.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/UHM_E.xpt,UHM_E.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2007.html
2007-2008,2007,Non-dioxin-like Polychlorinated Biphenyls & Mono-ortho-substituted Polychlorinated Biphenyls - Pooled Samples,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PCBPOL_E.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PCBPOL_E.xpt,PCBPOL_E.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2007.html
2007-2008,2007,Organophosphate Insecticides - Diakyl Phosphate Metabolites - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/OPD_E.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/OPD_E.xpt,OPD_E.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2007.html
2007-2008,2007,Pesticides - Carbamates & Organophosphorus Metabolites - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/CARB_E.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/CARB_E.xpt,CARB_E.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2007.html
