database,signature_size,scoring_method,DRUG_NAME,drug_key,background,n_trajectory_values,n_positive_trajectory_values,median_rho,min_rho,max_rho,median_n,median_p
GDSC1,100,weighted,FTY-720,FTY720,HCT116,3,2,0.08906048906048908,-0.1341055341055341,0.17374517374517376,36.0,0.43552725624848576
GDSC1,100,weighted,FY012,FY012,HCT116,3,0,-0.11806543385490754,-0.39074296969033806,-0.10230878651931283,38.0,0.48020869268506744
GDSC1,100,weighted,FY026,FY026,HCT116,3,1,-0.08698982383192909,-0.3235583761899551,0.0022978444031075606,38.0,0.603541572399225
GDSC1,100,weighted,FY069,FY069,HCT116,3,0,-0.25768683663420505,-0.46055367107998685,-0.25571725571725573,38.0,0.11830342984175274
GDSC1,100,weighted,Fedratinib,FEDRATINIB,HCT116,3,1,-0.09862494073020389,-0.1837363679468942,0.20839260312944521,37.0,0.27634567846215485
GDSC1,100,weighted,Flavopiridol,FLAVOPIRIDOL,HCT116,3,1,-0.23680823680823682,-0.35546975546975546,0.058944658944658945,36.0,0.16435395788419782
GDSC1,100,weighted,Foretinib,FORETINIB,HCT116,3,1,-0.1811284969179706,-0.31721194879089615,0.1650071123755334,37.0,0.28333779405868875
GDSC1,100,weighted,Fulvestrant,FULVESTRANT,HCT116,3,0,-0.18415581573476308,-0.3778312725681146,-0.09924499398183609,38.0,0.2683848252792383
GDSC1,100,weighted,GSK-J4,GSKJ4,HCT116,3,0,-0.23138928402086295,-0.28473210052157416,-0.11522048364153627,37.0,0.16821510307770637
GDSC1,100,weighted,GSK1059615,GSK1059615,HCT116,3,0,-0.15078236130867706,-0.32171645329540066,-0.0910384068278805,37.0,0.3730355238831192
GDSC1,100,weighted,GSK1070916,GSK1070916,HCT116,3,1,-0.07104247104247104,-0.12097812097812098,0.005920205920205921,36.0,0.680535513039833
GDSC1,100,weighted,GSK1904529A,GSK1904529A,HCT116,3,0,-0.08031145717463849,-0.2547274749721913,-0.06740823136818688,30.0,0.6731160927086494
GDSC1,100,weighted,GSK269962A,GSK269962A,HCT116,3,0,-0.2741000109421162,-0.35244556297187873,-0.10821752927016084,38.0,0.09585528844866216
GDSC1,100,weighted,GSK429286A,GSK429286A,HCT116,3,0,-0.3639165481270744,-0.5770507349454718,-0.02868658131816026,37.0,0.026816261681296753
GDSC1,100,weighted,GSK650394,GSK650394,HCT116,3,0,-0.20886699507389156,-0.27586206896551724,-0.1842364532019704,29.0,0.2768797015339433
GDSC1,100,weighted,GSK690693,GSK690693,HCT116,3,0,-0.1650071123755334,-0.2287814129919393,-0.14580369843527738,37.0,0.3290837423472052
GDSC1,100,weighted,GW-2580,GW2580,HCT116,3,0,-0.14604077761972498,-0.2811759127548601,-0.0433854907539118,37.0,0.3884238832921689
