dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3,target_gene_total_counts,PPAR_nuclear_receptor_score,PPAR_nuclear_receptor_score_n_genes,RELA_STAT3_score,RELA_STAT3_score_n_genes,DINP_axis_9_gene_score,DINP_axis_9_gene_score_n_genes
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C133,C133,tumor,epithelial,308,53.0,149.0,110.0,4.0,0.0,127.0,15.0,70.0,219.0,747.0,-0.03021372924413097,7,0.1453629566571891,2,0.008803312067273488,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C134,C134,normal,epithelial,1020,359.0,212.0,358.0,118.0,1.0,290.0,109.0,231.0,785.0,2463.0,0.32322150683994105,7,0.2802419025664371,2,0.3136704836680513,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C134,C134,tumor,epithelial,18,2.0,5.0,1.0,2.0,0.0,2.0,0.0,1.0,4.0,17.0,-0.4895600299880164,7,-0.76000842578466,2,-0.5496596734983816,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C135,C135,normal,epithelial,345,114.0,85.0,133.0,34.0,0.0,98.0,50.0,41.0,145.0,700.0,0.1837453227818329,7,-0.9692977689671736,2,-0.072486475384613,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C135,C135,tumor,epithelial,49,2.0,2.0,8.0,3.0,0.0,2.0,3.0,3.0,21.0,44.0,-0.1263645850127207,7,0.5486094430726389,2,0.02362964345069258,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C136,C136,normal,epithelial,1471,186.0,239.0,372.0,122.0,3.0,234.0,102.0,113.0,301.0,1672.0,0.5124118527579107,7,-1.0241847746050345,2,0.17094593556614507,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C136,C136,tumor,epithelial,23,1.0,4.0,6.0,4.0,0.0,4.0,3.0,8.0,22.0,52.0,-0.147755440408788,7,1.321849630298665,2,0.17882346419286826,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C137,C137,normal,epithelial,373,74.0,38.0,113.0,24.0,1.0,44.0,39.0,22.0,205.0,560.0,0.36712919993915866,7,-0.5311413654437064,2,0.1675135187429664,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C137,C137,tumor,epithelial,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,-5.028650533150615,7,2.1455708525261588,2,-3.434379114111332,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C138,C138,normal,epithelial,533,92.0,73.0,115.0,75.0,3.0,89.0,31.0,39.0,118.0,635.0,0.5462140300780772,7,-1.0869655621196048,2,0.1832852318119257,9
