ChemicalID,ChemicalName,canonical_name,synonyms,CasRN,PubChemCID,DTXSID,chemical_class,entity_type,parent_compound,metabolite_of,exposure_family
C535035,4-ethynylpyrene,4 ethynylpyrene,4-ethynylpyrene,,CID:54094439,,pahs,CTD entity,,,pahs
C558144,"ammonium 4,8-dioxa-3H-perfluorononanoate",ammonium 4 8 dioxa 3h perfluorononanoate,"ammonium 4,8-dioxa-3H-perfluorononanoate;PFAS;ammonium 4 8 dioxa 3h PFnonanoate",,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C582932,BRD73954,brd73954,BRD73954,,CID:71680913,,phthalates,CTD entity,,,phthalates
D000083462,Persistent Organic Pollutants,persistent organic pollutants,Persistent Organic Pollutants,,CID:5283499,,environmental_pollutants;persistent_organic_pollutants,umbrella exposure class,,,environmental_pollutants
D002586,Cesium,cesium,Cesium;7440-46-2,7440-46-2,CID:5354618,DTXSID5036767,heavy_metals,elemental species or metal compound,,,heavy_metals
D005659,"Fungicides, Industrial",fungicides industrial,"Fungicides, Industrial",,,,pesticides,CTD entity,,,pesticides
D007306,Insecticides,insecticides,Insecticides,,CID:107720,,pesticides,CTD entity,,,pesticides
D010165,Palladium,palladium,Palladium;7440-05-3,7440-05-3,CID:23938,DTXSID4064680,heavy_metals,elemental species or metal compound,,,heavy_metals
D010569,Perylene,perylene,Perylene;198-55-0,198-55-0,CID:9142,DTXSID4047753,pahs,CTD entity,,,pahs
D012238,Rhodium,rhodium,Rhodium;7440-16-6,7440-16-6,CID:23948,DTXSID3052480,heavy_metals,elemental species or metal compound,,,heavy_metals
D012413,Rubidium,rubidium,Rubidium;7440-17-7,7440-17-7,CID:5357696,DTXSID4064686,heavy_metals,elemental species or metal compound,,,heavy_metals
D012989,Soil Pollutants,soil pollutants,Soil Pollutants,,,,environmental_pollutants,umbrella exposure class,,,environmental_pollutants
D013324,Strontium,strontium,Strontium;7440-24-6,7440-24-6,CID:5359327,DTXSID3024312,heavy_metals,elemental species or metal compound,,,heavy_metals
D013667,Technetium,technetium,Technetium;7440-26-8,7440-26-8,CID:23957,DTXSID5075028,heavy_metals,elemental species or metal compound,,,heavy_metals
D014001,Tin,tin,Tin;7440-31-5,7440-31-5,,DTXSID1049801,heavy_metals,elemental species or metal compound,,,heavy_metals
D014414,Tungsten,tungsten,Tungsten;7440-33-7,7440-33-7,,DTXSID8052481,heavy_metals,elemental species or metal compound,,,heavy_metals
D015040,Zirconium,zirconium,Zirconium;7440-67-7,7440-67-7,CID:23995,DTXSID0049818,heavy_metals,elemental species or metal compound,,,heavy_metals
D017438,Bisphenol A-Glycidyl Methacrylate,bisphenol a glycidyl methacrylate,Bisphenol A-Glycidyl Methacrylate;1565-94-2;BPA,1565-94-2,,DTXSID7044841,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
D012834,Silver,silver,Silver;7440-22-4,7440-22-4,,DTXSID4024305,heavy_metals,elemental species or metal compound,,,heavy_metals
C074702,chromium hexavalent ion,chromium hexavalent ion,chromium hexavalent ion;18540-29-9,18540-29-9,CID:29131,DTXSID7023982,heavy_metals,elemental species or metal compound,,,heavy_metals
D015032,Zinc,zinc,Zinc;7440-66-6,7440-66-6,CID:23994,DTXSID7035012,heavy_metals,elemental species or metal compound,,,heavy_metals
C569492,cobalt ferrite,cobalt ferrite,cobalt ferrite,,,,heavy_metals,elemental species or metal compound,,,heavy_metals
C517284,monomethyl phthalate,monomethyl phthalate,monomethyl phthalate;phthalate;plasticizer,,CID:20392,,phthalates,phthalate parent or monoester metabolite,,,phthalates
C494622,CPS 49,cps 49,CPS 49,,CID:9905583,,phthalates,CTD entity,,,phthalates
C020809,tetrathiomolybdate,tetrathiomolybdate,tetrathiomolybdate;16330-92-0,16330-92-0,,DTXSID801318953,heavy_metals,elemental species or metal compound,,,heavy_metals
C028031,cadmium acetate,cadmium acetate,cadmium acetate;543-90-8,543-90-8,,DTXSID1020225,heavy_metals,elemental species or metal compound,,,heavy_metals
C576262,"bis(2-ethylhexyl) 2,3,4,5-tetrabromophthalate",bis 2 ethylhexyl 2 3 4 5 tetrabromophthalate,"bis(2-ethylhexyl) 2,3,4,5-tetrabromophthalate;phthalate;plasticizer",,CID:117291,,phthalates,phthalate parent or monoester metabolite,DEHP,DEHP,phthalates
C030935,benz(a)anthracene,benz a anthracene,benz(a)anthracene;56-55-3,56-55-3,CID:5954,DTXSID5023902,pahs,CTD entity,,,pahs
D000395,"Air Pollutants, Occupational",air pollutants occupational,"Air Pollutants, Occupational",,,,environmental_pollutants,umbrella exposure class,,,environmental_pollutants
C022838,nickel chloride,nickel chloride,nickel chloride;7718-54-9,7718-54-9,,DTXSID7040316,heavy_metals,elemental species or metal compound,,,heavy_metals
C006718,"1,12-benzoperylene",1 12 benzoperylene,"1,12-benzoperylene;191-24-2",191-24-2,CID:9117,DTXSID5023908,pahs,CTD entity,,,pahs
C494620,CPS 11,cps 11,CPS 11,,CID:9900574,,phthalates,CTD entity,,,phthalates
C026105,butylidenephthalide,butylidenephthalide,butylidenephthalide;551-08-6,551-08-6,,DTXSID9060281,phthalates,CTD entity,,,phthalates
C019273,bisphenol A diglycidyl ether,bisphenol a diglycidyl ether,bisphenol A diglycidyl ether;BPA,,CID:2286,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
D010575,Pesticides,pesticides,Pesticides,,,,pesticides,umbrella exposure class,,,pesticides
C047971,"2,4'-bisphenol F",2 4 bisphenol f,"2,4'-bisphenol F",,CID:75576,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C539348,perfluorobutanesulfonic acid,perfluorobutanesulfonic acid,perfluorobutanesulfonic acid;PFAS;PFbutanesulfonic acid,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C027387,di-n-hexyl phthalate,di n hexyl phthalate,di-n-hexyl phthalate;84-75-3;phthalate;plasticizer,84-75-3,,DTXSID6025068,phthalates,phthalate parent or monoester metabolite,,,phthalates
D014873,Water Pollutants,water pollutants,Water Pollutants,,,,environmental_pollutants,umbrella exposure class,,,environmental_pollutants
D014874,"Water Pollutants, Chemical",water pollutants chemical,"Water Pollutants, Chemical",,,,environmental_pollutants,umbrella exposure class,,,environmental_pollutants
C080276,mono(2-ethyl-5-oxohexyl)phthalate,mono 2 ethyl 5 oxohexyl phthalate,mono(2-ethyl-5-oxohexyl)phthalate;40321-98-0;phthalate;plasticizer,40321-98-0,CID:119096,DTXSID00865994,phthalates,phthalate parent or monoester metabolite,,,phthalates
D005411,Flame Retardants,flame retardants,Flame Retardants,,CID:136917,,flame_retardants,CTD entity,,,flame_retardants
C000720115,perfluoroheptanesulfonic acid,perfluoroheptanesulfonic acid,perfluoroheptanesulfonic acid;PFAS;PFheptanesulfonic acid,,,,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
D008628,Mercury,mercury,Mercury;7439-97-6,7439-97-6,CID:23931,DTXSID1024172,heavy_metals,elemental species or metal compound,,,heavy_metals
D052244,Endocrine Disruptors,endocrine disruptors,Endocrine Disruptors,,,,endocrine_disruptors,umbrella exposure class,,,endocrine_disruptors
C051450,2-ethyl-5-carboxypentyl phthalate,2 ethyl 5 carboxypentyl phthalate,2-ethyl-5-carboxypentyl phthalate;40809-41-4;phthalate;plasticizer,40809-41-4,,DTXSID20873152,phthalates,phthalate parent or monoester metabolite,,,phthalates
C031181,phenanthrene,phenanthrene,phenanthrene;85-01-8,85-01-8,CID:995,DTXSID6024254,pahs,CTD entity,,,pahs
C027235,gallium nitrate,gallium nitrate,gallium nitrate;13494-90-1,13494-90-1,CID:61635,DTXSID0043923,heavy_metals,elemental species or metal compound,,,heavy_metals
D012428,Ruthenium,ruthenium,Ruthenium;7440-18-8,7440-18-8,CID:23950,DTXSID9064687,heavy_metals,elemental species or metal compound,,,heavy_metals
C022921,benzo(k)fluoranthene,benzo k fluoranthene,benzo(k)fluoranthene;207-08-9,207-08-9,CID:9158,DTXSID0023909,pahs,CTD entity,,,pahs
C023036,perfluorooctanoic acid,perfluorooctanoic acid,perfluorooctanoic acid;335-67-1;PFAS;PFoctanoic acid,335-67-1,,DTXSID8031865,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C007738,fluoranthene,fluoranthene,fluoranthene;206-44-0,206-44-0,CID:9154,DTXSID3024104,pahs,CTD entity,,,pahs
C550717,nickel ferrite,nickel ferrite,nickel ferrite,,CID:16217731,,heavy_metals,elemental species or metal compound,,,heavy_metals
C041508,"indeno(1,2,3-cd)pyrene",indeno 1 2 3 cd pyrene,"indeno(1,2,3-cd)pyrene;193-39-5",193-39-5,CID:9131,DTXSID8024153,pahs,CTD entity,,,pahs
D006046,Gold,gold,Gold;7440-57-5,7440-57-5,CID:23985,DTXSID3064697,heavy_metals,elemental species or metal compound,,,heavy_metals
D002104,Cadmium,cadmium,Cadmium;7440-43-9,7440-43-9,CID:23973,DTXSID1023940,heavy_metals,elemental species or metal compound,,,heavy_metals
D003035,Cobalt,cobalt,Cobalt;7440-48-4,7440-48-4,CID:104730,DTXSID1031040,heavy_metals,elemental species or metal compound,,,heavy_metals
D000393,Air Pollutants,air pollutants,Air Pollutants,,,,environmental_pollutants,umbrella exposure class,,,environmental_pollutants
C543008,bisphenol S,bisphenol s,bisphenol S,,CID:6626,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C032121,7-methylbenzo(a)pyrene,7 methylbenzo a pyrene,7-methylbenzo(a)pyrene;63041-77-0,63041-77-0,CID:44368,DTXSID7049340,pahs,CTD entity,,,pahs
C015531,tetrafluoroethylene,tetrafluoroethylene,tetrafluoroethylene;116-14-3,116-14-3,CID:8301,DTXSID6021325,pfas_perfluoro,CTD entity,,,pfas_perfluoro
C006780,bisphenol A,bisphenol a,bisphenol A;80-05-7;BPA,80-05-7,,DTXSID7020182,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C006703,benzo(b)fluoranthene,benzo b fluoranthene,benzo(b)fluoranthene;205-99-2,205-99-2,CID:9153,DTXSID0023907,pahs,CTD entity,,,pahs
D010795,Phthalic Acids,phthalic acids,Phthalic Acids,,CID:37013,,phthalates,CTD entity,,,phthalates
D009532,Nickel,nickel,Nickel;7440-02-0,7440-02-0,CID:935,DTXSID2020925,heavy_metals,elemental species or metal compound,,,heavy_metals
C031180,chrysene,chrysene,chrysene;218-01-9,218-01-9,CID:9171,DTXSID0022432,pahs,CTD entity,,,pahs
D002857,Chromium,chromium,Chromium;7440-47-3,7440-47-3,CID:23976,DTXSID3031022,heavy_metals,elemental species or metal compound,,,heavy_metals
C061374,antimonite,antimonite,antimonite;39349-74-1,39349-74-1,,DTXSID001047938,heavy_metals,elemental species or metal compound,,,heavy_metals
C041517,"dibenzo(a,l)pyrene",dibenzo a l pyrene,"dibenzo(a,l)pyrene;191-30-0",191-30-0,CID:9119,DTXSID9059753,pahs,CTD entity,,,pahs
D004051,Diethylhexyl Phthalate,diethylhexyl phthalate,Diethylhexyl Phthalate;117-81-7;phthalate;plasticizer,117-81-7,,DTXSID5020607,phthalates,phthalate parent or monoester metabolite,DEHP,DEHP,phthalates
D007854,Lead,lead,Lead;7439-92-1,7439-92-1,,DTXSID2024161,heavy_metals,elemental species or metal compound,,,heavy_metals
C029938,nickel sulfate,nickel sulfate,nickel sulfate;7786-81-4,7786-81-4,,DTXSID6023787,heavy_metals,elemental species or metal compound,,,heavy_metals
C036567,perfluorodecanoic acid,perfluorodecanoic acid,perfluorodecanoic acid;335-76-2;PFAS;PFdecanoic acid,335-76-2,,DTXSID3031860,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C101816,perfluoro-n-nonanoic acid,perfluoro n nonanoic acid,perfluoro-n-nonanoic acid;375-95-1;PFAS;PF n nonanoic acid,375-95-1,,DTXSID8031863,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
D004785,Environmental Pollutants,environmental pollutants,Environmental Pollutants,,,,environmental_pollutants,umbrella exposure class,,,environmental_pollutants
C471071,perfluorohexanesulfonic acid,perfluorohexanesulfonic acid,perfluorohexanesulfonic acid;355-46-4;PFAS;PFhexanesulfonic acid,355-46-4,,DTXSID7040150,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
D008748,Methylcholanthrene,methylcholanthrene,Methylcholanthrene;56-49-5,56-49-5,CID:1674,DTXSID0020862,pahs,CTD entity,,,pahs
C018021,cobaltous chloride,cobaltous chloride,cobaltous chloride;7646-79-9,7646-79-9,CID:3032536,DTXSID9040180,heavy_metals,elemental species or metal compound,,,heavy_metals
D008345,Manganese,manganese,Manganese;7439-96-5,7439-96-5,CID:23930,DTXSID2024169,heavy_metals,elemental species or metal compound,,,heavy_metals
D014501,Uranium,uranium,Uranium;7440-61-1,7440-61-1,CID:23989,DTXSID1042522,heavy_metals,elemental species or metal compound,,,heavy_metals
C000611646,bisphenol F,bisphenol f,bisphenol F,,CID:12111,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C000655605,fluorene-9-bisphenol,fluorene 9 bisphenol,fluorene-9-bisphenol,,CID:76716,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C583074,bisphenol AF,bisphenol af,bisphenol AF;BPA,,CID:73864,,bisphenols;pfas_perfluoro,bisphenol or bisphenol-related compound,,,bisphenols
D001564,Benzo(a)pyrene,benzo a pyrene,Benzo(a)pyrene;50-32-8,50-32-8,CID:2336,DTXSID2020139,pahs,CTD entity,,,pahs
C492482,bisphenol B,bisphenol b,bisphenol B,,CID:66166,,bisphenols,bisphenol or bisphenol-related compound,,,bisphenols
C027561,butylbenzyl phthalate,butylbenzyl phthalate,butylbenzyl phthalate;85-68-7;phthalate;plasticizer,85-68-7,CID:2347,DTXSID3020205,phthalates,phthalate parent or monoester metabolite,BBzP,BBzP,phthalates
C103325,mono-benzyl phthalate,mono benzyl phthalate,mono-benzyl phthalate;2528-16-7;phthalate;plasticizer,2528-16-7,CID:31736,DTXSID9043938,phthalates,phthalate parent or monoester metabolite,BBzP,BBzP,phthalates
C028007,nickel monoxide,nickel monoxide,nickel monoxide;1313-99-1,1313-99-1,CID:179931,DTXSID7025710,heavy_metals,elemental species or metal compound,,,heavy_metals
D003300,Copper,copper,Copper;7440-50-8,7440-50-8,,DTXSID2023985,heavy_metals,elemental species or metal compound,,,heavy_metals
C028577,monobutyl phthalate,monobutyl phthalate,monobutyl phthalate;131-70-4;phthalate;plasticizer,131-70-4,CID:8575,DTXSID4040002,phthalates,phthalate parent or monoester metabolite,,,phthalates
C016599,mono-(2-ethylhexyl)phthalate,mono 2 ethylhexyl phthalate,mono-(2-ethylhexyl)phthalate;4376-20-9;phthalate;plasticizer,4376-20-9,CID:20393,DTXSID2025680,phthalates,phthalate parent or monoester metabolite,DEHP,DEHP,phthalates
C000611729,"ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-propanoate",ammonium 2 3 3 3 tetrafluoro 2 heptafluoropropoxy propanoate,"ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-propanoate",,,,pfas_perfluoro,CTD entity,,,pfas_perfluoro
D015127,"9,10-Dimethyl-1,2-benzanthracene",9 10 dimethyl 1 2 benzanthracene,"9,10-Dimethyl-1,2-benzanthracene;57-97-6",57-97-6,CID:6001,DTXSID1020510,pahs,CTD entity,,,pahs
C581825,monoethyl phthalate,monoethyl phthalate,monoethyl phthalate;phthalate;plasticizer,,CID:75318,,phthalates,phthalate parent or monoester metabolite,,,phthalates
D055549,Volatile Organic Compounds,volatile organic compounds,Volatile Organic Compounds,,,,vocs,CTD entity,,,vocs
C017461,lead nitrate,lead nitrate,lead nitrate;18256-98-9,18256-98-9,CID:24924,DTXSID2035069,heavy_metals,elemental species or metal compound,,,heavy_metals
C479069,mono(2-ethyl-5-hydroxyhexyl) phthalate,mono 2 ethyl 5 hydroxyhexyl phthalate,mono(2-ethyl-5-hydroxyhexyl) phthalate;phthalate;plasticizer,,CID:170295,,phthalates,phthalate parent or monoester metabolite,,,phthalates
C043055,gallium arsenide,gallium arsenide,gallium arsenide;1303-00-0,1303-00-0,,DTXSID2023779,heavy_metals,elemental species or metal compound,,,heavy_metals
C575690,mono-isobutyl phthalate,mono isobutyl phthalate,mono-isobutyl phthalate;phthalate;plasticizer,,CID:92272,,phthalates,phthalate parent or monoester metabolite,,,phthalates
C471400,monoisononylphthalate,monoisononylphthalate,monoisononylphthalate;phthalate;plasticizer,,,,phthalates,phthalate parent or monoester metabolite,DINP,DINP,phthalates
C076994,perfluorooctane sulfonic acid,perfluorooctane sulfonic acid,perfluorooctane sulfonic acid;1763-23-1;PFAS;PFoctane sulfonic acid,1763-23-1,,DTXSID3031864,pfas_perfluoro,PFAS or fluorinated compound,,,pfas_perfluoro
C026487,benzo(e)pyrene,benzo e pyrene,benzo(e)pyrene;192-97-2,192-97-2,CID:9128,DTXSID3023764,pahs,CTD entity,,,pahs
