database,DRUG_NAME,drug_key,n_trajectory_rows,n_trajectories_n20,n_trajectories_n30,max_crc_n,median_crc_n,any_trajectory_n20,any_trajectory_n30,three_trajectories_n20,three_trajectories_n30,all_four_trajectories_n20,primary_discovery_gate,SYNONYMS,TARGET,TARGET_PATHWAY,prism_name,prism_disease_area,prism_indication,prism_phase,prism_name_count_by_key,clinical_status,clinical_context,approved_nononcology_high_confidence,annotation_source
GDSC1,HG6-64-1,HG6641,6,6,6,31,30.0,True,True,True,True,True,TierB_moderate_candidate,KIN001-206,BRAF,ERK MAPK signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,I-BET-151,IBET151,6,6,6,39,38.0,True,True,True,True,True,none,GSK12100151A,"BRD2, BRD3, BRD4",Chromatin other,I-BET151,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,I-BET-762,IBET762,6,6,6,38,37.0,True,True,True,True,True,none,GSK525762A,"BRD2, BRD3, BRD4",Chromatin other,I-BET-762,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,I-CBP112,ICBP112,6,6,0,27,27.0,True,False,True,False,True,none,,"EP300, CBP",Chromatin histone acetylation,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,IAP_5620,IAP5620,6,6,6,39,38.0,True,True,True,True,True,none,SN1043546339,IAP,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,IAP_7638,IAP7638,6,6,6,38,37.0,True,True,True,True,True,none,SN1043547481,IAP,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,IC-87114,IC87114,6,6,6,38,37.0,True,True,True,True,True,none,,PI3Kdelta,PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,ICL1100013,ICL1100013,6,6,6,38,37.0,True,True,True,True,True,TierB_moderate_candidate,,N-myristoyltransferase 1/2,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,IGFR_3801,IGFR3801,6,6,6,39,38.0,True,True,True,True,True,none,SN1056768819,IGFR1,IGF1R signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,IMD-0354,IMD0354,6,6,6,38,37.0,True,True,True,True,True,none,,IKKb,"Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
