drug_key,platforms_tested,n_platforms_tested,GDSC1_DRUG_NAME,GDSC1_status,GDSC2_DRUG_NAME,GDSC2_status,PRISM_DRUG_NAME,PRISM_status,PRISM_median_background_rho,PRISM_global_empirical_q_value,PRISM_n_backgrounds_available,PRISM_n_positive_backgrounds,PRISM_n_positive_nonHCT116_backgrounds,PRISM_leave_HCT116_out_median_rho,PRISM_n_models_direction_consistent_ge3of4,PRISM_signature_robust_flag,PRISM_strict_database_gate,CTRPv2_DRUG_NAME,CTRPv2_status,strict_platforms,n_strict_gdsc_platforms,n_strict_external_platforms,replication_level,external_replication_flag,GDSC2_median_background_rho,GDSC2_global_empirical_q_value,GDSC2_n_backgrounds_available,GDSC2_n_positive_backgrounds,GDSC2_n_positive_nonHCT116_backgrounds,GDSC2_leave_HCT116_out_median_rho,GDSC2_n_models_direction_consistent_ge3of4,GDSC2_signature_robust_flag,GDSC2_strict_database_gate,CTRPv2_median_background_rho,CTRPv2_global_empirical_q_value,CTRPv2_n_backgrounds_available,CTRPv2_n_positive_backgrounds,CTRPv2_n_positive_nonHCT116_backgrounds,CTRPv2_leave_HCT116_out_median_rho,CTRPv2_n_models_direction_consistent_ge3of4,CTRPv2_signature_robust_flag,CTRPv2_strict_database_gate,GDSC1_median_background_rho,GDSC1_global_empirical_q_value,GDSC1_n_backgrounds_available,GDSC1_n_positive_backgrounds,GDSC1_n_positive_nonHCT116_backgrounds,GDSC1_leave_HCT116_out_median_rho,GDSC1_n_models_direction_consistent_ge3of4,GDSC1_signature_robust_flag,GDSC1_strict_database_gate
1PHENYLBIGUANIDE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,1-phenylbiguanide,tested,0.12104743083003953,0.0003439312137572485,4.0,3.0,3.0,0.1274703557312253,2.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
1S3RRSL3,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,"1S,3R-RSL-3",tested,,0,0,same_direction_or_underpowered,False,,,,,,,,,,-0.09030867630700776,0.00019996000799840029,4.0,2.0,1.0,-0.2556173526140155,0.0,False,False,,,,,,,,,
23DCPE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,"2,3-DCPE",tested,0.2008119658119658,0.05204954034068808,4.0,3.0,3.0,0.21777777777777776,3.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MECCPA,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,2'-MeCCPA,tested,-0.003520164046479836,0.0003439312137572485,4.0,2.0,2.0,0.006493506493506493,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2METHOXYESTRADIOL,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,2-methoxyestradiol,tested,0.16780418161488347,0.13903715285186563,4.0,4.0,3.0,0.19281963023246348,6.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3AMINOBENZAMIDE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,3-amino-benzamide,tested,0.043702435695246025,0.7162782803692627,4.0,3.0,2.0,0.020065793816178148,2.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3CLAHPC,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,3-Cl-AHPC,tested,,0,0,same_direction_or_underpowered,False,,,,,,,,,,-0.09810841332580467,0.00019996000799840029,4.0,2.0,2.0,0.04150197628458498,0.0,False,False,,,,,,,,,
3DEAZANEPLANOCINA,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,3-deazaneplanocin-A,tested,0.005714285714285713,0.9628647422853287,4.0,2.0,2.0,0.05006105006105006,3.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
3FLUOROBENZYLSPIPERONE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,3'-fluorobenzylspiperone,tested,-0.13656126482213438,0.0003439312137572485,4.0,0.0,0.0,-0.07961603613777528,2.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
44FLUOROBENZOYL14PHENYLBUTYLPIPERIDINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,tested,0.010183150183150184,0.9296776456544807,4.0,2.0,2.0,0.026862026862026864,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4CHLOROPHENYLGUANIDINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,4-chlorophenylguanidine,tested,0.03656126482213439,0.0003439312137572485,4.0,3.0,2.0,0.02964426877470356,2.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4E1RCAT,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,4E1RCat,tested,-0.16538461538461538,0.0003439312137572485,4.0,1.0,1.0,-0.08,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HYDROXYPHENAZONE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,4-hydroxy-phenazone,tested,0.004011857707509882,0.0003439312137572485,4.0,2.0,2.0,0.008893280632411068,2.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4IODO6PHENYLPYRIMIDINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,4-iodo-6-phenylpyrimidine,tested,0.08243929983060418,0.0003439312137572485,4.0,3.0,3.0,0.14737436476566912,3.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4METHYLGENISTEIN,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,4-methylgenistein,tested,-0.006211180124223604,0.0003439312137572485,4.0,2.0,1.0,-0.016374929418407683,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4METHYLHISTAMINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,4-methylhistamine,tested,0.03503670242800678,0.0003439312137572485,4.0,2.0,1.0,-0.0038961038961038965,3.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
4PYRIMIDINECARBONITRILE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,4-pyrimidinecarbonitrile,tested,-0.03630434782608695,0.0003439312137572485,4.0,0.0,0.0,-0.02260869565217391,1.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
50869,GDSC2,1,,not_tested_or_name_unmatched,50869,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,0.0239878542510121,0.0965058270397202,4.0,2.0,2.0,0.117408906882591,2.0,False,False,,,,,,,,,,,,,,,,,,
5AZACYTIDINE,GDSC2,1,,not_tested_or_name_unmatched,5-azacytidine,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,0.0563668710727534,0.0006043235797284,4.0,2.0,2.0,0.2411764705882353,1.0,True,False,,,,,,,,,,,,,,,,,,
5FLUOROURACIL,CTRPv2;GDSC1;GDSC2;PRISM,4,5-Fluorouracil,tested,5-Fluorouracil,tested,5-fluorouracil,tested,-0.17411067193675892,0.0003439312137572485,4.0,1.0,1.0,-0.11575381140598533,0.0,False,False,5-Fluorouracil,tested,,0,0,same_direction_or_underpowered,False,-0.1727609361113854,0.0853607056366504,4.0,1.0,1.0,-0.1016194331983805,0.0,False,False,-0.12122647467475053,0.00019996000799840029,4.0,1.0,0.0,-0.184981684981685,0.0,False,False,-0.1007404165298902,0.0002492038905651,4.0,2.0,2.0,0.0222854433380749,0.0,False,False
5HYDROXYMETHYLTOLTERODINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,5-hydroxymethyl-tolterodine,tested,-0.17098814229249013,0.0003439312137572485,4.0,1.0,1.0,-0.013913043478260868,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Z7OXOZEAENOL,GDSC1,1,(5Z)-7-Oxozeaenol,tested,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,0.0923131633657949,0.0481590756678596,4.0,3.0,3.0,0.1615384615384615,3.0,True,False
615590,GDSC2,1,,not_tested_or_name_unmatched,615590,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,0.0643396432870117,0.0853607056366504,4.0,3.0,3.0,0.0926797242586716,2.0,False,False,,,,,,,,,,,,,,,,,,
630600,GDSC2,1,,not_tested_or_name_unmatched,630600,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,0.0177125506072874,0.0965058270397202,4.0,2.0,2.0,0.1578947368421052,1.0,False,False,,,,,,,,,,,,,,,,,,
667880,GDSC2,1,,not_tested_or_name_unmatched,667880,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,0.1405186563081299,0.0616089171546221,4.0,3.0,3.0,0.2073531020899442,2.0,True,False,,,,,,,,,,,,,,,,,,
720427,GDSC2,1,,not_tested_or_name_unmatched,720427,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,-0.1191186125396651,0.0670799173498633,4.0,1.0,1.0,-0.1036218404639457,0.0,False,False,,,,,,,,,,,,,,,,,,
729189,GDSC2,1,,not_tested_or_name_unmatched,729189,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,-0.0516467884888937,0.0938478970872492,4.0,2.0,2.0,0.0189298610351241,0.0,False,False,,,,,,,,,,,,,,,,,,
741909,GDSC2,1,,not_tested_or_name_unmatched,741909,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,-0.065390086442718,0.0896685527759312,4.0,1.0,1.0,-0.0186234817813765,0.0,False,False,,,,,,,,,,,,,,,,,,
743380,GDSC2,1,,not_tested_or_name_unmatched,743380,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,-0.0966489769121348,0.0787999880338893,4.0,1.0,1.0,-0.1058704453441295,0.0,False,False,,,,,,,,,,,,,,,,,,
765771,GDSC2,1,,not_tested_or_name_unmatched,765771,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,0.0186836634205055,0.0965058270397202,4.0,2.0,2.0,0.1648976912134807,0.0,False,False,,,,,,,,,,,,,,,,,,
776928,GDSC2,1,,not_tested_or_name_unmatched,776928,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,0.0464848451690557,0.0965058270397202,4.0,2.0,2.0,0.1964109858846701,1.0,False,False,,,,,,,,,,,,,,,,,,
7AMINOCEPHALOSPORANICACID,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,7-aminocephalosporanic-acid,tested,-0.07262474367737524,0.0003439312137572485,4.0,1.0,1.0,-0.0038961038961038965,1.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
7HYDROXYSTAUROSPORINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,7-hydroxystaurosporine,tested,-0.29983277591973245,0.0003439312137572485,4.0,1.0,1.0,-0.2904347826086956,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
7NITROINDAZOLE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,7-nitroindazole,tested,-0.04065499717673632,0.0003439312137572485,4.0,2.0,2.0,0.0378317334839074,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
8HYDROXYPIPAT,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,8-hydroxy-PIPAT,tested,0.20818181818181813,0.0003439312137572485,4.0,3.0,2.0,0.34521739130434775,2.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
965D2,GDSC1,1,965-D2,tested,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,-0.0503557744937055,0.0002492038905651,4.0,2.0,2.0,0.1302681992337164,0.0,False,False
993D2,GDSC1,1,993-D2,tested,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,0.0035577449370552,0.0002492038905651,4.0,2.0,1.0,-0.0109469074986316,1.0,True,False
9AMINOACRIDINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,9-aminoacridine,tested,-0.03692307692307692,0.7734051614873875,4.0,2.0,2.0,0.037264957264957266,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
A366,GDSC2,1,,not_tested_or_name_unmatched,A-366,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,0.0878794761147702,0.0006043235797284,4.0,3.0,3.0,0.0906048906048906,3.0,False,False,,,,,,,,,,,,,,,,,,
A61603,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,A61603,tested,0.05782608695652173,0.0003439312137572485,4.0,3.0,2.0,0.021739130434782608,2.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
A674563,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,A-674563,tested,-0.057806324110671936,0.0003439312137572485,4.0,2.0,2.0,0.01482213438735178,2.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
A803467,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,A-803467,tested,-0.10902255639097744,0.0003439312137572485,4.0,1.0,1.0,-0.11428571428571428,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8301,GDSC1,1,A-83-01,tested,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,0.0139504165819955,0.0002492038905651,4.0,2.0,2.0,0.1191763191763191,1.0,False,False
AACOCF3,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,AACOCF3,tested,,0,0,same_direction_or_underpowered,False,,,,,,,,,,-0.03761392093420379,0.00019996000799840029,4.0,2.0,2.0,0.11393612140003029,0.0,True,False,,,,,,,,,
ABEMACICLIB,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,abemaciclib,tested,0.018142329581447222,0.8867803362404442,4.0,3.0,2.0,0.033868253578753504,3.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIRATERONEACETATE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,abiraterone-acetate,tested,-0.09624060150375939,0.0003439312137572485,4.0,2.0,2.0,0.007518796992481202,2.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT702,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,ABT-702,tested,0.1834782608695652,0.0003439312137572485,4.0,3.0,2.0,0.23478260869565212,2.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABT737,CTRPv2;GDSC2;PRISM,3,,not_tested_or_name_unmatched,ABT737,tested,ABT-737,tested,-0.06782608695652173,0.0003439312137572485,4.0,1.0,1.0,-0.08434782608695651,1.0,False,False,ABT-737,tested,,0,0,same_direction_or_underpowered,False,-0.043121056278951,0.0006043235797284,4.0,1.0,0.0,-0.0817376080533975,3.0,True,False,-0.08949941514242257,0.00019996000799840029,4.0,1.0,1.0,-0.1234432747292896,0.0,True,False,,,,,,,,,
ABT751,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,ABT-751,tested,-0.12974358974358974,0.08168366326734652,4.0,1.0,1.0,-0.08615384615384615,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC264613,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,AC-264613,tested,0.010384615384615381,0.12429135302265593,4.0,2.0,1.0,-0.06846153846153846,1.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC55649,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,AC55649,tested,,0,0,same_direction_or_underpowered,False,,,,,,,,,,-0.03134569803261239,0.00019996000799840029,4.0,2.0,1.0,-0.12931515002796792,1.0,False,False,,,,,,,,,
ACESULFAMEPOTASSIUM,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,acesulfame-potassium,tested,-0.05249163879598663,0.0003439312137572485,4.0,2.0,1.0,-0.14846153846153848,2.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACETALAX,GDSC2,1,,not_tested_or_name_unmatched,Acetalax,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,-0.0212277054382317,0.0965058270397202,4.0,2.0,1.0,-0.0736404420614946,1.0,False,False,,,,,,,,,,,,,,,,,,
ACETAZOLAMIDE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,acetazolamide,tested,-0.0815217391304348,0.0003439312137572485,4.0,1.0,1.0,-0.012845849802371542,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACETOPHENAZINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,acetophenazine,tested,0.0487012987012987,0.0003439312137572485,4.0,2.0,2.0,0.0974025974025974,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACETYLCYSTEINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,acetylcysteine,tested,0.000685618729096997,0.0003439312137572485,4.0,2.0,2.0,0.09615384615384616,3.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIPIMOX,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,acipimox,tested,-0.012307692307692311,0.1229458905266917,4.0,2.0,1.0,-0.06461538461538462,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIVICIN,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,acivicin,tested,-0.18802936194240544,0.0003439312137572485,4.0,0.0,0.0,-0.17108977978543197,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACY1215,GDSC1;PRISM,2,ACY-1215,tested,,not_tested_or_name_unmatched,ACY-1215,tested,-0.024347826086956518,0.0003439312137572485,4.0,1.0,1.0,-0.033913043478260865,1.0,False,False,,not_tested_or_name_unmatched,,0,0,Reject_opposite_direction,False,,,,,,,,,,,,,,,,,,,0.0248841959368275,0.0002492038905651,4.0,2.0,2.0,0.0509720246562351,2.0,False,False
ADAPALENE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,adapalene,tested,-0.02,0.0003439312137572485,4.0,2.0,1.0,-0.07739130434782608,2.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAPREV,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,adaprev,tested,-0.07871794871794871,0.09921303120075878,4.0,1.0,1.0,-0.0723076923076923,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEFOVIRDIPIVOXIL,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,adefovir-dipivoxil,tested,-0.10887351778656125,0.0003439312137572485,4.0,2.0,1.0,-0.23652173913043475,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADL5859,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,ADL5859,tested,-0.1163184641445511,0.0003439312137572485,4.0,1.0,1.0,-0.1518915866741954,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEE788,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,AEE788,tested,-0.17963015245623942,0.0003439312137572485,4.0,1.0,0.0,-0.1847826086956522,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEG3482,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,AEG3482,tested,0.0028595317725752505,0.0003439312137572485,4.0,2.0,1.0,-0.023846153846153843,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFATINIB,CTRPv2;GDSC1;GDSC2;PRISM,4,Afatinib,tested,Afatinib,tested,afatinib,tested,0.03991116202207507,0.11633948670983553,4.0,2.0,1.0,-0.07052036211706143,0.0,False,False,Afatinib,tested,,0,0,Reject_opposite_direction,False,-0.0156685099239656,0.8792908085049658,4.0,2.0,2.0,0.1328330206378987,0.0,False,False,-0.2045299145299145,0.00019996000799840029,4.0,1.0,0.0,-0.25076923076923074,0.0,False,False,-0.0376408797461429,0.065723161100264,4.0,1.0,1.0,-0.0659809607178028,0.0,False,False
AFOBAZOLE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,afobazole,tested,-0.07772727272727271,0.0003439312137572485,4.0,2.0,1.0,-0.1643478260869565,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFURESERTIB,GDSC2,1,,not_tested_or_name_unmatched,Afuresertib,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,-0.1209103840682788,0.0006043235797284,4.0,1.0,1.0,-0.0917496443812233,0.0,False,False,,,,,,,,,,,,,,,,,,
AGI5198,GDSC2,1,,not_tested_or_name_unmatched,AGI-5198,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,-0.1078710289236605,0.0006043235797284,4.0,0.0,0.0,-0.0976766239924134,0.0,False,False,,,,,,,,,,,,,,,,,,
AGI6780,GDSC1;GDSC2,2,AGI-6780,tested,AGI-6780,tested,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,Reject_opposite_direction,False,-0.0529055988940456,0.6041724988335666,4.0,1.0,1.0,-0.0512145748987854,0.0,False,False,,,,,,,,,,0.1043893517577728,0.0002492038905651,4.0,2.0,2.0,0.2211068211068211,1.0,True,False
AKTINHIBITORVIII,GDSC1,1,AKT inhibitor VIII,tested,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,0.0279844621949885,0.0002492038905651,4.0,2.0,2.0,0.1657183499288762,1.0,False,False
ALBENDAZOLE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,albendazole,tested,0.003478260869565217,0.0003439312137572485,4.0,2.0,2.0,0.03304347826086956,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXIDINE,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,alexidine,tested,0.025702075702075694,0.8451024748321364,4.0,2.0,1.0,-0.015262515262515262,1.0,True,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFACALCIDOL,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,alfacalcidol,tested,0.048461538461538445,0.11538256551024424,4.0,2.0,2.0,0.1569230769230769,2.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALISERTIBNAVITOCLAX21MOLMOL,CTRPv2,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,,,,,,,,,,Alisertib:navitoclax (2:1 mol/mol),tested,,0,0,same_direction_or_underpowered,False,,,,,,,,,,-0.08311965811965812,0.00019996000799840029,4.0,0.0,0.0,-0.107008547008547,1.0,False,False,,,,,,,,,
ALMOREXANT,PRISM,1,,not_tested_or_name_unmatched,,not_tested_or_name_unmatched,almorexant,tested,-0.2070158102766798,0.0003439312137572485,4.0,0.0,0.0,-0.1818181818181818,0.0,False,False,,not_tested_or_name_unmatched,,0,0,same_direction_or_underpowered,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
