module,tier,drug,n_pairs,n_datasets,n_trajectories,median_rho_state_vs_lnIC50,mean_rho_state_vs_lnIC50,fraction_negative_rho,min_pairwise_p,putative_target,pathway,drug_sensitivity_score,within_module_min_p_BH
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,CCT007093,10,2,5,0.04028522449575081,-0.05539811066126854,0.4,0.005307471802930068,PPM1D,Cell cycle,-0.016114089798300323,0.028118640075422825
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Erlotinib,5,1,5,0.08436371594266331,0.08834664624138308,0.2,0.30333485682378625,EGFR,EGFR signaling,-0.016872743188532664,0.3254991991804303
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,QS11,5,1,5,0.0435483870967742,0.011532258064516132,0.4,0.05477130066588475,ARFGAP1,Other,-0.01741935483870968,0.10048795162941403
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,MN-64,5,1,5,0.0878048780487805,0.06615384615384616,0.2,0.29165654230762295,"TNKS1, TNKS2",WNT signaling,-0.0175609756097561,0.31560307946551197
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Taselisib,5,1,5,0.04465290806754222,0.04866791744840526,0.4,0.2768536901284914,PI3K (beta sparing),PI3K/MTOR signaling,-0.017861163227016887,0.30471690947761154
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Avagacestat,10,2,5,0.045684803001876176,0.042280043448207766,0.4,0.06657270663731191,"Amyloid beta20, Amyloid beta40",Other,-0.01827392120075047,0.11135224998453054
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,DMOG,5,1,5,0.04637096774193549,-0.04483870967741936,0.4,0.007319056247452054,HIF-PH,Metabolism,-0.018548387096774196,0.03109086703463104
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,743380,5,1,5,0.04939271255060729,-0.0009716599190283448,0.4,0.18076847965112203,,Unclassified,-0.019757085020242916,0.22017772166037136
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,PD0325901,10,2,5,0.06597384389425467,0.03761351555960028,0.3,0.30566820426790475,"MEK1, MEK2",ERK MAPK signaling,-0.019792153168276403,0.32731970207021466
COESSENTIALITY::50::biological process:response to wounding,T2_subtype,Dinaciclib,5,1,5,0.05065666041275797,-0.04893058161350846,0.4,0.012700940283069593,"CDK1, CDK2, CDK5, CDK9",Cell cycle,-0.02026266416510319,0.04234964605751847
