module,collection,full_direction,full_consistency,full_median_nes,full_n_fdr_qval_025,trajectory_loo_GSE77932|HCT116_consistency,trajectory_loo_GSE77932|HCT116_direction,trajectory_loo_GSE77932|DLD1_consistency,trajectory_loo_GSE77932|DLD1_direction,trajectory_loo_GSE42387|HCT116_consistency,trajectory_loo_GSE42387|HCT116_direction,trajectory_loo_GSE42387|HT29_consistency,trajectory_loo_GSE42387|HT29_direction,trajectory_loo_GSE42387|LoVo_consistency,trajectory_loo_GSE42387|LoVo_direction,trajectory_loo_GSE119603|HCT116_consistency,trajectory_loo_GSE119603|HCT116_direction,trajectory_loo_min_consistency,trajectory_loo_all_same_direction,dataset_loo_GSE119603_n,dataset_loo_GSE119603_consistency,dataset_loo_GSE119603_direction,dataset_loo_GSE42387_n,dataset_loo_GSE42387_consistency,dataset_loo_GSE42387_direction,dataset_loo_GSE77932_n,dataset_loo_GSE77932_consistency,dataset_loo_GSE77932_direction,dataset_loo_min_consistency,dataset_loo_all_same_direction,robust_positive_or_negative
COESSENTIALITY::1042::,COESSENTIALITY,positive,0.5,0.19592325080769069,0,0.6,positive,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,positive,0.6,False,False
COESSENTIALITY::1043::biological process:protein heterooligomerization,COESSENTIALITY,positive,0.5,-0.4243127411608328,2,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1044::,COESSENTIALITY,positive,0.6666666666666666,0.5858355177468171,0,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,positive,0.6,positive,0.6,False,5,0.6,positive,3,1.0,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1045::biological process:positive regulation of protein serine/threonine kinase activity,COESSENTIALITY,positive,0.5,0.12089661070213115,1,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1046::,COESSENTIALITY,negative,0.8333333333333334,-0.9838903255952389,0,0.8,negative,0.8,negative,0.8,negative,0.8,negative,0.8,negative,1.0,negative,0.8,False,5,1.0,negative,3,0.6666666666666666,negative,4,0.75,negative,0.6666666666666666,False,False
COESSENTIALITY::1047::,COESSENTIALITY,positive,0.5,0.19353602003811599,0,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,negative,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,negative,4,0.5,positive,0.5,False,False
COESSENTIALITY::1048::,COESSENTIALITY,positive,0.6666666666666666,0.6058253553641673,0,0.6,positive,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.8,positive,0.6,False,5,0.8,positive,3,0.6666666666666666,positive,4,0.5,positive,0.5,False,False
COESSENTIALITY::1049::cellular component:perikaryon,COESSENTIALITY,positive,0.8333333333333334,1.2795600396917481,0,0.8,positive,0.8,positive,0.8,positive,0.8,positive,1.0,positive,0.8,positive,0.8,False,5,0.8,positive,3,1.0,positive,4,0.75,positive,0.75,False,False
COESSENTIALITY::104::cellular component:basal plasma membrane,COESSENTIALITY,positive,0.5,0.06307586115651831,0,0.6,positive,0.6,positive,0.6,positive,0.6,negative,0.6,negative,0.6,negative,0.6,False,5,0.6,negative,3,0.6666666666666666,negative,4,0.75,positive,0.6,False,False
COESSENTIALITY::1050::,COESSENTIALITY,positive,0.6666666666666666,0.5892830856773136,0,0.8,positive,0.6,positive,0.6,positive,0.6,positive,0.8,positive,0.6,positive,0.6,False,5,0.6,positive,3,0.6666666666666666,positive,4,0.75,positive,0.6,False,False
