platform,DRUG_NAME,drug_key,median_background_rho,global_empirical_q_value,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,leave_HCT116_out_median_rho,n_models_direction_consistent_ge3of4,signature_robust_flag,strict_database_gate
GDSC1,BAY-MPS1,BAYMPS1,0.0610290093048713,0.0002492038905651,4,2,2,0.1855500821018062,1,True,False
GDSC1,BIBF-1120,BIBF1120,-0.0514370645949593,0.0002492038905651,4,1,1,-0.0158843053579895,0,False,False
GDSC1,BIX02189,BIX02189,0.1053999343473027,0.0002492038905651,4,3,3,0.1842105263157894,5,True,True
GDSC1,BMS-345541,BMS345541,0.0303461356092934,0.0002492038905651,4,2,2,0.2034139402560454,0,True,False
GDSC1,BMS-536924,BMS536924,-0.0011543932596564,0.0762699423861451,4,2,2,0.100120363278258,0,False,False
GDSC1,BMS-754807,BMS754807,-0.1083426028921023,0.0002492038905651,4,1,1,-0.0963292547274749,0,False,False
GDSC1,BPTES,BPTES,0.0254048582995951,0.0715719784392031,4,3,2,0.0143724696356275,5,True,True
GDSC1,BX-912,BX912,0.0239449976292081,0.0002492038905651,4,2,2,0.1090564248458985,0,True,False
GDSC1,BX795,BX795,-0.0454006638217164,0.0002492038905651,4,1,1,-0.0381697486960644,0,True,False
GDSC1,Belinostat,BELINOSTAT,0.0558287610919189,0.0002492038905651,4,3,3,0.068983268983269,3,True,False
GDSC1,Bexarotene,BEXAROTENE,0.0641198553948832,0.0002492038905651,4,2,2,0.1528364849833147,1,True,False
GDSC1,Bicalutamide,BICALUTAMIDE,0.0971632563737826,0.0471837373139706,4,3,3,0.1281321807637597,6,True,True
GDSC1,Bleomycin,BLEOMYCIN,-0.0218784760845383,0.0002492038905651,4,2,2,0.0165322580645161,2,False,False
GDSC1,Bleomycin (10 uM),BLEOMYCIN10UM,-0.0401575664733559,0.065716343910705,4,2,2,0.0040485829959514,0,True,False
