gene,effect_size,logFC_low_minus_high,P,n_donor_group_pairs,direction,analysis_level,BH_FDR
BAIAP2,0.4490775504504678,0.5622924350405303,0.008363247133253515,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.030843008992877938
MX2,0.231016526490615,0.32280831965958223,0.00847448367332302,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03119296449476757
TBXAS1,0.538816881396277,0.5180602436143711,0.00847448367332302,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03119296449476757
CPEB2,-0.2803805327135396,-0.465589563983351,0.008484313822872002,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.031199061523990778
AGPAT3,-0.2958155269179299,-0.1912322584094657,0.00856206679600291,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03127407556013695
HES1,0.22855604478728075,0.3534740445397575,0.00856206679600291,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03127407556013695
MAP2K6,-0.4638841074679556,-0.34539858126234696,0.00856206679600291,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03127407556013695
NUMA1,0.15056309592397277,0.13779092503686508,0.00856206679600291,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03127407556013695
STARD7,-0.2911992504186127,-0.17987295960376398,0.00856206679600291,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03127407556013695
TRIP10,-0.3478695274357402,-0.22609755580237662,0.00856206679600291,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03127407556013695
VWA5A,-0.3333284500483069,-0.3997755393226302,0.00856206679600291,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03127407556013695
DUSP10,0.7247036528991955,0.49188775552113156,0.008682342712856768,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.031663277122305974
DEPDC1,0.0,0.6243791488044783,0.008685211199123489,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.031663277122305974
AOAH,-0.8463118826916007,-0.6006477753890711,0.008698904000977194,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.031682935660047665
AGER,0.2604248877582177,0.560035033595998,0.00882590938459905,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03208533540844295
SSTR2,0.48872672445359866,0.6488596187448067,0.008826199156108227,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03208533540844295
NLK,-0.48794485115965536,-0.36731803119111583,0.008853477415938543,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03215387563904607
CDK9,-0.3022206602511268,-0.368534214921899,0.008947360423917416,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03234097986561816
GPI,-0.10905283897745832,-0.3126782099971427,0.008947360423917416,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03234097986561816
HNRNPD,0.13835096697278892,0.041429263757226935,0.008947360423917416,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.03234097986561816
