dataset,DRUG_NAME,n_overlap,n_OXA_R_like,n_OXA_S_like,spearman_r,spearman_p,pearson_r,pearson_p,median_LN_IC50_R,median_LN_IC50_S,delta_R_minus_S,mannwhitney_p,collateral_sensitivity_direction,spearman_p_BH,pearson_p_BH,mannwhitney_p_BH
GDSC2,Axitinib,45,22,23,0.3727272727272727,0.01168345542210713,0.4409380624126599,0.002431933288348622,3.65876,3.2218,0.43696,0.09514217113273564,no,0.0195298526657549,0.004240293938659136,0.1414135002628639
GDSC2,BDF00022089a,45,23,22,0.472463768115942,0.0010490508228629025,0.5580142554801332,6.812696399928589e-05,4.802919,4.6387635,0.16415550000000056,0.19953529864253094,no,0.003101541563246842,0.0002797282315124217,0.24447568121967758
GDSC2,BDILV000379a,45,23,22,0.3258234519104084,0.028949579744257294,0.5192203080493808,0.0002575480752968583,4.847315,4.6049995,0.24231550000000013,0.4202110025452003,no,0.03859943965900972,0.0007139156281735531,0.4553680983756752
GDSC2,BDOCA000347a,45,23,22,0.3277997364953886,0.027934730413587242,0.4046780331345608,0.005827899685182886,3.52375,2.8586035,0.6651465000000001,0.3015509992122489,no,0.03742978656401837,0.00861515605635731,0.34318774805745483
GDSC2,BDP-00009066,41,20,21,0.4358885017421604,0.004389480179282577,0.5670452283615859,0.00011081849777910229,2.8585195,2.212314,0.6462054999999998,0.05863142958096207,no,0.009220798766294037,0.0003914627454015042,0.10260155452931508
GDSC2,BEN,45,23,22,0.5317523056653491,0.00017057805527705142,0.5777214702036583,3.246657252993533e-05,4.698662,3.133575,1.5650869999999997,0.0008797654414536944,no,0.0009279446207071597,0.0001839772443363002,0.007478006252356402
GDSC2,BI-2536,44,22,22,0.43749119097956307,0.0029808434450399883,0.5335596574059989,0.00019181929682280204,-0.5141965000000001,-1.636117,1.1219204999999999,0.035658521411834,no,0.007050342756964146,0.0005997109050092202,0.07831801047783446
GDSC2,BIBR-1532,41,20,21,0.5144599303135889,0.0005793570072682643,0.4564721148231801,0.0027015256574631497,5.6796955,5.125707,0.5539885,0.06220034373168631,no,0.002101134746359572,0.004621477854276583,0.10707907275328277
GDSC2,BMS-345541,46,23,23,0.6310823311748381,2.5780344580131167e-06,0.6955414342680198,8.095777748544798e-08,3.976604,2.782986,1.1936179999999998,9.209986896932963e-05,no,4.3826585786222985e-05,3.6700859126736414e-06,0.00357873776566538
GDSC2,BMS-536924,44,22,22,0.36673713883016207,0.01434073975675236,0.2963750580067484,0.05076377064628904,2.7234695,1.7063994999999998,1.0170700000000004,0.06538726330910159,no,0.02281100125050668,0.05695378864411739,0.11115834762547269
GDSC2,BMS-754807,46,23,23,0.44113475177304956,0.0021502159906079447,0.44790039710536916,0.0018001515083525977,1.637388,0.72987,0.907518,0.04326272780691069,no,0.00541535879116075,0.0033024698925541475,0.08886516879237708
