module,subtype,members,n_members,mean_nes_subtype,mean_nes_other,delta_nes_subtype_vs_other,subtype_direction
COESSENTIALITY::1054::biological process:response to organic substance,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.4215388945371732,-1.0373559523289326,1.4588948468661058,higher_vulnerability
COESSENTIALITY::1055::biological process:biomineral tissue development,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.5153029499136785,1.272794423941292,-2.7880973738549706,lower_vulnerability
COESSENTIALITY::1055::biological process:biomineral tissue development,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.272794423941292,-1.5153029499136785,2.7880973738549706,higher_vulnerability
COESSENTIALITY::1056::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.4188107167890518,0.18845912926305286,-1.6072698460521047,lower_vulnerability
COESSENTIALITY::1056::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.18845912926305286,-1.4188107167890518,1.6072698460521047,higher_vulnerability
"COESSENTIALITY::1057::biological process:nucleotide-excision repair, preincision complex assembly",cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.0500909613088332,0.5332411866891233,-1.5833321479979565,lower_vulnerability
"COESSENTIALITY::1057::biological process:nucleotide-excision repair, preincision complex assembly",cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.5332411866891233,-1.0500909613088332,1.5833321479979565,higher_vulnerability
"COESSENTIALITY::1058::biological process:nucleotide-excision repair, preincision complex assembly",cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.3823429141183312,0.3738257657579189,-0.7561686798762501,lower_vulnerability
"COESSENTIALITY::1058::biological process:nucleotide-excision repair, preincision complex assembly",cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.3738257657579189,-0.3823429141183312,0.7561686798762501,higher_vulnerability
COESSENTIALITY::1059::biological process:transcription by RNA polymerase III,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.5930286728298924,0.501913638986034,-2.0949423118159265,lower_vulnerability
COESSENTIALITY::1059::biological process:transcription by RNA polymerase III,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.501913638986034,-1.5930286728298924,2.0949423118159265,higher_vulnerability
COESSENTIALITY::105::cellular component:anchored component of membrane,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.7610452380377282,-0.6070787368218465,2.3681239748595746,higher_vulnerability
COESSENTIALITY::105::cellular component:anchored component of membrane,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.6070787368218465,1.7610452380377282,-2.3681239748595746,lower_vulnerability
COESSENTIALITY::1060::biological process:transcription by RNA polymerase III,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.269223217444707,1.224531918892527,-2.493755136337234,lower_vulnerability
COESSENTIALITY::1060::biological process:transcription by RNA polymerase III,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.224531918892527,-1.269223217444707,2.493755136337234,higher_vulnerability
COESSENTIALITY::1061::biological process:positive regulation of B cell proliferation,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.626063238670808,0.7284899603546985,-2.3545531990255064,lower_vulnerability
COESSENTIALITY::1061::biological process:positive regulation of B cell proliferation,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.7284899603546985,-1.626063238670808,2.3545531990255064,higher_vulnerability
COESSENTIALITY::1062::biological process:glucose homeostasis,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.7659792739884882,-0.7229715998115553,1.4889508738000434,higher_vulnerability
COESSENTIALITY::1062::biological process:glucose homeostasis,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.7229715998115553,0.7659792739884882,-1.4889508738000434,lower_vulnerability
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.8693316292928595,0.8109473052949735,0.058384323997885956,higher_vulnerability
