dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,normal,myeloid,114,2.0,1.0,0.0,0.0,1.0,11.0,4.0,4.0,27.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,tumor,endothelial,41,5.0,2.0,6.0,0.0,0.0,25.0,1.0,27.0,57.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,tumor,epithelial,366,112.0,75.0,203.0,39.0,0.0,125.0,52.0,70.0,305.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,tumor,fibroblast,31,1.0,2.0,1.0,0.0,0.0,7.0,1.0,7.0,31.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C122,C122,tumor,myeloid,251,5.0,18.0,19.0,1.0,1.0,35.0,70.0,7.0,60.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,normal,endothelial,89,3.0,1.0,12.0,1.0,0.0,36.0,3.0,15.0,77.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,normal,epithelial,975,295.0,208.0,343.0,89.0,0.0,243.0,135.0,102.0,404.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,normal,fibroblast,37,1.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,21.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,normal,myeloid,132,5.0,1.0,0.0,0.0,0.0,5.0,7.0,9.0,31.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,tumor,endothelial,89,6.0,4.0,7.0,0.0,0.0,42.0,1.0,30.0,78.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,tumor,epithelial,433,68.0,95.0,86.0,16.0,0.0,98.0,16.0,59.0,271.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,tumor,fibroblast,25,2.0,1.0,0.0,0.0,0.0,14.0,1.0,5.0,13.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C123,C123,tumor,myeloid,1328,93.0,123.0,64.0,0.0,3.0,404.0,914.0,205.0,816.0
