definition,n_paired_donors,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,p_value,direction,donor_consistency,gene,in_frozen_core,in_kegg_ppar,in_reactome_pparalpha,in_peroxisomal_lipid,PPAR_family,pathway_membership,module,median_delta,P,BH_FDR
ECI1,36,-0.4323492265399861,-0.2402995328507309,0.0003594935988076031,down,0.7777777777777778,ECI1,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,other_ppar_pathway,-0.2402995328507309,0.0003594935988076031,0.0010163864475378596
ECI2,36,-0.8453646786320885,-0.5489851372558072,8.471510955132544e-05,down,0.7222222222222222,ECI2,False,False,False,True,PPAR_related,Reactome peroxisomal lipid metabolism;Hallmark fatty acid metabolism,peroxisome,-0.5489851372558072,8.471510955132544e-05,0.00026884080684145113
EHHADH,36,-0.9983639460304864,-0.7797749853165716,6.024492904543877e-09,down,0.9722222222222222,EHHADH,False,True,False,True,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome peroxisomal lipid metabolism;Hallmark fatty acid metabolism,fatty_acid_oxidation,-0.7797749853165716,6.024492904543877e-09,5.85505404160358e-08
ELOVL5,36,0.8571798545203277,0.9693581740707025,0.000714874971890822,up,0.7222222222222222,ELOVL5,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.9693581740707025,0.000714874971890822,0.0018841196293054717
ENO2,36,2.2092107696068797,2.1616229281224717,1.3009412214159966e-08,up,0.9166666666666666,ENO2,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,2.1616229281224717,1.3009412214159966e-08,1.0934938374604728e-07
ENO3,36,-0.16453870125770345,0.017836888845591092,0.45705895287007114,up,0.5,ENO3,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.017836888845591092,0.45705895287007114,0.5425394440556951
EPHX1,36,-0.79320923815113,-0.5877571209582177,1.458160113543272e-06,down,0.8611111111111112,EPHX1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.5877571209582177,1.458160113543272e-06,6.976735312491656e-06
ERP29,36,0.11640503052790674,0.06783666009197775,0.024941622250480577,up,0.6388888888888888,ERP29,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.06783666009197775,0.024941622250480577,0.04148045197807198
ERRFI1,36,0.1745261535600966,0.2769070284576194,0.20868471689755097,up,0.6666666666666666,ERRFI1,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.2769070284576194,0.20868471689755097,0.2797454610135274
ESR1,36,0.1388281819232879,0.0,0.15485982528200376,flat,0.1388888888888889,ESR1,False,False,False,False,PPAR_related,Reactome nuclear receptor transcription,other_ppar_pathway,0.0,0.15485982528200376,0.2140506918342363
ESR2,36,-0.06304519534502062,0.0,0.5633423630007264,flat,0.3888888888888889,ESR2,False,False,False,False,PPAR_related,Reactome nuclear receptor transcription,other_ppar_pathway,0.0,0.5633423630007264,0.6370889996117305
ETFDH,36,-0.8999385200803274,-0.4699268649162536,5.922629497945309e-08,down,0.8888888888888888,ETFDH,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.4699268649162536,5.922629497945309e-08,4.186222213320434e-07
ETHE1,36,-0.8741772601874122,-0.8553279129355853,1.4551915228366852e-10,down,0.9722222222222222,ETHE1,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.8553279129355853,1.4551915228366852e-10,3.4812658738631468e-09
FABP1,36,-2.114032607473868,-1.1318325957560944,1.2514647096395493e-09,down,0.9444444444444444,FABP1,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism;Enterocyte metabolic differentiation,fatty_acid_uptake,-1.1318325957560944,1.2514647096395493e-09,1.76911602135409e-08
FABP2,36,-1.0394266819572442,-0.5389356649644843,0.00021585807553492486,down,0.7222222222222222,FABP2,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling;Hallmark fatty acid metabolism;Enterocyte metabolic differentiation,fatty_acid_uptake,-0.5389356649644843,0.00021585807553492486,0.0006517656455472002
FABP3,36,-0.9857826200969241,-1.2225620687513463,0.0003140677691514503,down,0.8611111111111112,FABP3,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,fatty_acid_uptake,-1.2225620687513463,0.0003140677691514503,0.0009043988537601948
FABP4,36,-0.7043155097018041,0.0,0.0007795932575314031,flat,0.4722222222222222,FABP4,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,fatty_acid_uptake,0.0,0.0007795932575314031,0.00202044585910222
FABP5,36,-1.0172258169594448,-1.0325099339679271,2.297310857102275e-06,down,0.8888888888888888,FABP5,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling;Hallmark cholesterol homeostasis,fatty_acid_uptake,-1.0325099339679271,2.297310857102275e-06,1.050681877292364e-05
FADS2,36,1.5152854682010473,1.0828949763977835,1.3705630970686292e-05,up,0.6666666666666666,FADS2,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling;Hallmark cholesterol homeostasis,lipid_synthesis_or_handling,1.0828949763977835,1.3705630970686292e-05,5.328064039854296e-05
FASN,36,0.336968872933315,0.43239489087308325,0.012085462658433244,up,0.6944444444444444,FASN,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism;Hallmark cholesterol homeostasis,other_ppar_pathway,0.43239489087308325,0.012085462658433244,0.022240111756051707
FBXO6,36,0.38458782571475475,0.6086362501220994,0.0019591173622757196,up,0.8333333333333334,FBXO6,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.6086362501220994,0.0019591173622757196,0.004581093982464277
FDFT1,36,0.086258543489375,-0.06443110609696978,0.6357367984892335,down,0.5833333333333334,FDFT1,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation;Hallmark cholesterol homeostasis,other_ppar_pathway,-0.06443110609696978,0.6357367984892335,0.7011139869863532
FDPS,36,0.4227777253237061,0.3853930308341811,0.002783855190500617,up,0.6111111111111112,FDPS,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.3853930308341811,0.002783855190500617,0.0063660217959242045
FH,36,-0.37016758437221975,-0.25020052406161497,0.009480974142206833,down,0.6388888888888888,FH,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.25020052406161497,0.009480974142206833,0.017870199746826212
FHL2,36,0.6483531332046726,0.6145074427368775,1.4609657227993011e-05,up,0.8333333333333334,FHL2,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.6145074427368775,1.4609657227993011e-05,5.609386910994847e-05
FMO1,36,0.0028972065454612094,0.0,0.4445867389117455,flat,0.19444444444444445,FMO1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.4445867389117455,0.529756612266486
G0S2,36,0.700127122728276,0.9594713834605748,0.0146672584924668,up,0.7222222222222222,G0S2,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism,other_ppar_pathway,0.9594713834605748,0.0146672584924668,0.026065813663755284
GABARAPL1,36,-0.20514647982792575,0.1032711798748116,0.6468730494088959,up,0.5555555555555556,GABARAPL1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.1032711798748116,0.6468730494088959,0.7070075802492272
GAD2,36,0.08731105050867377,0.0,0.6547208460185769,flat,0.027777777777777776,GAD2,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.6547208460185769,0.7070075802492272
GAPDHS,36,-0.01345555533120017,0.0,0.17971249487899976,flat,0.05555555555555555,GAPDHS,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.17971249487899976,0.2440636939186416
GCDH,36,0.07309596058860188,0.2090046696642276,0.37916652829153463,up,0.5555555555555556,GCDH,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.2090046696642276,0.37916652829153463,0.45883575991699327
GK,36,-0.433385418983084,-0.15003333600997193,0.26481863399385475,down,0.5555555555555556,GK,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,other_ppar_pathway,-0.15003333600997193,0.26481863399385475,0.3417369094277545
GLDC,36,-0.2593730863281476,0.0,0.004137207994643546,flat,0.4722222222222222,GLDC,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.0,0.004137207994643546,0.008845071318433345
GLIPR1,36,0.2419934326688187,0.36325725663284936,0.25402170950909575,up,0.5555555555555556,GLIPR1,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.36325725663284936,0.25402170950909575,0.32916979857220324
GLUL,36,-0.17124405508408203,0.011821720388162316,0.9938101398292929,up,0.5555555555555556,GLUL,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.011821720388162316,0.9938101398292929,1.0
GNAI1,36,-0.8770765170517123,-0.644907603309501,6.088233203627169e-05,down,0.8055555555555556,GNAI1,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.644907603309501,6.088233203627169e-05,0.00020142984322638828
GPD1,36,-0.4253060518127892,-0.516617037803728,0.028177577287018626,down,0.5833333333333334,GPD1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.516617037803728,0.028177577287018626,0.046366277969644404
GPD2,36,-0.6169027129659048,-0.3971525883600273,0.00047593904309906065,down,0.8055555555555556,GPD2,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.3971525883600273,0.00047593904309906065,0.0013215807357482845
GPX8,36,0.9428155916204486,1.3031449369419363,0.004152348593219513,up,0.6944444444444444,GPX8,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,1.3031449369419363,0.004152348593219513,0.008845071318433345
GRHPR,36,0.17753992679242336,0.141273829785856,0.05987912529963069,up,0.6111111111111112,GRHPR,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.141273829785856,0.05987912529963069,0.09128631356953502
GSTM2,36,0.006298982517278177,0.0,0.7332713908212207,flat,0.25,GSTM2,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.0,0.7332713908212207,0.7783187800184288
GSTZ1,36,-0.36174464509230647,-0.3195191395816763,0.00390236361999996,down,0.7222222222222222,GSTZ1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.3195191395816763,0.00390236361999996,0.008486958642097815
GUSB,36,0.061475736726259056,0.09594723764939506,0.047779093438293785,up,0.6388888888888888,GUSB,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.09594723764939506,0.047779093438293785,0.07466983949401691
H2AZ1,36,0.2609699758690725,0.27808852129958694,0.0005845052655786276,up,0.7777777777777778,H2AZ1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.27808852129958694,0.0005845052655786276,0.0015945713824118699
HADH,36,-0.9253788849172953,-0.7738696299824688,7.363269105553627e-09,down,0.9166666666666666,HADH,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,other_ppar_pathway,-0.7738696299824688,7.363269105553627e-09,6.939323308567207e-08
HADHA,36,-0.4772451249419018,-0.44433563652017805,4.0745362639427185e-10,down,0.9444444444444444,HADHA,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation,fatty_acid_oxidation,-0.44433563652017805,4.0745362639427185e-10,8.447871853907904e-09
HADHB,36,-0.6339289868285588,-0.5412059985824516,9.604264050722122e-10,down,0.9444444444444444,HADHB,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,fatty_acid_oxidation,-0.5412059985824516,9.604264050722122e-10,1.4223457713212284e-08
HAO2,36,-0.0013818713923327425,0.0,0.6547208460185769,flat,0.027777777777777776,HAO2,False,False,False,True,PPAR_related,Reactome peroxisomal lipid metabolism;Hallmark fatty acid metabolism,peroxisome,0.0,0.6547208460185769,0.7070075802492272
HCCS,36,-0.3489192137698676,-0.25423606308470603,0.012085462658433244,down,0.75,HCCS,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.25423606308470603,0.012085462658433244,0.022240111756051707
HDAC3,36,0.13244669030664669,0.19532882200102364,0.0015379003889393061,up,0.75,HDAC3,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.19532882200102364,0.0015379003889393061,0.0036510459615276655
HELZ2,36,0.15420179352703484,0.4403849037547025,0.08840414276346564,up,0.7222222222222222,HELZ2,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.4403849037547025,0.08840414276346564,0.12859626904848237
HIBCH,36,-0.38319063943901516,-0.27260647360314705,0.0007638119859620929,down,0.75,HIBCH,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.27260647360314705,0.0007638119859620929,0.001996180904489167
HMGCL,36,-0.6071802897432376,-0.4378009530031868,5.922629497945309e-08,down,0.8888888888888888,HMGCL,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.4378009530031868,5.922629497945309e-08,4.186222213320434e-07
HMGCR,36,-0.6843423315789122,-0.568895472417378,2.5279587134718895e-07,down,0.8888888888888888,HMGCR,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation;Hallmark cholesterol homeostasis,other_ppar_pathway,-0.568895472417378,2.5279587134718895e-07,1.5723903197795152e-06
HMGCS1,36,0.23869085794227118,0.129820887010335,0.181412478297716,up,0.5833333333333334,HMGCS1,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism;Hallmark cholesterol homeostasis,lipid_synthesis_or_handling,0.129820887010335,0.181412478297716,0.24530122065473772
HMGCS2,36,-2.804217761276367,-2.2156469588368912,2.9103830456733704e-11,down,1.0,HMGCS2,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism,lipid_synthesis_or_handling,-2.2156469588368912,2.9103830456733704e-11,1.5085485453406968e-09
HNF4A,36,-0.6943328804892508,-0.49689756813954133,9.92763671092689e-06,down,0.8611111111111112,HNF4A,False,False,False,False,PPAR_related,Reactome nuclear receptor transcription,other_ppar_pathway,-0.49689756813954133,9.92763671092689e-06,3.908221540630712e-05
HPGD,36,-1.652788697799813,-1.0279104817623574,6.912159733474255e-08,down,0.8888888888888888,HPGD,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-1.0279104817623574,6.912159733474255e-08,4.777070393578874e-07
HSD17B10,36,0.0358635195412356,0.06039089521447494,0.7621397360926494,up,0.5277777777777778,HSD17B10,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.06039089521447494,0.7621397360926494,0.8007616821784255
HSD17B11,36,-0.7132908207244606,-0.692768242824692,1.4551915228366852e-10,down,0.9444444444444444,HSD17B11,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.692768242824692,1.4551915228366852e-10,3.4812658738631468e-09
HSD17B4,36,-0.3427447857249661,-0.15363650619005575,0.004123038903344423,down,0.7222222222222222,HSD17B4,False,False,False,True,PPAR_related,Reactome peroxisomal lipid metabolism;Hallmark fatty acid metabolism,peroxisome,-0.15363650619005575,0.004123038903344423,0.008845071318433345
HSD17B7,36,0.4266388725191401,0.48472670063119305,0.009022970451042056,up,0.7222222222222222,HSD17B7,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism;Hallmark cholesterol homeostasis,other_ppar_pathway,0.48472670063119305,0.009022970451042056,0.01721560619800049
HSDL2,36,-0.29683662407100386,-0.2186837431695272,0.02005367778474465,down,0.6388888888888888,HSDL2,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.2186837431695272,0.02005367778474465,0.0346482988391977
HSP90AA1,36,0.4977142007080489,0.46288646604168493,5.922629497945309e-08,up,0.9166666666666666,HSP90AA1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.46288646604168493,5.922629497945309e-08,4.186222213320434e-07
HSPH1,36,0.8201286327033686,0.851966832031025,1.8343562260270119e-06,up,0.9166666666666666,HSPH1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.851966832031025,1.8343562260270119e-06,8.643708883248495e-06
IDH1,36,-0.4200174468504561,-0.3512914559366993,0.0008157367119565606,down,0.75,IDH1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.3512914559366993,0.0008157367119565606,0.0020794599788400846
IDH3B,36,-0.20407532939070647,-0.2680549342838576,0.014591872226446867,down,0.75,IDH3B,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.2680549342838576,0.014591872226446867,0.026065813663755284
IDH3G,36,-0.15870736911991695,-0.09488899748191137,0.007377402711426839,down,0.75,IDH3G,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.09488899748191137,0.007377402711426839,0.014521343311732575
IDI1,36,-0.07791845608331685,-0.13398638114862393,0.34612222894793376,down,0.6388888888888888,IDI1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism;Hallmark cholesterol homeostasis,other_ppar_pathway,-0.13398638114862393,0.34612222894793376,0.4254704079162348
IL4I1,36,0.4665098682249443,0.0,0.004249712772041343,flat,0.16666666666666666,IL4I1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.004249712772041343,0.008990888925883386
ILK,36,0.2697497978485712,0.2431145774917831,0.007377402711426839,up,0.6944444444444444,ILK,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,other_ppar_pathway,0.2431145774917831,0.007377402711426839,0.014521343311732575
INMT,36,-0.41472218569498887,-0.3382286357046292,0.007100609066184297,down,0.6111111111111112,INMT,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.3382286357046292,0.007100609066184297,0.014155701407585361
JAG1,36,-0.20808209704468128,-0.1916233770158735,0.3877139012911357,down,0.5833333333333334,JAG1,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.1916233770158735,0.3877139012911357,0.4655560745233328
KMT5A,36,-0.1337962786637382,-0.06634845484697083,0.5189232948468998,down,0.5277777777777778,KMT5A,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.06634845484697083,0.5189232948468998,0.5999447758267131
LDHA,36,0.4539225681885182,0.3653483974911613,4.886940587311983e-06,up,0.8333333333333334,LDHA,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.3653483974911613,4.886940587311983e-06,2.0819705789781188e-05
LDLR,36,0.3023765111666851,0.3282006324825817,0.01392684379243292,up,0.6944444444444444,LDLR,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.3282006324825817,0.01392684379243292,0.025181676857247894
LGALS1,36,1.2578164030136256,1.1665251353303558,2.1232612198218703e-05,up,0.7222222222222222,LGALS1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,1.1665251353303558,2.1232612198218703e-05,7.768638110171785e-05
LGALS3,36,-0.43904502605602347,-0.4249229888959487,4.721074947156012e-05,down,0.75,LGALS3,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.4249229888959487,4.721074947156012e-05,0.00015787680737263654
LGMN,36,0.04099449083351779,0.08312633792349367,0.41403430147329345,up,0.5555555555555556,LGMN,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.08312633792349367,0.41403430147329345,0.495248722146901
LPL,36,0.6070356537107392,0.0,0.0018714329102470324,flat,0.027777777777777776,LPL,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling;Hallmark cholesterol homeostasis,other_ppar_pathway,0.0,0.0018714329102470324,0.004409209356718387
LSS,36,-0.03684932788869085,0.012996108320071365,0.7740053430898115,up,0.5,LSS,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.012996108320071365,0.7740053430898115,0.8104904434374793
LTC4S,36,-0.19099530503462026,0.0,0.36688405153475456,flat,0.4444444444444444,LTC4S,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.0,0.36688405153475456,0.44745466677375945
MAL2,36,-0.021415902600348993,-0.16508299122952996,0.4989104079431854,down,0.5833333333333334,MAL2,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.16508299122952996,0.4989104079431854,0.5833125446253032
MAOA,36,-1.1478318691927842,-0.8708522453189214,2.0372681319713593e-10,down,0.9444444444444444,MAOA,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.8708522453189214,2.0372681319713593e-10,4.525645636022091e-09
MCAT,36,-0.06975660166757017,0.0011125474349400477,0.9938101398292929,up,0.5,MCAT,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation,other_ppar_pathway,0.0011125474349400477,0.9938101398292929,1.0
MCEE,36,-0.11405576105965344,0.1404953157537343,0.2927546169667039,up,0.6111111111111112,MCEE,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation;Hallmark fatty acid metabolism,other_ppar_pathway,0.1404953157537343,0.2927546169667039,0.3731421552321513
MDH1,36,-0.3481963002389786,-0.39446608850204834,7.807108340784907e-05,down,0.8333333333333334,MDH1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.39446608850204834,7.807108340784907e-05,0.00025558007305095855
MDH2,36,-0.04378311162911181,-0.052741139028861905,0.3542106300010346,down,0.6388888888888888,MDH2,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.052741139028861905,0.3542106300010346,0.4336988422453612
ME1,36,0.486291070104647,0.6656995119307181,0.018340019683819264,up,0.7222222222222222,ME1,False,True,True,False,PPAR_related,KEGG hsa03320 PPAR signaling;Reactome PPAR-alpha lipid regulation;Hallmark fatty acid metabolism,lipid_synthesis_or_handling,0.6656995119307181,0.018340019683819264,0.0320435175374595
ME3,36,-0.9070634205061991,-0.555108504815059,1.2977689038962126e-06,down,0.8333333333333334,ME3,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,other_ppar_pathway,-0.555108504815059,1.2977689038962126e-06,6.306345767370658e-06
MED15,36,0.06336713203799704,0.18631996746702129,0.21446940102032386,up,0.6111111111111112,MED15,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.18631996746702129,0.21446940102032386,0.2862660245378572
MED24,36,-0.329187842420529,-0.1622026384171189,0.08840414276346564,down,0.5555555555555556,MED24,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,-0.1622026384171189,0.08840414276346564,0.12859626904848237
MED4,36,-0.08703833076189588,-0.031024173306885228,0.7859226790606044,down,0.5,MED4,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,-0.031024173306885228,0.7859226790606044,0.8174647263807624
METAP1,36,-0.3947112460939577,-0.3246775260912922,8.471510955132544e-05,down,0.8333333333333334,METAP1,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.3246775260912922,8.471510955132544e-05,0.00026884080684145113
MGLL,36,-0.6108285863568507,-0.40246064550837124,1.2977689038962126e-06,down,0.8333333333333334,MGLL,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.40246064550837124,1.2977689038962126e-06,6.306345767370658e-06
MIF,36,1.150069130528444,1.1112584646655046,7.275957614183426e-10,up,0.9444444444444444,MIF,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,1.1112584646655046,7.275957614183426e-10,1.3310722458888502e-08
MIX23,36,0.42975361875779544,0.4170665300816352,0.0008708080276846886,up,0.7222222222222222,MIX23,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.4170665300816352,0.0008708080276846886,0.002184042714596275
MLYCD,36,-0.5971715108894002,-0.45042175769095283,0.008164219470927492,down,0.6388888888888888,MLYCD,False,False,False,True,PPAR_related,Reactome peroxisomal lipid metabolism;Hallmark fatty acid metabolism,peroxisome,-0.45042175769095283,0.008164219470927492,0.015673285527521296
MMP1,36,1.9651488306664175,2.1168834063886743,2.5232121796675605e-05,up,0.75,MMP1,False,True,False,False,PPAR_related,KEGG hsa03320 PPAR signaling,other_ppar_pathway,2.1168834063886743,2.5232121796675605e-05,9.10941720806362e-05
MVD,36,-0.08157622676836544,0.04053442991063472,0.9073552150803152,up,0.5277777777777778,MVD,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.04053442991063472,0.9073552150803152,0.9252048258687805
MVK,36,-0.08319373963320424,0.14727904295865168,0.7503284176054876,up,0.5277777777777778,MVK,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,0.14727904295865168,0.7503284176054876,0.7937147546779137
NBN,36,0.11395166629428344,0.24953551197731194,0.0667966004111804,up,0.6666666666666666,NBN,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,0.24953551197731194,0.0667966004111804,0.1008434113003743
NCAPH2,36,-0.24996586342762595,-0.0034729532621822212,0.37916652829153463,down,0.5,NCAPH2,False,False,False,False,PPAR_related,Hallmark fatty acid metabolism,other_ppar_pathway,-0.0034729532621822212,0.37916652829153463,0.45883575991699327
NCOA3,36,0.06871094397279577,0.020607874013527816,0.560126525873784,up,0.5277777777777778,NCOA3,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.020607874013527816,0.560126525873784,0.6357640494406819
NCOR2,36,0.10778344543905735,0.14227420681156921,0.09779572318075225,up,0.6388888888888888,NCOR2,False,False,True,False,PPAR_related,Reactome nuclear receptor transcription;Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.14227420681156921,0.09779572318075225,0.14146265074053
NDUFAB1,36,-0.2903650969224598,-0.30743391855982427,0.0011994246451649815,down,0.8333333333333334,NDUFAB1,False,False,False,False,PPAR_related,Reactome mitochondrial fatty-acid beta oxidation,other_ppar_pathway,-0.30743391855982427,0.0011994246451649815,0.0028916361600489085
NFIL3,36,-0.2990889014885442,-0.07781311135265812,0.23873194330371916,down,0.5277777777777778,NFIL3,False,False,False,False,PPAR_related,Hallmark cholesterol homeostasis,other_ppar_pathway,-0.07781311135265812,0.23873194330371916,0.3119564469220868
NFYA,36,-0.129380976150775,0.0751802828161805,0.4890561629727017,up,0.5277777777777778,NFYA,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.0751802828161805,0.4890561629727017,0.5739489308849443
NFYB,36,0.27975762536802307,0.22740148143894068,0.0008157367119565606,up,0.6944444444444444,NFYB,False,False,True,False,PPAR_related,Reactome PPAR-alpha lipid regulation,other_ppar_pathway,0.22740148143894068,0.0008157367119565606,0.0020794599788400846
