module,gene,n_models,n_up,n_down,sign_concordance,median_delta_gene,mean_delta_gene
UPR_total_hallmark,EXOSC4,6,3,3,0.5,0.03795343636778267,-0.3906204989491107
UPR_total_hallmark,NOP56,6,3,3,0.5,0.02692144425393171,0.06632095752673799
UPR_total_hallmark,XBP1,6,3,3,0.5,0.02011459182538622,-0.14633167615333617
UPR_total_hallmark,PDIA5,6,3,3,0.5,0.01205676603791564,-0.06827888468684522
UPR_total_hallmark,ATP6V0D1,6,3,3,0.5,-0.0013003272627056806,-0.17295069572205524
UPR_total_hallmark,ATF4,6,3,3,0.5,-0.03455523809078301,-0.20703061454631774
UPR_total_hallmark,SSR1,6,3,3,0.5,-0.034567245160803936,0.14435349409859663
UPR_total_hallmark,NFYB,6,3,3,0.5,-0.037789051837754245,-0.22245621088961878
UPR_total_hallmark,TSPYL2,6,3,3,0.5,-0.05797651867420492,0.2064353925086441
UPR_total_hallmark,CCL2,6,3,3,0.5,-0.0634096741484009,0.003757649395386494
UPR_total_hallmark,POP4,6,3,3,0.5,-0.06548168188406925,-0.19563059218615056
UPR_total_hallmark,SKIC3,2,1,1,0.5,-0.06871056350897323,-0.06871056350897323
UPR_total_hallmark,LSM4,6,3,3,0.5,-0.0787254552321715,-0.13228896251739167
UPR_total_hallmark,STC2,6,3,3,0.5,-0.0847960940364974,-0.3405828449008225
UPR_total_hallmark,PSAT1,6,3,3,0.5,-0.12280750394416923,-0.24879317595534012
UPR_total_hallmark,CHAC1,6,3,3,0.5,-0.13357541100648812,-0.04488742753674398
UPR_total_hallmark,YIF1A,6,3,3,0.5,-0.14134721771044612,-0.09913759451827746
UPR_total_hallmark,GEMIN4,6,3,3,0.5,-0.15133701305753727,-0.22585823570231978
UPR_total_hallmark,DNAJB9,6,3,3,0.5,-0.16213592804671978,-0.21717857466528892
UPR_total_hallmark,ALDH18A1,6,3,3,0.5,-0.1861354112259025,-0.3152549321112104
UPR_total_hallmark,EIF2AK3,6,3,3,0.5,-0.22573480350075717,-0.2626748714074783
UPR_total_hallmark,GOSR2,6,3,3,0.5,-0.2291806486475132,-0.5318718903299536
UPR_total_hallmark,SLC7A5,6,3,3,0.5,-0.36150249315839356,-0.45618530892473697
UPR_total_hallmark,TARS1,2,1,1,0.5,-0.42855117948834265,-0.42855117948834265
UPR_total_hallmark,MTREX,2,1,1,0.5,-0.4859245983854113,-0.4859245983854113
UPR_total_hallmark,ATF6,6,3,3,0.5,-0.5761398873172221,-0.4712041490540524
UPR_total_hallmark,H2AX,2,1,1,0.5,-0.82933657708491,-0.82933657708491
UPR_total_hallmark,IARS1,2,1,1,0.5,-1.008403303519979,-1.008403303519979
cell_cycle_G2M,CDKN3,6,6,0,1.0,0.4391515371830274,0.6752713749400577
cell_cycle_G2M,TENT4A,2,2,0,1.0,0.3914569974316986,0.3914569974316986
cell_cycle_G2M,CENPE,6,6,0,1.0,0.390685300411284,0.6074800296602926
cell_cycle_G2M,KMT5A,3,3,0,1.0,0.28967748321677383,0.39600508132758544
cell_cycle_G2M,HMMR,6,6,0,1.0,0.17225116543610905,0.43602596579278935
cell_cycle_G2M,TRA2B,6,0,6,1.0,-0.14839630705674467,-0.527006190536437
cell_cycle_G2M,PRP4K,2,0,2,1.0,-0.22738824150304804,-0.22738824150304804
cell_cycle_G2M,NSD2,2,0,2,1.0,-0.41596177121395345,-0.41596177121395345
cell_cycle_G2M,NUP98,6,0,6,1.0,-0.49806798431367894,-0.6184484178727979
cell_cycle_G2M,H2AZ2,2,0,2,1.0,-0.5832748006548791,-0.5832748006548791
cell_cycle_G2M,STMN1,6,0,6,1.0,-0.8079073278428857,-0.8316535055668933
cell_cycle_G2M,CDKN2C,6,5,1,0.8333333333333334,1.0109830773780475,0.8929731955581754
cell_cycle_G2M,CDK1,6,5,1,0.8333333333333334,0.6213286233836814,0.6892145968408636
cell_cycle_G2M,HIF1A,6,5,1,0.8333333333333334,0.5990622796772468,0.5593598108096999
cell_cycle_G2M,ILF3,6,5,1,0.8333333333333334,0.573219090147092,0.4919271366651034
cell_cycle_G2M,FOXN3,6,5,1,0.8333333333333334,0.5701526955000646,0.6724424383416148
cell_cycle_G2M,EFNA5,6,5,1,0.8333333333333334,0.4711764443945693,0.10044430664285964
cell_cycle_G2M,HOXC10,6,5,1,0.8333333333333334,0.4590949236687074,0.5517498774632076
cell_cycle_G2M,INCENP,6,5,1,0.8333333333333334,0.40895115916449687,0.4694977836148771
cell_cycle_G2M,CKS2,6,5,1,0.8333333333333334,0.3836316093911892,0.1964864382957876
cell_cycle_G2M,CCND1,6,5,1,0.8333333333333334,0.3816785505677156,0.40373595263163325
cell_cycle_G2M,KIF2C,6,5,1,0.8333333333333334,0.3688994760721635,0.34894032223553856
cell_cycle_G2M,SS18,6,5,1,0.8333333333333334,0.362709574366124,0.26141852721959463
cell_cycle_G2M,PTTG3P,6,5,0,0.8333333333333334,0.35161782736587677,0.43124122376546836
cell_cycle_G2M,PBK,6,5,1,0.8333333333333334,0.3464270471391294,0.4936527524538457
cell_cycle_G2M,AMD1,6,5,1,0.8333333333333334,0.3379260392588078,0.2131680279343564
cell_cycle_G2M,PTTG1,6,5,1,0.8333333333333334,0.3184255983908111,0.5035410936213961
cell_cycle_G2M,PRIM2,6,5,1,0.8333333333333334,0.25580983386839146,0.14409900250863197
cell_cycle_G2M,PRC1,6,5,1,0.8333333333333334,0.2167336897082932,0.45302201192493774
cell_cycle_G2M,KPNA2,6,5,1,0.8333333333333334,0.20388571840918104,0.35541585490324007
cell_cycle_G2M,CDC27,6,5,1,0.8333333333333334,0.15050266655718952,0.16538799335230606
cell_cycle_G2M,BUB3,6,5,1,0.8333333333333334,0.1103912999860232,0.32842361606405707
cell_cycle_G2M,DTYMK,6,1,5,0.8333333333333334,-0.1801966470523913,-0.44353904333794053
cell_cycle_G2M,TROAP,6,1,5,0.8333333333333334,-0.2075486621499708,0.032552559738395805
cell_cycle_G2M,PAFAH1B1,6,1,5,0.8333333333333334,-0.21755967471157867,-0.29934816890158217
cell_cycle_G2M,RAD21,6,1,5,0.8333333333333334,-0.24791208889791486,0.01274648310259637
cell_cycle_G2M,TTK,6,1,5,0.8333333333333334,-0.3117532314657088,-0.09549424292802992
cell_cycle_G2M,MCM2,6,1,5,0.8333333333333334,-0.41346110708159534,-0.8701881279900695
cell_cycle_G2M,DMD,6,1,5,0.8333333333333334,-0.422166645813971,-0.21733912212686504
cell_cycle_G2M,HNRNPU,6,1,5,0.8333333333333334,-0.6308023054564023,-0.634075936552738
cell_cycle_G2M,MCM5,6,1,5,0.8333333333333334,-0.6440905909600294,-0.5548030458625843
cell_cycle_G2M,NOTCH2,6,1,5,0.8333333333333334,-0.9692745767185658,-0.7408292826508062
cell_cycle_G2M,TGFB1,4,3,1,0.75,1.1313827472876423,0.8789236309557432
cell_cycle_G2M,POLA2,4,3,1,0.75,0.5391165257998474,0.22838894936980203
cell_cycle_G2M,HMGA1,4,3,1,0.75,0.3927920975717939,0.059357601361603674
cell_cycle_G2M,SRSF1,4,3,1,0.75,0.31552258442791936,0.5076054397602275
cell_cycle_G2M,CKS1B,4,3,1,0.75,0.27552434099752315,0.4059391623469255
cell_cycle_G2M,MARCKS,4,3,1,0.75,0.15167486712233305,0.2531450828543923
cell_cycle_G2M,GSPT1,4,1,3,0.75,-0.3690299734172059,-0.1745663994740126
cell_cycle_G2M,HMGN2,4,1,3,0.75,-0.39629265208686465,-0.2098268846461613
cell_cycle_G2M,DBF4,6,4,2,0.6666666666666666,0.7395015927130373,0.3254989545083746
cell_cycle_G2M,SUV39H1,6,4,2,0.6666666666666666,0.6709788444791897,0.5774868882453214
cell_cycle_G2M,UCK2,6,4,2,0.6666666666666666,0.6580332615121212,0.24405358154670406
cell_cycle_G2M,SNRPD1,6,4,2,0.6666666666666666,0.622150854936717,0.13101009990325693
cell_cycle_G2M,CUL1,6,4,2,0.6666666666666666,0.6133994535284686,-0.02497901410432594
