gene,background,observed_background_vulnerability_rho,empirical_p_value,n_permutations,n_trajectories_combined
ADGRA3,HCT116,0.1715007215007215,0.08691308691308691,1000,3
ADGRB1,HCT116,0.0064935064935064,0.9440559440559441,1000,3
ADGRB2,HCT116,0.2328282828282828,0.017982017982017984,1000,3
ADGRB3,HCT116,-0.1949494949494949,0.04695304695304695,1000,3
ADGRD1,HCT116,-0.1703463203463203,0.06393606393606394,1000,3
ADGRD2,HCT116,,0.000999000999000999,1000,3
ADGRE1,HCT116,-0.0852092352092352,0.35664335664335667,1000,3
ADGRE2,HCT116,-0.153030303030303,0.07892107892107893,1000,3
ADGRE3,HCT116,0.3014430014430014,0.000999000999000999,1000,3
ADGRE5,HCT116,-0.1963203463203463,0.022977022977022976,1000,3
ADGRF1,HCT116,0.1629870129870129,0.06493506493506493,1000,3
ADGRF3,HCT116,-0.1704184704184704,0.06893106893106893,1000,3
ADGRF4,HCT116,-0.0176767676767676,0.8421578421578422,1000,3
ADGRF5,HCT116,-0.0815295815295815,0.36063936063936064,1000,3
ADGRG1,HCT116,-0.0432900432900432,0.6453546453546454,1000,3
ADGRG2,HCT116,-0.1229437229437229,0.1838161838161838,1000,3
ADGRG3,HCT116,0.2676046176046176,0.004995004995004995,1000,3
ADGRG4,HCT116,0.0172438672438672,0.8631368631368631,1000,3
ADGRG5,HCT116,-0.1749639249639249,0.055944055944055944,1000,3
ADGRG6,HCT116,-0.0655122655122655,0.4785214785214785,1000,3
ADGRG7,HCT116,0.0437950937950938,0.6573426573426573,1000,3
ADGRL1,HCT116,-0.0137085137085137,0.8811188811188811,1000,3
ADGRL2,HCT116,0.0839826839826839,0.34765234765234765,1000,3
ADGRL3,HCT116,0.0637085137085137,0.4885114885114885,1000,3
ADGRL4,HCT116,0.0477633477633477,0.6143856143856143,1000,3
ADGRV1,HCT116,-0.1503607503607503,0.0919080919080919,1000,3
ADH1A,HCT116,-0.1475468975468975,0.0959040959040959,1000,3
ADH1B,HCT116,-0.2937950937950938,0.002997002997002997,1000,3
ADH1C,HCT116,,0.000999000999000999,1000,3
ADH4,HCT116,0.1369408369408369,0.14185814185814186,1000,3
ADH5,HCT116,-0.052092352092352,0.5494505494505495,1000,3
ADH6,HCT116,0.1351370851370851,0.15984015984015984,1000,3
ADH7,HCT116,-0.043073593073593,0.6293706293706294,1000,3
ADHFE1,HCT116,0.0085137085137085,0.936063936063936,1000,3
ADI1,HCT116,0.1093073593073593,0.24275724275724275,1000,3
ADIG,HCT116,-0.2265512265512265,0.012987012987012988,1000,3
ADIPOQ,HCT116,-0.0743145743145743,0.41358641358641357,1000,3
ADIPOR1,HCT116,0.0248917748917748,0.7992007992007992,1000,3
ADIPOR2,HCT116,0.0264790764790764,0.7772227772227772,1000,3
ADIRF,HCT116,-0.0578643578643578,0.5234765234765235,1000,3
ADK,HCT116,-0.1036796536796536,0.26173826173826176,1000,3
ADM,HCT116,0.1087301587301587,0.23176823176823177,1000,3
ADM2,HCT116,0.1691197691197691,0.06893106893106893,1000,3
ADM5,HCT116,-0.2751082251082251,0.002997002997002997,1000,3
ADNP,HCT116,-0.0104617604617604,0.9000999000999002,1000,3
ADNP2,HCT116,-0.0633477633477633,0.5024975024975025,1000,3
ADO,HCT116,-0.0256132756132756,0.7822177822177823,1000,3
ADORA1,HCT116,0.054040404040404,0.5374625374625375,1000,3
ADORA2A,HCT116,0.0313131313131313,0.7212787212787213,1000,3
ADORA2B,HCT116,-0.0733044733044733,0.43756243756243757,1000,3
ADORA3,HCT116,,0.000999000999000999,1000,3
ADPGK,HCT116,-0.4005772005772006,0.000999000999000999,1000,3
ADPRH,HCT116,0.0656565656565656,0.4645354645354645,1000,3
ADPRHL1,HCT116,0.0582251082251082,0.5384615384615384,1000,3
ADPRM,HCT116,0.1095959595959596,0.23476523476523475,1000,3
ADPRS,HCT116,-0.0939393939393939,0.3206793206793207,1000,3
ADRA1A,HCT116,0.1059884559884559,0.27672327672327673,1000,3
ADRA1B,HCT116,-0.2051948051948052,0.030969030969030968,1000,3
ADRA1D,HCT116,0.2199855699855699,0.01898101898101898,1000,3
ADRA2A,HCT116,0.1416305916305916,0.12487512487512488,1000,3
ADRA2B,HCT116,0.0746753246753246,0.41058941058941056,1000,3
ADRA2C,HCT116,-0.1089466089466089,0.22977022977022976,1000,3
ADRB1,HCT116,-0.13001443001443,0.14585414585414586,1000,3
ADRB2,HCT116,0.0427849927849927,0.6213786213786214,1000,3
ADRB3,HCT116,-0.1289321789321789,0.14285714285714285,1000,3
ADRM1,HCT116,0.0279220779220779,0.7712287712287712,1000,3
ADSL,HCT116,-0.2551226551226551,0.006993006993006993,1000,3
ADSS1,HCT116,0.1077200577200577,0.23276723276723277,1000,3
ADSS2,HCT116,-0.1821067821067821,0.04495504495504495,1000,3
ADTRP,HCT116,0.1365079365079365,0.13186813186813187,1000,3
AEBP1,HCT116,0.0572871572871572,0.5274725274725275,1000,3
AEBP2,HCT116,-0.1422799422799422,0.11588411588411589,1000,3
AEN,HCT116,-0.1339105339105339,0.13786213786213786,1000,3
AFAP1,HCT116,0.0116883116883116,0.8891108891108891,1000,3
