query,library,term,query_n_mappable,term_n_in_universe,overlap_n,overlap_genes,p_value,library_bh_fdr,global_bh_fdr
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FORMATION_OF_THE_POSTERIOR_NEURAL_PLATE,24,10,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FORMATION_OF_THE_URETERIC_BUD,24,21,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,24,25,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,24,42,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FORMATION_OF_XYLULOSE_5_PHOSPHATE,24,5,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS,24,8,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES,24,17,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES,24,16,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION,24,11,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FREE_FATTY_ACID_RECEPTORS,24,5,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FRS_MEDIATED_FGFR1_SIGNALING,24,23,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FRS_MEDIATED_FGFR2_SIGNALING,24,25,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FRS_MEDIATED_FGFR3_SIGNALING,24,20,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FRS_MEDIATED_FGFR4_SIGNALING,24,22,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FRUCTOSE_CATABOLISM,24,5,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_FRUCTOSE_METABOLISM,24,7,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G0_AND_EARLY_G1,24,27,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,24,29,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G2_M_CHECKPOINTS,24,155,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,24,96,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT,24,7,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G2_PHASE,24,5,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GAB1_SIGNALOSOME,24,17,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GABA_B_RECEPTOR_ACTIVATION,24,42,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GABA_RECEPTOR_ACTIVATION,24,59,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,24,19,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GALACTOSE_CATABOLISM,24,6,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GAMMA_CARBOXYLATION_HYPUSINYLATION_HYDROXYLATION_AND_ARYLSULFATASE_ACTIVATION,24,61,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS,24,11,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GAP_FILLING_DNA_REPAIR_SYNTHESIS_AND_LIGATION_IN_GG_NER,24,25,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GAP_JUNCTION_ASSEMBLY,24,36,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GAP_JUNCTION_DEGRADATION,24,12,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,24,49,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK,24,18,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GASTRULATION,24,118,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GBP_MEDIATED_HOST_DEFENSE,24,14,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GDP_FUCOSE_BIOSYNTHESIS,24,6,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,24,34,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GERM_LAYER_FORMATION_AT_GASTRULATION,24,17,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION,24,7,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER,24,84,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION,24,42,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,24,33,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS,24,33,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUCOCORTICOID_BIOSYNTHESIS,24,10,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUCONEOGENESIS,24,25,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUCOSE_METABOLISM,24,83,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUCURONIDATION,24,26,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM,24,14,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,24,24,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUTATHIONE_CONJUGATION,24,35,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING,24,12,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,24,126,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCEROPHOSPHOLIPID_CATABOLISM,24,7,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCINE_DEGRADATION,24,7,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS,24,15,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCOGEN_METABOLISM,24,26,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCOGEN_STORAGE_DISEASES,24,16,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCOGEN_SYNTHESIS,24,14,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,24,135,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCOSAMINOGLYCAN_PROTEIN_LINKAGE_REGION_BIOSYNTHESIS,24,29,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCOSPHINGOLIPID_BIOSYNTHESIS,24,18,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCOSPHINGOLIPID_CATABOLISM,24,39,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,24,57,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYCOSPHINGOLIPID_TRANSPORT,24,8,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,24,19,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,24,56,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION,24,14,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,24,132,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING,24,11,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GPCR_LIGAND_BINDING,24,457,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GPER1_SIGNALING,24,44,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,24,35,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING,24,16,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,24,15,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING,24,5,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,24,24,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,24,44,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS,24,80,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,24,310,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,24,215,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,24,154,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS,24,47,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_CDC42,24,20,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA,24,25,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G_PROTEIN_ACTIVATION,24,24,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,24,32,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_G_PROTEIN_MEDIATED_EVENTS,24,53,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HCMV_EARLY_EVENTS,24,135,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HCMV_INFECTION,24,159,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HCMV_LATE_EVENTS,24,115,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HDACS_DEACETYLATE_HISTONES,24,93,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HDL_ASSEMBLY,24,8,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HDL_CLEARANCE,24,5,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HDL_REMODELING,24,10,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HDMS_DEMETHYLATE_HISTONES,24,49,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,24,70,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ,24,12,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA,24,37,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,24,52,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HEDGEHOG_OFF_STATE,24,99,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HEDGEHOG_ON_STATE,24,72,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HEME_BIOSYNTHESIS,24,14,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HEME_DEGRADATION,24,15,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,24,41,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION,24,46,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS,24,9,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS,24,11,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS,24,7,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS,24,69,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HISTIDINE_CATABOLISM,24,8,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY,24,33,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HIV_INFECTION,24,219,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HIV_LIFE_CYCLE,24,150,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HIV_TRANSCRIPTION_ELONGATION,24,43,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HIV_TRANSCRIPTION_INITIATION,24,48,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE,24,43,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HOMOLOGY_DIRECTED_REPAIR,24,140,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS,24,12,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,24,118,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HSF1_ACTIVATION,24,31,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,24,38,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,24,55,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HS_GAG_BIOSYNTHESIS,24,33,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HS_GAG_DEGRADATION,24,20,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA,24,8,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HYALURONAN_DEGRADATION,24,16,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HYALURONAN_METABOLISM,24,20,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_HYDROLYSIS_OF_LPC,24,7,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_IFNG_SIGNALING_ACTIVATES_MAPKS,24,8,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID,24,7,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1,24,23,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS,24,17,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,24,150,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INACTIVATION_OF_CDC42_AND_RAC1,24,8,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING,24,25,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION,24,23,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INDUCTION_OF_CELL_CELL_FUSION,24,13,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INFECTION_WITH_ENTEROBACTERIA,24,40,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,24,27,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INFECTIOUS_DISEASE,24,1291,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INFLUENZA_INFECTION,24,159,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,24,137,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE,24,66,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,24,13,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,24,21,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,24,44,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,24,19,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INLA_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELLS,24,9,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INLB_MEDIATED_ENTRY_OF_LISTERIA_MONOCYTOGENES_INTO_HOST_CELL,24,15,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INORGANIC_ANION_EXCHANGE_BY_SLC26_TRANSPORTERS,24,8,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,24,48,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE,24,22,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INSULIN_PROCESSING,24,25,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INSULIN_RECEPTOR_RECYCLING,24,30,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE,24,54,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,24,108,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTEGRATION_OF_PROVIRUS,24,9,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,24,85,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTEGRIN_SIGNALING,24,27,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS,24,37,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS,24,37,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS,24,31,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA,24,10,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES,24,28,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,24,78,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERFERON_GAMMA_SIGNALING,24,97,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERFERON_SIGNALING,24,286,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_10_SIGNALING,24,45,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_15_SIGNALING,24,14,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_17_SIGNALING,24,71,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_18_SIGNALING,24,8,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_1_PROCESSING,24,9,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING,24,26,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_21_SIGNALING,24,10,0,,1.0,1.0,1.0
MiNP_all_human_interacting_genes,Reactome_2026.1,REACTOME_INTERLEUKIN_23_SIGNALING,24,9,0,,1.0,1.0,1.0
