DRUG_NAME,delta_R_minus_S_GDSC2,mannwhitney_p_BH_GDSC2,n_overlap_GDSC2,spearman_p_BH_GDSC2,spearman_r_GDSC2
EHT-1864,0.23820750000000013,0.6000730091592875,45.0,0.06284771561147111,0.29183135704874835
EPZ004777,0.5840160000000001,0.01625690867458089,46.0,0.0003829607875172536,0.5606537156953438
EPZ5676,0.2578269999999998,0.1606113891819576,46.0,0.009127819479056666,0.4135060129509713
ERK_2440,1.6675175000000002,0.002980903675785583,45.0,0.0003499575479174024,0.5715415019762845
ERK_6604,1.477916,0.01400143834081283,45.0,0.013808385172593142,0.3945981554677206
Eg5_9814,2.008168,0.008949949168423168,44.0,3.073456977356292e-05,0.654122621564482
Elephantin,1.1213685,0.004508506724547734,45.0,1.5404433296845032e-05,0.6715415019762845
Entinostat,0.949106,0.06623750894257723,46.0,0.01688321840483557,0.37909343200740053
Entospletinib,0.6978789999999999,0.03676957599312764,46.0,0.019332846925817104,0.3698427382053654
Epirubicin,1.8747955,0.010836755085553595,44.0,0.0004356138075941592,0.5658914728682171
Erlotinib,0.6078299999999999,0.23929379594380445,44.0,0.02512130323424984,0.3603946441155743
Fludarabine,1.6305815,0.0035924475767876883,45.0,4.219192678497082e-05,0.6388669301712779
Foretinib,0.8144374999999999,0.18693908171177825,41.0,0.07532196295309046,0.2919860627177701
Fulvestrant,0.5319790000000006,0.043963351255497725,46.0,0.006688643219177449,0.43077397471477025
GDC0810,0.7335969999999996,0.09259476038976512,44.0,0.0021017297631872856,0.4972515856236786
GNE-317,0.5254009999999999,0.08886516879237708,44.0,0.02491848899165482,0.3610993657505285
GSK-LSD1,0.22089150000000002,0.27825154175008227,45.0,0.009127819479056666,0.41778656126482216
GSK-LSD1-2HCl,0.7164685,0.06725033494939306,42.0,0.0058772070988133175,0.4561218701888016
GSK1904529A,0.26271799999999956,0.16487135344395853,46.0,0.037236662819522516,0.3249460376194881
GSK2110183B,1.6814319999999996,0.16964751368845452,45.0,0.011713528510854955,0.40382081686429505
GSK2256098C,0.6506930000000004,0.1458401722664199,45.0,0.0029335465781009174,0.47523056653491436
GSK2276186C,0.5858610000000004,0.0979510086045517,45.0,0.01843359906722498,0.37720685111989455
GSK2578215A,0.5007520000000003,0.12290559282637092,44.0,0.017657884532372627,0.38435517970401684
GSK2606414,0.2989810000000004,0.35247160533186483,46.0,0.20408525971689415,0.19617637989515882
GSK2801,0.32523950000000035,0.12335753065575851,45.0,0.01073684024717701,0.40922266139657437
GSK2830371,0.459175000000001,0.13059849015550892,42.0,0.023104336990380538,0.3742808524430759
GSK2830371A,0.477104999999999,0.10045762870582882,45.0,0.009014944376041395,0.4189723320158103
GSK3337463A,0.3750524999999998,0.10989222519413827,45.0,0.0035116619294412355,0.46495388669301707
GSK343,0.31830449999999955,0.40659410150621667,46.0,0.07254837603375913,0.2783225408572309
GSK591,0.8632874999999993,0.07587820870046663,43.0,0.0023765484145598873,0.4965267290848686
GSK626616AC,0.4851074999999998,0.26895397146920236,45.0,0.008304295454483216,0.42503293807641634
GW441756,0.056845500000000104,0.2974611285610423,45.0,0.062062740992299165,0.29341238471673253
Gallibiscoquinazole,0.5607090000000001,0.05167233096896668,45.0,0.011239978564804494,0.4065876152832674
Gefitinib,0.5068414999999997,0.1688867462560662,44.0,0.00339596700991968,0.4725863284002819
Gemcitabine,2.6282205000000003,0.011863315976080126,45.0,0.00031367053302274394,0.5752305665349143
HKMTI-1-005,0.7600130000000003,0.06954684225783819,38.0,0.0023193869035197916,0.5266440529598424
I-BET-762,0.5393789999999998,0.08886516879237708,46.0,0.018356658440760263,0.37366635831020656
I-BRD9,0.6522410000000001,0.06351306571904056,44.0,0.003732687505465445,0.46624383368569416
IAP_5620,0.3159270000000003,0.1999797405960872,45.0,0.03455069806563802,0.3346508563899868
ICL-SIRT078,1.1467804999999998,0.08476891403236506,38.0,0.0057120059008501645,0.48003063792537476
IGF1R_3801,1.4505929999999998,0.009406665735147096,45.0,0.002053119353574126,0.494729907773386
IRAK4_4710,0.27709649999999986,0.03987021706936116,45.0,0.005829073526449191,0.4421607378129117
IWP-2,0.15399300000000027,0.25558434545992703,46.0,0.0079093029490484,0.42300339192106073
Ibrutinib,1.1991300000000003,0.06725033494939306,46.0,0.006319757341066903,0.4333641689793401
Ipatasertib,1.2205384999999995,0.1552308017187339,44.0,0.009014944376041395,0.4239605355884425
Irinotecan,1.5945910000000003,0.004328710186056266,46.0,1.830473385056511e-05,0.6579710144927535
JAK1_8709,0.9510404999999995,0.03785405713192462,45.0,0.004337902407645362,0.4549407114624506
JAK_8517,1.5825475,0.01988644856683412,45.0,0.009014944376041395,0.419235836627141
JNK Inhibitor VIII,0.023638000000000048,0.6302902236120096,45.0,0.28317024929995877,0.1681159420289855
JQ1,0.549067,0.1870668675503818,45.0,0.1256030774818852,0.24005270092226613
KRAS (G12C) Inhibitor-12,1.8225189999999998,0.01625690867458089,46.0,0.0012974026015565242,0.5124267653407338
KU-55933,0.24546849999999942,0.25322557621014247,45.0,0.15565085763937425,0.22213438735177862
L-Oxonoreleagnine,0.3670605,0.12335753065575851,45.0,0.05355939158674693,0.30289855072463767
LCL161,0.1542009999999996,0.7108071510525167,46.0,0.18127484433465502,0.20678384212149248
LGK974,0.5506830000000003,0.15117758623088964,46.0,0.020806498694184945,0.36503237742830713
LJI308,0.13335100000000022,0.18693908171177825,43.0,0.05152277914312803,0.312745394140743
