group,state,n_donors,spearman_rho,P,donor_consistency,direction,BH_FDR,state_association_interpretation
tumor,TGF_beta,36,0.418018018018018,0.011182287698381909,0.5555555555555556,positive,0.03005239818940138,state falls or tracks as PPAR/NR falls
tumor,WNT_beta_catenin,36,0.28906048906048903,0.0872896248073932,0.5,positive,0.12942944367992787,state falls or tracks as PPAR/NR falls
tumor,intestinal_epithelial_differentiation,36,0.6144144144144145,6.710537199476213e-05,0.7222222222222222,positive,0.0014427654978873858,state falls or tracks as PPAR/NR falls
tumor,stemness,36,0.2012870012870013,0.23911746582756335,0.5,positive,0.3024132656054478,state falls or tracks as PPAR/NR falls
tumor,secretory_differentiation,36,0.5109395109395111,0.001450908760928898,0.7222222222222222,positive,0.008912725245706087,state falls or tracks as PPAR/NR falls
tumor,enterocyte_differentiation,36,0.6782496782496783,5.4801646014011e-06,0.7777777777777778,positive,0.00023564707786024732,state falls or tracks as PPAR/NR falls
tumor,goblet_program,36,0.43783783783783786,0.007570765277081958,0.6666666666666666,positive,0.02325306477960887,state falls or tracks as PPAR/NR falls
tumor,stress_like_epithelial,36,0.26563706563706563,0.11738254416763523,0.5555555555555556,positive,0.16274507974438943,state falls or tracks as PPAR/NR falls
normal,EMT,36,0.1891891891891892,0.26912010683663884,0.5,positive,0.6833234713962457,state falls or tracks as PPAR/NR falls
normal,E2F_targets,36,0.059202059202059204,0.7316155048226161,0.5555555555555556,positive,0.9537823867156289,state falls or tracks as PPAR/NR falls
normal,G2M_checkpoint,36,-0.03577863577863578,0.8358834679885124,0.4444444444444444,negative,0.9537823867156289,state rises as PPAR/NR falls
normal,MYC_targets_V1,36,0.034749034749034756,0.8405447851079859,0.5,positive,0.9537823867156289,state falls or tracks as PPAR/NR falls
normal,MYC_targets_V2,36,0.013642213642213644,0.937057997366878,0.5555555555555556,positive,0.9797930769598763,state falls or tracks as PPAR/NR falls
