donor_id,condition,state,cell_count,state_fraction,n_paired_donors,paired_median_delta,paired_wilcoxon_P,paired_BH_FDR,paired_direction
C129,tumor,other epithelial annotation,34.0,0.06126126126126126,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C129,tumor,secretory-like annotation,209.0,0.37657657657657656,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C130,normal,enterocyte-like annotation,359.0,0.35685884691848907,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C130,normal,other epithelial annotation,217.0,0.21570576540755468,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C130,normal,secretory-like annotation,430.0,0.4274353876739563,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C130,tumor,enterocyte-like annotation,82.0,0.351931330472103,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C130,tumor,other epithelial annotation,14.0,0.060085836909871244,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C130,tumor,secretory-like annotation,137.0,0.5879828326180258,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C132,normal,enterocyte-like annotation,224.0,0.49230769230769234,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C132,normal,other epithelial annotation,12.0,0.026373626373626374,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C132,normal,secretory-like annotation,219.0,0.48131868131868133,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C132,tumor,enterocyte-like annotation,17.0,0.8947368421052632,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C132,tumor,other epithelial annotation,0.0,0.0,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C132,tumor,secretory-like annotation,2.0,0.10526315789473684,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C133,normal,enterocyte-like annotation,256.0,0.4794007490636704,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C133,normal,other epithelial annotation,50.0,0.09363295880149813,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C133,normal,secretory-like annotation,228.0,0.42696629213483145,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C133,tumor,enterocyte-like annotation,19.0,0.06168831168831169,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C133,tumor,other epithelial annotation,20.0,0.06493506493506493,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C133,tumor,secretory-like annotation,269.0,0.8733766233766234,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C134,normal,enterocyte-like annotation,791.0,0.7754901960784314,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C134,normal,other epithelial annotation,40.0,0.0392156862745098,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C134,normal,secretory-like annotation,189.0,0.18529411764705883,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
