r3_rank,gene,median_background_vulnerability_rho,n_positive_backgrounds,n_resampling_supported_backgrounds,tier1_flag,tier2_flag,tier3_flag,observed_global_T_median_vulnerability_rho,global_empirical_p_value,n_permutations,permutation_unit,self_line_exclusion,global_empirical_q_value,cross_method_stable_flag,n_models_top500,n_models_direction_ge3of4,median_rank_percentile,leave_HCT116_out_median_vulnerability_rho,leave_HCT116_out_n_positive_backgrounds,adjusted_partial_rho_median,adjusted_partial_rho_min,adjusted_positive_fraction,adjusted_audit_n,final_shortlist_flag,previous_19_reclassified_as_internal_stability
16993,ANAPC16,0.0068181818181818,2,0,False,False,False,0.0068181818181818,0.919080919080919,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5268394512823293,0.0148629148629148,2,,,,,False,False
16994,HEPH,-0.0086940836940836,2,0,False,False,False,-0.008694083694083699,0.9120879120879121,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.527218999078241,0.0228715728715728,2,,,,,False,False
16995,RFPL3,0.0091630591630591,2,0,False,False,False,0.00916305916305915,0.9070929070929071,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5277612102152578,-0.0331168831168831,1,,,,,False,False
16996,HOXB8,0.007070707070707,2,0,False,False,False,0.007070707070707047,0.9150849150849151,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5308247031394024,0.1572871572871572,2,,,,,False,False
16997,MSL2,-0.008044733044733,2,0,False,False,False,-0.008044733044733049,0.9210789210789211,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5312584720490159,0.0394660894660894,2,,,,,False,False
16998,TRIM17,0.008080808080808,2,0,False,False,False,0.008080808080808053,0.9100899100899101,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5312855826058667,-0.0328282828282828,1,,,,,False,False
16999,COX7C,0.0073593073593073,2,0,False,False,False,0.007359307359307349,0.913086913086913,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5327495526758119,-0.0121212121212121,1,,,,,False,False
17000,SFMBT2,0.0070346320346319,3,0,False,False,False,0.00703463203463195,0.9140859140859141,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,2,0.5339424171772489,0.0015873015873015,2,,,,,False,False
17001,ACAP2,-0.0072510822510822,2,0,False,False,False,-0.00725108225108225,0.9150849150849151,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,1,0.5348099549964757,-0.0292929292929292,1,,,,,False,False
17002,ZNF610,-0.0082251082251082,2,0,False,False,False,-0.0082251082251082,0.9140859140859141,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902,False,0,0,0.5348912866670281,0.0162337662337662,2,,,,,False,False
